PERIOD_MGR_ID,HORIZON_START,IDX,BUCKET_TYPE,NUMBER_BUCKETS,LATE_RANGE
WEEKLY,4/12/2023,1,WEEK,26,16
SCP,7/31/2023,1,WEEK,53,-
