PRODUCT_ID,DESCRIPTION,PRODUCT_TYPE,PRODAREA,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,FG_HIER_LEVEL_1,FG_HIER_LEVEL_2,FG_HIER_LEVEL_3,END_ITEM,DP_COMP,FG_COMP,VIRTUAL,DP_COMP_KEY,FG_COMP_KEY,VIRTUAL_KEY,A_MAT_STATUS,LATE_FORECAST,LATE_SALES
110-0177,Resistor;0201;±1%;0.05W;33K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0243,Resistor;0201;±1%;13K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0270,Resistor;0201;±1%;8.2K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0381,Resistor;0201;±1%;1/20W;46.4k ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0571,Resistor;0201;±1%;1/20W40.2K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0713,Resistor;0201;±1%;510 ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0121,Ind;1.5uH±20%;1.9A;0.097ohm;2.0x1.6x1.0,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0152,Ind;2.2uH±20%;0805;2MHZ;1000mA;0.15ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0224,Inductor;2.2uH±22%;1MKz;3.0x3.0x1.2mm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0253,Ind;2.2uH±20%;1.6A;0.197ohm;2.0x1.6x1.0,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0260,Inductor;1.5uH±20%;2016;45MHz;0.11ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0022,IC;SOT-723,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0849,IC;bare Die;4x25G TIA,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0851,IC;25Gb/s;Quad-Channel;Vpp<900mV,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0852,IC;MCU;Set 1;32 KB;Bootloader Revision 1,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
160-1132,PCB,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
160-1218,PCB,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0134-002,Cable;OFNP;2m,M,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0134-025,Cable;OFNP;25m,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0152-020,Cable MT Ferrule;20m;PT107U,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0227,MT Ferrule Conn/MM(OM3),M,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0230-020,Fiber;OM2;20m,M,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0230-0P5,Fiber;OM2;0.5m,M,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0128,BOSA Ass-BOM;CLR4 ET(Mitsu DFB;GCS PD),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0145,BOSA;CGR4Gen3V2.0_Weld+Ocl+GCS+GN2110B,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0146-02,Ass CGR4Gen3 dup-OclaroDFB+GCS PDGN2110B,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0158-03,BOSA Ass-BOM;CWDM4;Adhes(Ocl DFB+M37244),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0199-R,BOSA Ass-BOM;CWDM4 V2.0(Gen3Mit);Recycle,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0233,BOSA Ass_BOM;COP(Ocl+M37244)ZTE;Vulcan,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0054,Capacitor;10uF;±10%;0805;X5R;16V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0074,Capacitor;10UF;±20%;0402;X5R;6.3V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0088,Capacitor;2.2uF;±20%;0201;X5R;6.3V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0119,Capacitor;2.2uF;±10%;0402;X5R;35V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0142,Capacitor;1nF;±10%;01005(0402M);X5R;10V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0040,Resistor;0603;1A;0 ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0239,Resistor;0201;±1%;51K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0249,Resistor;0201;±1%;150k ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0261,Resistor;0201;±1%;200K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0267,Resistor;0201;±1%;430K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0273,Resistor;0201;±1%;680K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0311,Resistor;0201;±1%;1K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0376,Res;RMS02FT6803;0201;±1%;1/20W;680K,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0379,Res;RMS02JT473;0201;±5%;1/20W;47K,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0602,Resistor;0201;±1%;1/20W;200K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0603,Resistor;0201;±1%;1/20W;100K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0730,Resistor;0201;±1%;1/20W;150K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0100,Ind;1.5uH±20%;80MHz;0.116ohm;2.1x2.2x1.0,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0138,Ferrite Bead 0402;1.5A;120 Ohm;100MHz,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0143,Ind;1uH±20%;0402;1MHz;270mA;0.94ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0248,Ferrite Bead;0402;100MHz;1A;10ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0310,Ind;4.7uH±20%;25MHz;1A;0.425ohm;2x1.6x1,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0246,IC;boost converter,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0310,IC;WLCSP-25;2.5mmX2.5mm;Thermoelectric,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0313,IC;2A low level turn on Load Switch,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0645,IC;MOSFETS Silicon P-Channel;WCSP6C,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0129,Auto alignment MT Jumper,M,OPTICAL,subcon,subcon,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0134-005,Cable;OFNP;5m,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0134-015,Cable;OFNP;15m,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0152-005,Cable MT Ferrule;5m;PT107U,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0152-007,Cable MT Ferrule;7m;PT107U,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0120,OB Ass-BOM;CWDM4 V1.0(Mitsubis DFB),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0132,BOSA Ass-Bom;CWDM4 V1.0(With Oclaro DFB),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0141-01,BOSA Ass-BOM;CWDM4 V2.0(Weld+Mitsub DFB),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0038,Capacitor;100pF;±5%;0201;C0G;50V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0061,Capacitor;0.47uF;±10%;0201;X5R;6.3V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0144,Capacitor;22nF;±10%;0603;X7R;50V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0222,Capacitor;2.2uf;±10%;0402;X5R;16V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0224,Capacitor;4.7uF;±20%;0402;X6S;6.3V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
101-0001,WB Capacitor;220pF;+80%;-20%;16V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0214,Resistor;0201;0.5A;0 ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0246,Resistor;0201;±1%;390k ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0260,Resistor;0201;±1%;15K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0268,Resistor;0201;±1%;1M ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0272,Resistor;0201;±1%;240K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0312,Res;0201;1%;102K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0370,Res;RMS02FT2101;0201;±1%;1/20W;2.1K,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0374,Res;RMS02FT6801;0201;±1%;1/20W;6.8K,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0624,Resistor;0201;±1%;1/20W;1K ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0215,Ind;2.2uH±20%;3.7x3.2x1.2mm;lead free,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
121-0053,Ferrite;0201;100MHz;56hm;1GHz;50Ohm;2.2O,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0340,IC;Four Channel 25/28G CDR with TIA/LA,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0403,IC;Quad CDR TIA;25.8G/28G,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0599,IC;Step-Up Converter with Low IQ;1.1A,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0847,IC;Step down Current 3A,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
160-1237,PCB GN2147,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0134-001,Cable;OFNP;1m,M,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0134-010,Cable;OFNP;10m,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0230-007,Fiber;OM2;7m,M,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0230-010,Fiber;OM2;10m,M,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
