BOM_ID,LOCATION_ID,PARENT_ID,ALT_GROUP,PREFERENCE,ELEM_IX,CHILD_ID,NEW_SUPPLY,GRADE,RATE,BATCH_SIZE,EFFECTIVE_START,EFFECTIVE_END,OBSOLETE
BOM_313-0083,-,313-0083,-,1,1,313-0059,-,-,0.003,-,-,-,-
BOM_500-3165,-,500-3165,-,1,0,502-1476,-,-,1,-,-,-,-
BOM_500-3166,-,500-3166,-,1,0,502-1478,-,-,1,-,-,-,-
BOM_500-3186,-,500-3186,-,1,0,502-1621,-,-,1,-,-,-,-
BOM_500-3190,-,500-3190,-,1,0,VirtualProduct_500-3190_A1,-,-,1,-,-,-,-
BOM_500-3209,-,500-3209,-,1,0,VirtualProduct_500-3209_A1,-,-,1,-,-,-,-
BOM_500-3231,-,500-3231,-,1,0,502-2202,-,-,1,-,-,-,-
BOM_500-3245,-,500-3245,-,1,0,VirtualProduct_500-3245_A1,-,-,1,-,-,-,-
BOM_500-3261,-,500-3261,-,1,0,VirtualProduct_500-3261_A1,-,-,1,-,-,-,-
BOM_500-3264-007,-,500-3264-007,-,1,0,502-1915-XXX,-,-,1,-,-,-,-
BOM_500-3264-007,-,500-3264-007,-,1,0,VirtualProduct_500-3264-007_A1,-,-,1,-,-,-,-
BOM_500-3264-010,-,500-3264-010,-,1,0,502-1915-XXX,-,-,1,-,-,-,-
BOM_500-3264-010,-,500-3264-010,-,1,0,VirtualProduct_500-3264-010_A1,-,-,1,-,-,-,-
BOM_500-3264-020,-,500-3264-020,-,1,0,502-1915-XXX,-,-,1,-,-,-,-
BOM_500-3264-020,-,500-3264-020,-,1,0,VirtualProduct_500-3264-020_A1,-,-,1,-,-,-,-
BOM_500-3265-005,-,500-3265-005,-,1,0,502-1915-XXX,-,-,1,-,-,-,-
BOM_500-3265-005,-,500-3265-005,-,1,0,VirtualProduct_500-3265-005_A1,-,-,1,-,-,-,-
BOM_500-3265-007,-,500-3265-007,-,1,0,502-1915-XXX,-,-,1,-,-,-,-
BOM_500-3265-007,-,500-3265-007,-,1,0,VirtualProduct_500-3265-007_A1,-,-,1,-,-,-,-
BOM_500-3265-010,-,500-3265-010,-,1,0,502-1915-XXX,-,-,1,-,-,-,-
BOM_500-3265-010,-,500-3265-010,-,1,0,VirtualProduct_500-3265-010_A1,-,-,1,-,-,-,-
BOM_500-3265-020,-,500-3265-020,-,1,0,502-1915-XXX,-,-,1,-,-,-,-
BOM_500-3265-020,-,500-3265-020,-,1,0,VirtualProduct_500-3265-020_A1,-,-,1,-,-,-,-
BOM_500-3265-030,-,500-3265-030,-,1,0,502-1915-XXX,-,-,1,-,-,-,-
BOM_500-3265-030,-,500-3265-030,-,1,0,VirtualProduct_500-3265-030_A1,-,-,1,-,-,-,-
BOM_500-3287,-,500-3287,-,1,0,VirtualProduct_500-3287_A1,-,-,1,-,-,-,-
BOM_500-3292,-,500-3292,-,1,0,VirtualProduct_500-3292_A1,-,-,1,-,-,-,-
BOM_500-3301,-,500-3301,-,1,0,502-1559,-,-,1,-,-,-,-
BOM_500-3335,-,500-3335,-,1,0,VirtualProduct_500-3335_A1,-,-,1,-,-,-,-
BOM_500-3344,-,500-3344,-,1,0,VirtualProduct_500-3344_A1,-,-,1,-,-,-,-
BOM_500-3347,-,500-3347,-,1,0,VirtualProduct_500-3347_A1,-,-,1,-,-,-,-
BOM_500-3385,-,500-3385,-,1,0,VirtualProduct_500-3385_A1,-,-,1,-,-,-,-
BOM_500-3387,-,500-3387,-,1,0,VirtualProduct_500-3387_A1,-,-,1,-,-,-,-
BOM_500-3394,-,500-3394,-,1,0,502-1678,-,-,1,-,-,-,-
BOM_500-3394-05,-,500-3394-05,-,1,0,502-1733,-,-,1,-,-,-,-
BOM_500-3411,-,500-3411,-,1,0,VirtualProduct_500-3411_A1,-,-,1,-,-,-,-
BOM_500-3417-001,-,500-3417-001,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-001,-,500-3417-001,-,1,0,VirtualProduct_500-3417-001_A1,-,-,1,-,-,-,-
BOM_500-3417-002,-,500-3417-002,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-002,-,500-3417-002,-,1,0,VirtualProduct_500-3417-002_A1,-,-,1,-,-,-,-
BOM_500-3417-003,-,500-3417-003,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-003,-,500-3417-003,-,1,0,VirtualProduct_500-3417-003_A1,-,-,1,-,-,-,-
BOM_500-3417-004,-,500-3417-004,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-004,-,500-3417-004,-,1,0,VirtualProduct_500-3417-004_A1,-,-,1,-,-,-,-
BOM_500-3417-005,-,500-3417-005,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-005,-,500-3417-005,-,1,0,VirtualProduct_500-3417-005_A1,-,-,1,-,-,-,-
BOM_500-3417-006,-,500-3417-006,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-006,-,500-3417-006,-,1,0,VirtualProduct_500-3417-006_A1,-,-,1,-,-,-,-
BOM_500-3417-007,-,500-3417-007,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-007,-,500-3417-007,-,1,0,VirtualProduct_500-3417-007_A1,-,-,1,-,-,-,-
BOM_500-3417-008,-,500-3417-008,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-008,-,500-3417-008,-,1,0,VirtualProduct_500-3417-008_A1,-,-,1,-,-,-,-
BOM_500-3417-010,-,500-3417-010,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-010,-,500-3417-010,-,1,0,VirtualProduct_500-3417-010_A1,-,-,1,-,-,-,-
BOM_500-3417-013,-,500-3417-013,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-013,-,500-3417-013,-,1,0,VirtualProduct_500-3417-013_A1,-,-,1,-,-,-,-
BOM_500-3417-015,-,500-3417-015,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-015,-,500-3417-015,-,1,0,VirtualProduct_500-3417-015_A1,-,-,1,-,-,-,-
BOM_500-3417-020,-,500-3417-020,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-020,-,500-3417-020,-,1,0,VirtualProduct_500-3417-020_A1,-,-,1,-,-,-,-
BOM_500-3417-025,-,500-3417-025,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-025,-,500-3417-025,-,1,0,VirtualProduct_500-3417-025_A1,-,-,1,-,-,-,-
