PERIOD_MGR_ID,HORIZON_START,IDX,BUCKET_TYPE,NUMBER_BUCKETS,LATE_RANGE
WEEKLY,7/10/2022,1,WEEK,26,16
SCP,7/10/2022,1,DAY,35,-
SCP,-,2,WEEK,48,-
