PERIOD_MGR_ID,HORIZON_START,IDX,BUCKET_TYPE,NUMBER_BUCKETS,LATE_RANGE
WEEKLY,1/1/2024,1,WEEK,52,16
SCP,1/1/2024,1,DAY,35,-
SCP,-,2,WEEK,52,-
