PRODUCT,FROM_LOCATION,TO_LOCATION,TRANS_RT,MODE,PREFERENCE,COST,TRANSIT_TIME,TRANSIT_TIME_UOM,EFFECTIVE_START,EFFECTIVE_END,DEST_TYPE,ASSY_LOC,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost
280-0932,VMI1,TL_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_TXCOC,TXCOC,ALL,1
283-0046-27,VMI1,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
283-0046-29,VMI1,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
283-0046-31,VMI1,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
283-0046-33,VMI1,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
280-0932,VMI1,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
140-0341,VMI2,SZ_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_TXCOC,TXCOC,ALL,1
140-0221,VMI2,SZ_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_TXCOC,TXCOC,ALL,1
140-0834,VMI2,SZ_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_TXCOC,TXCOC,ALL,1
140-0246,VMI2,SZ_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_TXCOC,TXCOC,ALL,1
140-0179,VMI2,SZ_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_TXCOC,TXCOC,ALL,1
140-0386,VMI2,SZ_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_TXCOC,TXCOC,ALL,1
140-0341,VMI2,TL_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_TXCOC,TXCOC,ALL,1
140-0221,VMI2,TL_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_TXCOC,TXCOC,ALL,1
