Customer_ID,CustomerName,PRODUCT_ID,IndustrialStandard,PO_Delivery_Date,PO_Quantity,Quantity,DATE_ID_SHIPPED
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5481,TR-FC85S-NC3,"2,552",4/12/2024,"2,552.00",3/25/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5481,TR-FC85S-NC3,"2,056",4/19/2024,"2,056.00",4/2/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,160,5/10/2024,160,4/19/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,320,4/20/2024,320,4/19/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,160,4/13/2024,160,4/19/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-001,TF-FC001-NC4,70,5/17/2024,70,4/19/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-002,TF-FC002-NC4,300,5/10/2024,300,5/17/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-005,TF-FC005-NC4,160,4/30/2024,160,5/7/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-005,TF-FC005-NC4,160,4/30/2024,160,5/7/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-005,TF-FC005-NC4,160,4/30/2024,160,5/11/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-005,TF-FC005-NC4,80,4/30/2024,80,4/9/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-005,TF-FC005-NC4,80,5/23/2024,80,4/9/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-010,TF-FC010-NC4,240,2/23/2024,185,5/7/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-010,TF-FC010-NC4,160,2/23/2024,55,3/18/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-010,TF-FC010-NC4,160,2/23/2024,160,4/2/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-010,TF-FC010-NC4,80,2/23/2024,80,3/29/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-015,TF-FC015-NC4,80,5/30/2024,80,5/27/2024
