FG/PN,FG description,Model,Customer abbreviate,PN for customer,,
500-4835-R,"40G QSFP+ IR4 V3.0(100G CWDM4 Semtech Platform_Oclaro DFB),CWDM,2km,0-70℃,Blank Recycle, pull tab 310-0591",QSFP+ IR4,domestic_others,TR-FC13T-N4T-NBK,,
500-6912,100G QSFP28 CWDM4 COP V2.0 2Km Precision,CWDM4,Precision,TR-FC13T-NPT,,
562-0099,"100G QSFP28 CWDM4 Lite V2(Mit),Cisco,TW",CWDM4 Lite,677,TR-FC13H-HCI,,
503-0083-ID,100G Q28 CWDM4 Lite V2.0 500m Cisco TH,CWDM4 Lite,677,TR-FC13H-HCI,,
500-6570,"40G QSFP+ LR4 V3.0,Ocl,Juniper RBU",QSFP+ LR4,633,TR-QQ13L-NJC,,
561-0171,100G QSFP28 CWDM4 COP V2.0 Palo Alto TW,CWDM4,Palo Alto,TR-FC13T-NP1,,
561-0184,100G QSFP28 CWDM4 COP V2.0 2Km Blank TW,CWDM4,international_others,TR-FC13T-NBK,,
561-0057,"100G QSFP28 CWDM4 COP Std(Weld+Mit),TW",CWDM4,domestic_others,TR-FC13T-N00,,
500-3776-02,"100G CWDM4 V2.0,Std(Welding+Oclaro DFB)",CWDM4,domestic_others,TR-FC13T-N00,,
500-4292,"100G CWDM4 V2.0,Std(Gen3 Mitsubishi DFB)",CWDM4,domestic_others,TR-FC13T-N00,,
500-4693,"QSFP+ IR4 V3.0(Mitsubishi Gen3),Standard",QSFP+ IR4,domestic_others,TR-QQ13T-N00,,
500-4692,"QSFP+ LR4 V3.0(Mitsubishi Gen3),Standard",QSFP+ LR4,domestic_others,TR-QQ13L-N00,,
500-3979-02,"100G eCWDM4 V2.0,10Km,Std(Weld+Ocl DFB)",ECWDM4,domestic_others,TR-FC13X-N00,,
500-7232,100G QSFP28 CGR4 BiDi Gen3 2km Standard,CGR4 BIDI,domestic_others,TR-BC13P-H00,,
561-0056,"100G QSFP28 CWDM4 COP,Std(Weld+Ocl),TW",CWDM4,domestic_others,TR-FC13T-N00,,
500-4562,"40G QSFP+LR4 V3,CWDM4 S Platform_Ocl,Std",QSFP+ LR4,domestic_others,TR-QQ13L-N00,,
500-3853-02,"100G CWDM4 V2.0,Std,Weld(Ocl DFB+M37244)",CWDM4,domestic_others,TR-FC13T-N00,,
561-0024,#N/A,QSFP+ LR4,domestic_others,TR-QQ13L-N00,,
500-6700,"40G LX4 C1,1310nm,Oclaro,CT,Std",CY LX4,domestic_others,TR-QQ13Y-N00,,
500-4342,40G/100G Rate selection QSFP28 CWDM4,CWDM4,domestic_others,TR-FD13T-N00,,
500-3776-02-RW,"100G CWDM4 V2.0,Std(Weld+Ocl)for WXZX",CWDM4,domestic_others,TR-FC13T-N00,,
500-4074-02,"40G/100G CWDM4 V2.0,2Km,Stand(Weld+Ocl)",CWDM4,domestic_others,TR-FD13T-N00,,
500-4847,"QSFP28 CWDM4 Lite,Std(Gen3 Mitsubishi)",CWDM4 Lite,domestic_others,TR-FC13H-N00,,
500-3978-02,"TR-FC13X-N59,eCWDM4 V2.0,Oclaro+M37244",ECWDM4,domestic_others,TR-FC13X-N00,,
561-0023,#N/A,QSFP+ IR4,domestic_others,TR-QQ13T-N00,,
500-4028-02,40G QSFP+LR4 V3.0(CWDM4 Pla_ Ocl DFB)Std,QSFP+ LR4,domestic_others,TR-QQ13L-N00,,
561-0183,100G QSFP28 CWDM4 COP V2.0 2Km Blank TW,CWDM4,domestic_others,TR-FC13T-NBK,,
561-0184,100G QSFP28 CWDM4 COP V2.0 2Km Blank TW,CWDM4,domestic_others,TR-FC13T-NBK,,
503-0035-IW,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85S-NC3,,
500-5384,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,858,TR-FC85S-N00-H3C,,
503-0036-IW,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85S-NC3,,
500-4619,100G QSFP28 SR4,100G QSFP28 SR4,655,TR-FC85S-NAR,,
500-6159-015,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FPQYxxx-N00,,
500-6159-025,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FPQYxxx-N00,,
500-3186,100G QSFP28 SR4,100G QSFP28 SR4,888,TR-FC85S-N00,,
561-0005,100G QSFP28 SR4,100G QSFP28 SR4,international_others,TR-FC85S-NGT,,
500-4925,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-FC85S-N00,,
500-4955,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,818,TR-FC85S-N00,,
500-5615-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5615-007,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5615-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-6283-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,international_otherss,TF-FCxxx-M00,,
500-4513-003,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FCxxx-NJC,,
500-3344,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85S-N00,,
500-5615-002,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5522,100G QSFP28 SR4,100G QSFP28 SR4,828,TR-FC85S-NZT,,
500-3231,100G QSFP28 SR4,100G QSFP28 SR4,828,TR-FC85S-N00,,
500-5615-015,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5615-020,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5615-025,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5615-030,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-3165,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85S-N00,,
500-3190,100G QSFP28 SR4,100G QSFP28 SR4,818,TR-FC85S-N00,,
500-3206,100G QSFP28 SR4,100G QSFP28 SR4,858,TR-FC85S-N00-H3C,,
500-3209,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85S-NBK,,
500-3245,100G QSFP28 SR4,100G QSFP28 SR4,international_others,TR-FC85S-NIN,,
500-3259,100G QSFP28 SR4,100G QSFP28 SR4,858,TR-FC85S-NHP,,
500-3261,100G QSFP28 SR4,100G QSFP28 SR4,Ciena,TR-FC85S-NCN,,
500-3265-005,100G QSFP28 AOC,100G QSFP28 AOC,858,TF-FCxxx-N00-H3C,,
500-3265-007,100G QSFP28 AOC,100G QSFP28 AOC,858,TF-FCxxx-N00-H3C,,
500-3265-020,100G QSFP28 AOC,100G QSFP28 AOC,858,TF-FCxxx-N00-H3C,,
500-3265-030,100G QSFP28 AOC,100G QSFP28 AOC,858,TF-FCxxx-N00-H3C,,
500-3287,100G QSFP28 SR4,100G QSFP28 SR4,vitex,TR-FC85S-N00,,
500-3335,100G QSFP28 SR4,100G QSFP28 SR4,Precision,TR-FC85S-NPT,,
500-3385,100G QSFP28 SR4,100G QSFP28 SR4,Coriant,TR-FC85S-NCT,,
500-3417-003,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-NBK,,
500-3417-004,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-NBK,,
500-3417-006,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-NBK,,
500-3417-007,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-NBK,,
500-3417-008,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-NBK,,
500-3417-013,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-NBK,,
500-3417-025,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-NBK,,
500-3417-100,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-NBK,,
500-3426-001,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-N00,,
500-3426-002,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-N00,,
500-3426-003,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-N00,,
500-3426-005,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-N00,,
500-3426-006,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-N00,,
500-3426-007,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-N00,,
500-3426-025,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-N00,,
500-3426-030,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FCxxx-N00,,
500-3432-001,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FCxxx-NJC,,
500-3432-003,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FCxxx-NJC,,
500-3432-005,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FCxxx-NJC,,
500-3432-007,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FCxxx-NJC,,
500-3432-010,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FCxxx-NJC,,
500-3432-015,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FCxxx-NJC,,
500-3432-020,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FCxxx-NJC,,
500-3432-030,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FCxxx-NJC,,
500-3462-001,100G QSFP28 AOC,100G QSFP28 AOC,677,TF-FCxxx-NC2,,
500-3462-003,100G QSFP28 AOC,100G QSFP28 AOC,677,TF-FCxxx-NC2,,
500-3462-020,100G QSFP28 AOC,100G QSFP28 AOC,677,TF-FCxxx-NC2,,
500-3462-025,100G QSFP28 AOC,100G QSFP28 AOC,677,TF-FCxxx-NC2,,
500-3481,100G QSFP28 SR4,100G QSFP28 SR4,633,TR-FC85S-NJP,,
500-3521-001,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FPQYxxx-NJC,,
500-3521-007,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FPQYxxx-NJC,,
500-3521-020,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FPQYxxx-NJC,,
500-3521-030,100G QSFP28 AOC,100G QSFP28 AOC,633,TF-FPQYxxx-NJC,,
500-3659,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85S-E00,,
500-3664,100G QSFP28 SR4,100G QSFP28 SR4,international_otherss,TR-FC85S-NES,,
500-3730-005,100G QSFP28 AOC,100G QSFP28 AOC,Molex,TF-FCxxx-N00,,
500-3730-006,100G QSFP28 AOC,100G QSFP28 AOC,Molex,TF-FCxxx-N00,,
500-3730-007,100G QSFP28 AOC,100G QSFP28 AOC,Molex,TF-FCxxx-N00,,
500-3783,100G QSFP28 SR4,100G QSFP28 SR4,677,TR-FD85S-NCI,,
500-3784,100G QSFP28 SR4,100G QSFP28 SR4,Gigamon,TR-FD85S-NGM,,
500-3830-003,100G QSFP28 AOC,100G QSFP28 AOC,Coriant,TF-FCxxx-NCT,,
500-3830-010,100G QSFP28 AOC,100G QSFP28 AOC,Coriant,TF-FCxxx-NCT,,
500-3888,100G QSFP28 SR4,100G QSFP28 SR4,898,TR-FC85S-NTC,,
500-3909,100G QSFP28 SR4,100G QSFP28 SR4,858,TR-FC85S-N00-H3C,,
500-3958-005,100G QSFP28 AOC,100G QSFP28 AOC,Intel,TF-FPQYxxx-NTL,,
500-3958-010,100G QSFP28 AOC,100G QSFP28 AOC,Intel,TF-FPQYxxx-NTL,,
500-4000-001,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FPQYxxx-N00,,
500-4000-002,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FPQYxxx-N00,,
500-4000-005,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FPQYxxx-N00,,
500-4000-007,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FPQYxxx-N00,,
500-4000-010,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FPQYxxx-N00,,
500-4000-020,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FPQYxxx-N00,,
500-4005,100G QSFP28 SR4,100G QSFP28 SR4,818,TR-FC85S-N00,,
500-4029,100G QSFP28 SR4,100G QSFP28 SR4,818,TR-FC85S-N00,,
500-4054,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85S-N00,,
500-4070,100G QSFP28 SR4,100G QSFP28 SR4,633,TR-FC85X-NJC,,
500-4081,100G QSFP28 SR4,100G QSFP28 SR4,818,TR-FC85S-N00,,
500-4088,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85X-NBK,,
500-4125,100G QSFP28 SR4,100G QSFP28 SR4,818,TR-FC85S-N00,,
500-4171,100G QSFP28 SR4,100G QSFP28 SR4,858,TR-FC85S-N00-H3C,,
500-4188,100G QSFP28 SR4,100G QSFP28 SR4,Coriant,TR-FA85S-NCT,,
500-4191,100G QSFP28 SR4,100G QSFP28 SR4,855,TR-FC85S-N00,,
500-4235-003,100G QSFP28 AOC,100G QSFP28 AOC,818,TF-FCxxx-NAY,,
500-4235-005,100G QSFP28 AOC,100G QSFP28 AOC,818,TF-FCxxx-NAY,,
500-4235-007,100G QSFP28 AOC,100G QSFP28 AOC,818,TF-FCxxx-NAY,,
500-4235-010,100G QSFP28 AOC,100G QSFP28 AOC,818,TF-FCxxx-NAY,,
500-4235-020,100G QSFP28 AOC,100G QSFP28 AOC,818,TF-FCxxx-NAY,,
500-4236-003,100G QSFP28 AOC,100G QSFP28 AOC,818,TF-FCxxx-NAA,,
500-4236-005,100G QSFP28 AOC,100G QSFP28 AOC,818,TF-FCxxx-NAA,,
500-4236-007,100G QSFP28 AOC,100G QSFP28 AOC,818,TF-FCxxx-NAA,,
500-4236-020,100G QSFP28 AOC,100G QSFP28 AOC,818,TF-FCxxx-NAA,,
500-4349,100G QSFP28 SR4,100G QSFP28 SR4,677,TR-FC85S-NBM,,
500-4442,100G QSFP28 SR4,100G QSFP28 SR4,Intel,TR-FC85S-MTL,,
500-4443-005,100G QSFP28 AOC,100G QSFP28 AOC,Intel,TF-FCxxx-MTL,,
500-4443-010,100G QSFP28 AOC,100G QSFP28 AOC,Intel,TF-FCxxx-MTL,,
500-4484,100G QSFP28 eSR4,100G QSFP28 eSR4,Precision,TR-FC85X-NPT,,
500-4618-003,100G QSFP28 AOC,100G QSFP28 AOC,655,TF-FCxxx-NAR,,
500-4618-005,100G QSFP28 AOC,100G QSFP28 AOC,655,TF-FCxxx-NAR,,
500-4618-007,100G QSFP28 AOC,100G QSFP28 AOC,655,TF-FCxxx-NAR,,
500-4618-015,100G QSFP28 AOC,100G QSFP28 AOC,655,TF-FCxxx-NAR,,
500-4618-020,100G QSFP28 AOC,100G QSFP28 AOC,655,TF-FCxxx-NAR,,
500-4725,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85S-N00,,
500-4954,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,888,TR-FC85S-H00,,
500-4961-002,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-4961-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-4961-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-4961-007,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-4961-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-4961-015,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-4961-020,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-4962-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,818,TF-FCxxx-NAA,,
500-4962-020,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,818,TF-FCxxx-NAA,,
500-4962-0P5,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,818,TF-FCxxx-NAA,,
500-5022,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international_others,TR-FC85S-N00,,
500-5052-001,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,633,TF-FPQYxxx-NJC,,
500-5052-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,633,TF-FPQYxxx-NJC,,
500-5052-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,633,TF-FPQYxxx-NJC,,
500-5052-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,633,TF-FPQYxxx-NJC,,
500-5052-020,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,633,TF-FPQYxxx-NJC,,
500-5202-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,898,TF-FPQYxxx-NJC,,
500-5202-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,898,TF-FPQYxxx-NJC,,
500-5212,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85S-N00,,
500-5216-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-5216-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-5216-007,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-5216-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-5225,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85S-N00,,
500-5274,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-QQ85X-N00,,
500-5275,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-QQ85S-N00,,
500-5359,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-FC85S-N00,,
500-5391-001,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5391-002,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5391-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5391-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5391-007,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5391-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5391-015,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5391-020,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5391-025,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5391-030,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5392,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85S-NC3,,
500-5481,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85S-NC3,,
500-5508-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,Intel,TF-FCxxx-NTL,,
500-5594,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,898,TR-FC85S-NTC,,
500-5601,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international_others,TR-FC85S-N00,,
500-5614-001,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5614-002,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5614-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5614-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5614-007,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5614-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5614-015,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5614-020,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5614-025,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5614-030,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-5615-001,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5615-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5634,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-FC85S-N00,,
500-5702,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85G-NCI,,
500-5703,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85G-NCI,,
500-5818,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85S-NB2,,
500-5958,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international_others,TR-FC85S-NCE,,
500-5988,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,855,TR-FC85S-N00,,
500-5989,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,858,TR-FC85S-NHP,,
500-5990,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,858,TR-FC85S-N00,,
500-6059,100G QSFP28 SR4 Gen3.1,100G QSFP28 SR4 Gen3.1,domestic_others,TR-FC85S-N00,,
500-6095,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international_others,TR-QQ85S-N00,,
500-6099,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85S-NB2,,
500-6159-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FPQYxxx-N00,,
500-6159-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FPQYxxx-N00,,
500-6159-007,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FPQYxxx-N00,,
500-6159-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FPQYxxx-N00,,
500-6249-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FPQYxxx-M00,,
500-6253,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-FC85S-N00,,
500-6282-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,international_others,TF-FPQYxxx-M00,,
500-6282-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,international_others,TF-FPQYxxx-M00,,
500-6283-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,international_others,TF-FCxxx-M00,,
500-6336,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,828,TR-FC85S-NZT,,
500-6382-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,international_others,TF-FPQYxxx-M00,,
500-6393,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-QQ85S-NBK,,
500-6496,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international_others,TR-FC85S-NPT,,
500-6512,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-FC85S-N00,,
500-6650,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international_others,TR-FC85S-N00,,
500-6681,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,858,TR-FC85S-N00,,
500-4701,100G QSFP28 SR4,100G QSFP28 SR4,888,TR-FC85S-N00,,
500-5586,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,833,TR-FC85S-N00,,
500-6201,100G QSFP28 SR4 Gen3.1,100G QSFP28 SR4 Gen3.1,domestic_others,TR-FC85S-N00,,
503-0032-007-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0032-010-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0032-020-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0032-025-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0032-030-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0033-001-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0033-003-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0033-007-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0033-010-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0033-020-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0033-025-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
503-0033-030-IW,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
561-0027,100G QSFP28 SR4,100G QSFP28 SR4,international_others,TR-FC85S-NKS,,
561-0028,100G QSFP28 SR4,100G QSFP28 SR4,international_others,TR-FC85S-N00,,
561-0104,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international_others,TR-FC85S-N00,,
561-0119,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international_others,TR-FC85S-NCE,,
561-0124,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85S-NC3,,
561-0125,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85S-NC3,,
561-0126,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85G-NCI,,
561-0127,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85G-NCI,,
561-0128,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85S-NB2,,
561-0129,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TR-FC85S-NB2,,
561-0134-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
561-0134-007,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
561-0134-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
