FG/PN,FG description,Model,Customer abbreviate,PN for customer,,
500-4890,"QSFP+ IR4/LR4 V3.0(100G_Mit Gen3),AWS",QSFP+ IR4,688,TR-QQ13T-NAM,,
500-5819,"100G eCWDM4 Gen3 Receiver only,Ali R0",COP GEN3 ECWDM4,818,TR-FC13X-NRO,,
562-0100,"100G QSFP28 CWDM4 COP V2(Mit),Cisco,TW",CWDM4,677,TR-FC13T-NCI,,
500-5282,100G QSFP28 CWDM4 COP V2 Google Weld+Ocl,CWDM4,666,TR-FC13T-NGL,,
500-3806,"100G CGR4 Gen3 V2.0,Weld+Ocl+GCS+GN2110B",CGR4,666,TR-FC13P-H00,,
500-4793,QSFP+ IR4 V3.0(100G CWDM4_Oclaro) H3C,QSFP+ IR4,858,TR-FC13T-N4T-H3C,,
500-5281,"100G QSFP28 CWDM4 COP V2 Google,Mit DFB",CWDM4,666,TR-FC13T-NGL,,
561-0081,"100G Q28 CGR4 Gen3,Google(Ocl),from TW",CGR4,666,TR-FC13P-H00,,
500-6553,"40G LX4 C1,1310nm,Oclaro,CT,ARISTA",CY LX4,655,TR-QQ13Y-NA2,,
500-6137,"100G QSFP28 CGR4 Gen3 V2.0,GL(Mit)",CGR4,666,TR-FC13P-H00,,
500-5773,"Q28 CWDM4 Gen3,H3C(SEI,GN2105B+GN2110S)",COP GEN3,858,TR-FC13T-N00-H3C,,
500-4693,"QSFP+ IR4 V3.0(Mitsubishi Gen3),Standard",QSFP+ IR4,international_others,TR-QQ13T-N00,,
500-6803,40G QSFP+ LX4(100G QSFP28 CWDM4)H3C UNIS,LX4,858,TR-QQ13Y-N00,,
561-0037,"100G CGR4 Gen3 V2(Weld+Sum DFB)Google,TW",CGR4,666,TR-FC13P-H00,,
500-4042,"100G CWDM4 BiDi,Std(Ocl+GCS PD+GN2110B)",CWDM4 BIDI,international_others,TR-BC13T-N00,,
500-4692,"QSFP+ LR4 V3.0(Mitsubishi Gen3),Standard",QSFP+ LR4,international_others,TR-QQ13L-N00,,
561-0035,"40G LR4 V3S,(CWDM4 Mits G3) Gigamon,TW",QSFP+ LR4,international_others,TR-QQ13L-NGT,,
500-3979-02,"100G eCWDM4 V2.0,10Km,Std(Weld+Ocl DFB)",ECWDM4,international_others,TR-FC13X-N00,,
500-7232,100G QSFP28 CGR4 BiDi Gen3 2km Standard,CGR4 BIDI,international_others,TR-BC13P-H00,,
500-4516,"40G&100G CWDM4 Lite,Facebook(Gen3 Mit)",CWDM4 Lite,678,TR-FC13H-HF3,,
500-6417,"100G CWDM4 COP Gen3.1,Mit+Sif,Alibaba",成研3.1,818,TR-FC13T-N00,,
500-7073,40G QSFP+ LR4 V3.0(100G CWDM4)10km HT,QSFP+ LR4,888,TR-FC13T-N4X,,
561-0056,"100G QSFP28 CWDM4 COP,Std(Weld+Ocl),TW",CWDM4,international_others,TR-FC13T-N00,,
500-4791,QSFP+ LR4 V3.0(100G CWDM4_Oclaro)H3C,QSFP+ LR4,858,TR-FC13T-N4X-H3C,,
500-4562,"40G QSFP+LR4 V3,CWDM4 S Platform_Ocl,Std",QSFP+ LR4,international_others,TR-QQ13L-N00,,
500-4639,"40G QSFP+ LR4 V3(CWDM4 Pla_Ocl,GCS)HT",QSFP+ LR4,888,TR-FC13T-N4X,,
500-5057,"40G QSFP+IR4 V3 100G CWDM4 Mit DFB,H3C",QSFP+ IR4,858,TR-FC13T-N4T-H3C,,
500-5059,40G QSFP IR4 V3 100G CWDM4 Gen3 Mit HP,QSFP+ IR4,858,TR-FC13T-THP,,
500-5060,40G QSFP LR4 V3 100G CWDM4 Gen3 Mit HP,QSFP+ LR4,858,TR-FC13T-XHP,,
500-4327,"100G CWDM4 V2.0,Alibaba(Gen3 Mit DFB)",CWDM4,818,TR-FC13T-N00,,
500-4190,"100G CWDM4 V2.0,baidu(Weld+Oclaro DFB)",CWDM4,855,TR-FC13T-N00,,
500-6420,"100G CWDM4 COP Gen3.1,Mit+Sif,baidu",成研3.1,855,TR-FC13T-N00,,
500-6984,100G QSFP28 CWDM4 COP V2.0 2Km baidu,CWDM4,855,TR-FC13T-N00,,
500-4325,"100G CWDM4 V2.0,J3 740-061408(Gen3 Mit)",CWDM4,633,TR-FC13T-NJ3,,
500-3972-02,"TR-FC13T-N114,CWDM4 V2.0,Ali,Oclaro",CWDM4,818,TR-FC13T-N00,,
500-7072,40G QSFP+ IR4 V3.0(100G CWDM4)2km HT,QSFP+ IR4,888,TR-FC13T-N4T,,
500-4912,"100G COP Gen3,stan(SEI,GN2110S,Sif )",COP GEN3,domestic_others,TR-FC13T-N00,,
