FG PN,PLANT,Work order code,,,,
500-3918,2000,M51,,,,
500-3922,1000,F13,,,,
500-3925,1000,M51,,,,
500-3925-02,1000,M51,,,,
500-3925-02,2000,M51,,,,
500-3926,1000,M51,,,,
500-3927,1000,M53,,,,
500-3927-02,1000,M53,,,,
500-3928,1000,M53,,,,
500-3940,1000,F11,,,,
500-3941,1000,F11,,,,
500-3943,1000,F13,,,,
500-3953-02,1000,M51,,,,
500-3953-06,1000,M51,,,,
500-3953-06,2000,M51,,,,
500-3953-06-TW,6000,M51,,,,
500-3954-01,1000,M51,,,,
500-3954-02,1000,M51,,,,
500-3954-03,1000,M51,,,,
500-3954-05,1000,M51,,,,
500-3954-06,1000,M51,,,,
500-3956,1000,F13,,,,
500-3971-02,1000,M51,,,,
500-3972-01,1000,M51,,,,
500-3972-02,1000,M51,,,,
500-3972-02,2000,M51,,,,
500-3984,1000,F11,,,,
500-3986-01,1000,F13,,,,
500-3987-01,1000,M51,,,,
500-3987-02,1000,M51,,,,
500-3987-03,1000,M51,,,,
500-3987-04,1000,M51,,,,
500-3997,1000,F13,,,,
500-3998,1000,F13,,,,
500-4001,1000,F11,,,,
500-4005,1000,F02,,,,
500-4005,2000,F02,,,,
500-4008,1000,F13,,,,
500-4011-01,1000,M51,,,,
500-4012-01,1000,M51,,,,
500-4013-01,1000,M51,,,,
500-4014-01,1000,M51,,,,
500-4021,1000,F11,,,,
500-4022-02,1000,M51,,,,
500-4023-01,1000,M51,,,,
500-4023-02,1000,M51,,,,
500-4028-01,1000,F35,,,,
500-4028-02,1000,F35,,,,
500-4037,1000,M53,,,,
500-4039-02,1000,F13,,,,
500-4042,1000,F17,,,,
500-4042,2000,F17,,,,
500-4046,1000,F11,,,,
500-4054,1000,F02,,,,
500-4054,2000,F02,,,,
500-4065-01,1000,M51,,,,
500-4066-01,1000,F35,,,,
500-4066-02,1000,F35,,,,
500-4066-02,2000,F35,,,,
500-4067-01,1000,F35,,,,
500-4067-02,1000,F35,,,,
500-4067-02,2000,F35,,,,
500-4074-01,1000,M51,,,,
500-4074-02,1000,M51,,,,
500-4081,1000,F02,,,,
500-4081,2000,F02,,,,
500-4090,1000,F02,,,,
500-4094,1000,F13,,,,
500-4102,1000,F11,,,,
500-4103,1000,F11,,,,
500-4106,1000,F11,,,,
500-4106-01,1000,F11,,,,
500-4110,1000,F13,,,,
500-4114,1000,F11,,,,
500-4115,1000,F02,,,,
500-4117-003,1000,F01,,,,
500-4117-010,1000,F01,,,,
500-4117-030,1000,F01,,,,
500-4125,1000,F02,,,,
500-4125,2000,F02,,,,
500-4128,1000,M51,,,,
500-4129,1000,M51,,,,
500-4164-02,1000,M51,,,,
500-4164-02,2000,M51,,,,
500-4170,1000,M51,,,,
500-4188,1000,F02,,,,
500-4188,2000,F02,,,,
500-4189,1000,M51,,,,
500-4190,1000,M51,,,,
500-4190,2000,M51,,,,
500-4191,1000,F02,,,,
500-4191,2000,F02,,,,
500-4210,1000,M51,,,,
500-4211,1000,M51,,,,
500-4212,1000,M51,,,,
500-4212,2000,M51,,,,
500-4216,1000,M51,,,,
500-4216,2000,M51,,,,
500-4218-01,1000,M51,,,,
500-4218-02,1000,M51,,,,
500-4218-03,1000,M51,,,,
500-4218-04,1000,M51,,,,
500-4219-01,1000,M51,,,,
500-4219-02,1000,M51,,,,
500-4219-03,1000,M51,,,,
500-4219-04,1000,M51,,,,
500-4219-05,1000,M51,,,,
500-4232,1000,M51,,,,
500-4233,1000,M51,,,,
500-4235-003,1000,F01,,,,
500-4235-005,1000,F01,,,,
500-4235-007,1000,F01,,,,
500-4235-010,1000,F01,,,,
500-4235-020,1000,F01,,,,
500-4236-003,1000,F01,,,,
500-4236-005,1000,F01,,,,
500-4236-007,1000,F01,,,,
500-4236-020,1000,F01,,,,
500-4290,1000,M51,,,,
500-4291,1000,M51,,,,
500-4292,1000,M51,,,,
500-4292,2000,M51,,,,
500-4293,1000,M51,,,,
500-4293,2000,M51,,,,
500-4294-02,1000,M51,,,,
500-4294-02,2000,M51,,,,
500-4294-02-TW,6000,M51,,,,
500-4295-02,1000,M51,,,,
500-4295-02,2000,M51,,,,
500-4295-02-TW,6000,M51,,,,
500-4296-02,1000,M51,,,,
500-4297-02,1000,M51,,,,
500-4305,1000,M51,,,,
500-4306,1000,M51,,,,
500-4323,1000,M51,,,,
500-4324,1000,M51,,,,
500-4324,2000,M51,,,,
500-4325,1000,M51,,,,
500-4325,2000,M51,,,,
500-4325,6000,M51,,,,
500-4326,1000,M51,,,,
500-4327,1000,M51,,,,
500-4327,2000,M51,,,,
500-4329,1000,M51,,,,
500-4330,1000,M51,,,,
500-4331,1000,M51,,,,
500-4332,1000,M51,,,,
500-4333,1000,M51,,,,
500-4336,1000,M51,,,,
500-4337,1000,M53,,,,
500-4338,1000,M53,,,,
500-4338,2000,M53,,,,
500-4339,1000,M53,,,,
500-4341,1000,M51,,,,
500-4342,1000,M51,,,,
500-4342,2000,M51,,,,
500-4349,1000,F02,,,,
500-4349,2000,F02,,,,
500-4376,1000,F11,,,,
500-4377,1000,F11,,,,
500-4378,1000,M51,,,,
500-4378,2000,M51,,,,
500-4393-01,1000,M51,,,,
500-4393-02,1000,M51,,,,
500-4393-02,2000,M51,,,,
500-4393-03,1000,M51,,,,
500-4393-04,1000,M51,,,,
500-4393-05,1000,M51,,,,
500-4442,1000,F02,,,,
500-4443-005,1000,F01,,,,
500-4443-010,1000,F01,,,,
500-4443-015,1000,F01,,,,
500-4443-020,1000,F01,,,,
500-4465,1000,F11,,,,
500-4483,1000,M51,,,,
500-4483,2000,M51,,,,
500-4494,1000,M51,,,,
500-4513-001,1000,F01,,,,
500-4513-003,1000,F01,,,,
500-4513-005,1000,F01,,,,
500-4513-007,1000,F01,,,,
500-4513-010,1000,F01,,,,
500-4513-015,1000,F01,,,,
500-4513-020,1000,F01,,,,
500-4513-030,1000,F01,,,,
500-4515,1000,M53,,,,
500-4516,1000,M53,,,,
500-4516,2000,M53,,,,
500-4516,6000,M53,,,,
500-4519,1000,F35,,,,
500-4537,1000,M51,,,,
500-4561,1000,F35,,,,
500-4561-R,2000,F35,,,,
500-4562,1000,F35,,,,
