FG PN,PLANT,Work order code,,,,
500-6383-010,1000,F28,,,,
500-6383-015,1000,F28,,,,
500-6383-020,1000,F28,,,,
500-6383-030,1000,F28,,,,
500-6393,1000,F38,,,,
500-6393,2000,F38,,,,
500-6394-001,1000,G10,,,,
500-6394-002,1000,G10,,,,
500-6394-003,1000,G10,,,,
500-6394-005,1000,G10,,,,
500-6394-007,1000,G10,,,,
500-6394-010,1000,G10,,,,
500-6394-015,1000,G10,,,,
500-6394-020,1000,G10,,,,
500-6394-030,1000,G10,,,,
500-6412,1000,F40,,,,
500-6412,2000,F40,,,,
500-6413,1000,F40,,,,
500-6413,2000,F40,,,,
500-6414,1000,F40,,,,
500-6414,2000,F40,,,,
500-6415,1000,F40,,,,
500-6415,2000,F40,,,,
500-6417,1000,F40,,,,
500-6417,2000,F40,,,,
500-6418,1000,F40,,,,
500-6418,2000,F40,,,,
500-6419,1000,F40,,,,
500-6419,2000,F40,,,,
500-6420,1000,F40,,,,
500-6420,2000,F40,,,,
500-6421,1000,F40,,,,
500-6421,2000,F40,,,,
500-6433,1000,F40,,,,
500-6433,2000,F40,,,,
500-6448,1000,F37,,,,
500-6448,2000,F37,,,,
500-6465,1000,F29,,,,
500-6485,1000,F37,,,,
500-6485,2000,F37,,,,
500-6496,1000,F29,,,,
500-6496,2000,F29,,,,
500-6512,1000,F29,,,,
500-6512,2000,F29,,,,
500-6513,1000,F40,,,,
500-6513,2000,F40,,,,
500-6569,1000,F35,,,,
500-6570,1000,F35,,,,
500-6575,1000,F38,,,,
500-6650,1000,F29,,,,
500-6650,2000,F29,,,,
500-6671,1000,F29,,,,
500-6671,2000,F29,,,,
500-6672,1000,F29,,,,
500-6672,2000,F29,,,,
500-6681,1000,F29,,,,
500-6681,2000,F29,,,,
500-6726,1000,F02,,,,
500-6726,2000,F02,,,,
500-6727,1000,F02,,,,
500-6727,2000,F02,,,,
500-6803,1000,F37,,,,
500-6803,2000,F37,,,,
500-6884,2000,F40,,,,
500-6912,1000,M51,,,,
500-6912,2000,M51,,,,
500-6984,1000,M51,,,,
500-6984,2000,M51,,,,
500-7041,1000,F30,,,,
500-7041,2000,F30,,,,
500-7064,1000,F40,,,,
500-7064,2000,F40,,,,
500-7072,1000,F33,,,,
500-7072,2000,F33,,,,
500-7073,1000,F35,,,,
500-7073,2000,F35,,,,
500-7114,2000,F29,,,,
500-7115,1000,F29,,,,
500-7115,2000,F29,,,,
500-7179-001,1000,G10,,,,
500-7179-002,1000,G10,,,,
500-7179-003,1000,G10,,,,
500-7179-005,1000,G10,,,,
500-7179-007,1000,G10,,,,
500-7179-010,1000,G10,,,,
500-7179-015,1000,G10,,,,
500-7179-020,1000,G10,,,,
500-7179-025,1000,G10,,,,
500-7179-030,1000,G10,,,,
500-7180-001,1000,G10,,,,
500-7180-002,1000,G10,,,,
500-7180-003,1000,G10,,,,
500-7180-005,1000,G10,,,,
500-7180-007,1000,G10,,,,
500-7180-010,1000,G10,,,,
500-7180-015,1000,G10,,,,
500-7180-020,1000,G10,,,,
500-7180-030,1000,G10,,,,
500-7206-003,1000,F28,,,,
500-7206-005,1000,F28,,,,
500-7206-007,1000,F28,,,,
500-7206-010,1000,F28,,,,
500-7206-015,1000,F28,,,,
500-7206-020,1000,F28,,,,
500-7207-001,1000,F28,,,,
500-7207-002,1000,F28,,,,
500-7207-003,1000,F28,,,,
500-7207-005,1000,F28,,,,
500-7207-007,1000,F28,,,,
500-7207-010,1000,F28,,,,
500-7207-015,1000,F28,,,,
500-7207-020,1000,F28,,,,
500-7207-025,1000,F28,,,,
500-7207-030,1000,F28,,,,
500-7283-010,1000,F28,,,,
500-7284-010,1000,F28,,,,
503-0032-001-IW,1000,F28,,,,
503-0032-001-IW,6000,F28,,,,
503-0032-002-IW,1000,F28,,,,
503-0032-002-IW,6000,F28,,,,
503-0032-003-IW,1000,F28,,,,
503-0032-003-IW,6000,F28,,,,
503-0032-005-IW,1000,F28,,,,
503-0032-005-IW,6000,F28,,,,
503-0032-007-IW,1000,F28,,,,
503-0032-007-IW,6000,F28,,,,
503-0032-010-IW,1000,F28,,,,
503-0032-010-IW,6000,F28,,,,
503-0032-015-IW,1000,F28,,,,
503-0032-015-IW,6000,F28,,,,
503-0032-020-IW,1000,F28,,,,
503-0032-020-IW,6000,F28,,,,
503-0032-025-IW,1000,F28,,,,
503-0032-025-IW,6000,F28,,,,
503-0032-030-IW,1000,F28,,,,
503-0032-030-IW,6000,F28,,,,
503-0033-001-IW,6000,F28,,,,
503-0033-002-IW,6000,F28,,,,
503-0033-003-IW,1000,F28,,,,
503-0033-003-IW,6000,F28,,,,
503-0033-005-IW,6000,F28,,,,
503-0033-007-IW,6000,F28,,,,
503-0033-010-IW,1000,F28,,,,
503-0033-010-IW,6000,F28,,,,
503-0033-015-IW,6000,F28,,,,
503-0033-020-IW,1000,F28,,,,
503-0033-020-IW,6000,F28,,,,
503-0033-025-IW,6000,F28,,,,
503-0033-030-IW,1000,F28,,,,
503-0033-030-IW,6000,F28,,,,
503-0035-IW,6000,F29,,,,
503-0036-IW,6000,F29,,,,
503-0037-IW,6000,F29,,,,
503-0038-IW,6000,F29,,,,
503-0084-ID,5000,M51,,,,
504-1817,1000,F13,,,,
504-1817,2000,F13,,,,
561-0001,1000,M51,,,,
561-0001,6000,M51,,,,
561-0005,6000,F02,,,,
561-0008,6000,M53,,,,
561-0009,1000,M09,,,,
561-0009,6000,M09,,,,
561-0011,6000,M51,,,,
561-0012,6000,F02,,,,
561-0015,6000,M51,,,,
561-0016,6000,M51,,,,
561-0017,6000,M53,,,,
561-0024,6000,F35,,,,
561-0025,1000,M51,,,,
561-0025,6000,M51,,,,
561-0026,1000,M51,,,,
561-0026,6000,M51,,,,
561-0027,6000,F02,,,,
561-0028,6000,F02,,,,
561-0033,1000,M51,,,,
561-0033,6000,M51,,,,
561-0035,6000,F35,,,,
561-0036,6000,F35,,,,
561-0037,6000,M09,,,,
561-0049,6000,F02,,,,
561-0056,6000,F13,,,,
561-0057,6000,F13,,,,
561-0081,6000,M09,,,,
561-0082,6000,M09,,,,
561-0083,6000,M09,,,,
561-0098,6000,M51,,,,
561-0099,6000,M53,,,,
561-0104,6000,F29,,,,
561-0118,6000,F29,,,,
561-0119,6000,F29,,,,
561-0120,6000,F29,,,,
561-0124,6000,F29,,,,
561-0125,6000,F29,,,,
561-0126,6000,F29,,,,
561-0127,6000,F29,,,,
561-0128,6000,F29,,,,
561-0129,6000,F29,,,,
561-0134-001,6000,F28,,,,
561-0134-002,6000,F28,,,,
561-0134-003,6000,F28,,,,
561-0134-005,6000,F28,,,,
561-0134-007,6000,F28,,,,
561-0134-010,6000,F28,,,,
561-0134-015,6000,F28,,,,
561-0134-020,6000,F28,,,,
561-0134-025,6000,F28,,,,
561-0134-030,6000,F28,,,,
561-0135-001,6000,F28,,,,
561-0135-002,6000,F28,,,,
561-0135-003,6000,F28,,,,
561-0135-005,6000,F28,,,,
561-0135-007,6000,F28,,,,
561-0135-010,6000,F28,,,,
561-0135-015,6000,F28,,,,
561-0135-020,6000,F28,,,,
561-0135-025,6000,F28,,,,
561-0135-030,6000,F28,,,,
561-0140,6000,M51,,,,
561-0141,6000,M51,,,,
561-0171,6000,M51,,,,
561-0183,6000,M51,,,,
561-0184,6000,M51,,,,
561-0192,6000,F29,,,,
561-0193,6000,F29,,,,
561-0194,6000,F29,,,,
561-0195,6000,F29,,,,
562-0099,5000,M53,,,,
562-0100,5000,M51,,,,
500-5050-005,1000,M91,,,,
500-5050-007,1000,M91,,,,
500-5050-010,1000,M91,,,,
500-5050-020,1000,M91,,,,
500-5050-XXX,1000,M91,,,,
500-5202-005,1000,M91,,,,
500-5202-007,1000,M91,,,,
500-5202-010,1000,M91,,,,
500-5202-020,1000,M91,,,,
500-5202-XXX,1000,M91,,,,
