PN,Plant,Scrap
300-0317-R,1000,0.00
300-0317-R,2000,0.00
300-0355,1000,0.00
300-0504-CD,1000,0.00
300-0504-CD,2000,0.00
301-0016,1000,0.00
301-0016,2000,0.00
301-0022,1000,0.00
301-0022,2000,0.00
301-0046-CD,1000,0.00
301-0046-CD,2000,0.00
302-0004,1000,0.00
302-0004,2000,0.00
302-0004,5000,0.00
302-0006,1000,0.00
302-0006,2000,0.00
302-0007,1000,0.00
302-0007,2000,0.00
302-0007,5000,0.00
302-0008,1000,0.00
302-0008,2000,0.00
310-0014,1000,0.00
310-0014,2000,0.00
310-0063,1000,0.00
310-0063,2000,0.00
310-0063,5000,0.00
310-0075,1000,0.00
310-0075,2000,0.00
310-0104,1000,0.00
310-0104,2000,0.00
310-0104,5000,0.00
310-0109,1000,0.00
310-0109,2000,0.00
310-0109,5000,0.00
310-0147,1000,0.00
310-0147,2000,0.00
310-0147,5000,0.00
310-0166,1000,0.00
310-0166,2000,0.00
310-0167,1000,0.00
310-0167,2000,0.00
310-0178,1000,0.00
310-0178,2000,0.00
310-0228,1000,0.00
310-0228,2000,0.00
310-0229,1000,0.00
310-0229,2000,0.00
310-0234,1000,0.00
310-0234,2000,0.00
310-0238,1000,0.00
310-0238,2000,0.00
310-0238,5000,0.00
310-0241,1000,0.00
310-0241,2000,0.00
310-0251,1000,0.00
310-0251,2000,0.00
310-0272,1000,0.00
310-0272,2000,0.00
310-0282,1000,0.00
310-0282,2000,0.00
310-0284,1000,0.00
310-0284,2000,0.00
310-0284,5000,0.00
310-0295,1000,0.00
310-0295,2000,0.00
310-0300,1000,0.00
310-0300,2000,0.00
310-0308,1000,0.00
310-0308,2000,0.00
310-0310,1000,0.00
310-0310,2000,0.00
310-0311,1000,0.00
310-0311,2000,0.00
310-0312,1000,0.00
310-0312,2000,0.00
310-0313,1000,0.00
310-0313,2000,0.00
310-0321,1000,0.00
310-0321,2000,0.00
310-0323,1000,0.00
310-0323,2000,0.00
310-0357,1000,0.00
310-0357,2000,0.00
310-0357-R,1000,0.00
310-0357-R,2000,0.00
310-0362,1000,0.00
310-0362,2000,0.00
310-0368,1000,0.00
310-0368,2000,0.00
310-0368,5000,0.00
310-0369,1000,0.00
310-0369,2000,0.00
310-0370,1000,0.00
310-0370,2000,0.00
310-0376,1000,0.00
310-0376,2000,0.00
310-0376,5000,0.00
310-0394,1000,0.00
310-0394,2000,0.00
310-0395,1000,0.00
310-0395,2000,0.00
310-0395,5000,0.00
310-0401,1000,0.00
310-0401,2000,0.00
310-0401,5000,0.00
310-0405,1000,0.00
310-0405,2000,0.00
310-0407,1000,0.00
310-0407,2000,0.00
310-0407-RW,1000,0.00
310-0407-RW,2000,0.00
310-0414-01,1000,0.00
310-0414-01,2000,0.00
310-0414-01,5000,0.00
310-0417,1000,0.00
310-0417,2000,0.00
310-0418,1000,0.00
310-0418,2000,0.00
310-0440,1000,0.00
310-0440,2000,0.00
310-0464,1000,0.00
310-0464,2000,0.00
310-0474,1000,0.00
310-0474,2000,0.00
310-0485,1000,0.00
310-0485,2000,0.00
310-0485,5000,0.00
310-0490,1000,0.00
310-0490,2000,0.00
310-0494-001,1000,0.00
310-0494-001,2000,0.00
310-0494-002,1000,0.00
310-0494-002,2000,0.00
310-0494-003,1000,0.00
310-0494-003,2000,0.00
310-0494-005,1000,0.00
310-0494-005,2000,0.00
310-0494-007,1000,0.00
310-0494-007,2000,0.00
310-0494-010,1000,0.00
310-0494-010,2000,0.00
310-0494-015,1000,0.00
310-0494-015,2000,0.00
310-0494-020,1000,0.00
310-0494-020,2000,0.00
310-0504,1000,0.00
310-0504,2000,0.00
310-0505,1000,0.00
310-0505,2000,0.00
310-0505-R,1000,0.00
310-0505-R,2000,0.00
310-0521,1000,0.00
310-0521,2000,0.00
310-0560,1000,0.00
310-0560,2000,0.00
310-0571,1000,0.00
310-0571,2000,0.00
310-0572,1000,0.00
310-0572,2000,0.00
310-0573,1000,0.00
310-0573,2000,0.00
310-0573,5000,0.00
310-0574,1000,0.00
310-0574,2000,0.00
310-0574,5000,0.00
310-0577,1000,0.00
310-0577,2000,0.00
310-0584,1000,0.00
310-0584,2000,0.00
310-0585,1000,0.00
310-0585,2000,0.00
310-0590,1000,0.00
310-0590,2000,0.00
310-0591,1000,0.00
310-0591,2000,0.00
310-0591-R,1000,0.00
310-0591-R,2000,0.00
310-0612,1000,0.00
310-0612,2000,0.00
310-0647,1000,0.00
310-0724,1000,0.00
310-0724,2000,0.00
310-0734,1000,0.00
310-0734,2000,0.00
311-0005,1000,0.00
311-0005,2000,0.00
311-0057,1000,0.00
311-0057,2000,0.00
311-0058,1000,0.00
311-0058,2000,0.00
311-0102,1000,0.00
311-0102,2000,0.00
311-0183,1000,0.00
311-0183,2000,0.00
311-0185,1000,0.00
311-0185,2000,0.00
311-0207,1000,0.00
311-0207,2000,0.00
311-0244,1000,0.00
311-0244,2000,0.00
311-0244,5000,0.00
311-0252,1000,0.00
311-0252,2000,0.00
311-0260,1000,0.00
311-0260,2000,0.00
311-0276,1000,0.00
311-0276,2000,0.00
311-0276,5000,0.00
311-0276-RW,1000,0.00
311-0357-CD,1000,0.00
311-0357-CD,2000,0.00
311-0363,1000,0.00
311-0363,2000,0.00
311-0423,1000,0.00
311-0424,1000,0.00
311-0436,1000,0.00
311-0436,2000,0.00
311-0437,1000,0.00
311-0437,2000,0.00
311-0460,1000,0.00
311-0460,2000,0.00
312-0002,1000,0.00
312-0002,2000,0.00
312-0008,1000,0.00
312-0008,2000,0.00
312-0036,1000,0.00
312-0036,5000,0.00
313-0001,1000,0.00
313-0001,2000,0.00
313-0001,5000,0.00
313-0010,1000,0.00
313-0010,2000,0.00
313-0010,5000,0.00
313-0039,1000,0.00
313-0039,2000,0.00
313-0039,5000,0.00
313-0041,1000,0.00
313-0041,2000,0.00
313-0041,5000,0.00
313-0043,1000,0.00
313-0043,2000,0.00
313-0043,5000,0.00
313-0048,1000,0.00
313-0048,2000,0.00
313-0059,1000,0.00
313-0059,2000,0.00
313-0059,5000,0.00
313-0062,1000,0.00
313-0062,2000,0.00
313-0065,1000,0.00
313-0065,2000,0.00
313-0065,5000,0.00
313-0068,1000,0.00
313-0068,2000,0.00
313-0068,5000,0.00
320-0109,1000,0.00
320-0109,2000,0.00
320-0128,1000,0.00
320-0128,2000,0.00
320-0128,5000,0.00
320-0248,1000,0.00
320-0248,2000,0.00
320-0284,1000,0.00
320-0284,2000,0.00
320-0284,5000,0.00
320-0328,1000,0.00
320-0328,2000,0.00
320-0367,1000,0.00
320-0367,2000,0.00
320-0368,1000,0.00
320-0368,2000,0.00
320-0378,1000,0.00
320-0378,2000,0.00
320-0410,1000,0.00
320-0410,2000,0.00
320-0412,1000,0.00
320-0412,2000,0.00
320-0413,1000,0.00
320-0413,2000,0.00
320-0436,1000,0.00
320-0436,2000,0.00
320-0437,1000,0.00
320-0437,2000,0.00
320-0438,1000,0.00
320-0438,2000,0.00
320-0439,1000,0.00
320-0439,2000,0.00
320-0440,1000,0.00
320-0440,2000,0.00
320-0441,1000,0.00
320-0441,2000,0.00
320-0443,1000,0.00
320-0443,2000,0.00
320-0468,1000,0.00
320-0468,2000,0.00
320-0470,1000,0.00
320-0470,2000,0.00
320-0471,1000,0.00
320-0471,2000,0.00
320-0474,1000,0.00
320-0474,2000,0.00
320-0486,1000,0.00
320-0486,2000,0.00
320-0491,1000,0.00
320-0491,2000,0.00
320-0493,1000,0.00
320-0493,2000,0.00
320-0501,1000,0.00
320-0501,2000,0.00
320-0502,1000,0.00
320-0502,2000,0.00
320-0503,1000,0.00
320-0503,2000,0.00
320-0516,1000,0.00
320-0516,2000,0.00
320-0517,1000,0.00
320-0517,2000,0.00
320-0518,1000,0.00
320-0518,2000,0.00
320-0535,1000,0.00
320-0535,2000,0.00
320-0550,1000,0.00
320-0550,2000,0.00
320-0577,1000,0.00
320-0577,2000,0.00
320-0580,1000,0.00
320-0580,2000,0.00
320-0582,1000,0.00
320-0582,2000,0.00
320-0583,1000,0.00
320-0583,2000,0.00
320-0585,1000,0.00
320-0585,2000,0.00
320-0611,1000,0.00
320-0611,2000,0.00
320-0614,1000,0.00
320-0614,2000,0.00
320-0706,1000,0.00
320-0706,2000,0.00
320-0759,1000,0.30
320-0759,2000,0.00
320-0763,1000,0.00
320-0763,2000,0.00
320-0836,1000,0.00
320-0836,2000,0.00
321-0004,1000,0.00
321-0004,2000,0.00
321-0055,1000,0.00
321-0055,2000,0.00
321-0057,1000,0.00
321-0057,2000,0.00
321-0058,1000,0.00
321-0058,2000,0.00
321-0059,1000,0.00
321-0059,2000,0.00
321-0172,1000,0.00
321-0172,2000,0.00
321-0173,1000,0.00
321-0173,2000,0.00
330-0005,1000,0.00
330-0005,2000,0.00
330-0006,1000,0.00
330-0006,2000,0.00
330-0006,5000,0.00
330-0007,1000,0.00
330-0007,2000,0.00
330-0024,1000,0.00
330-0024,2000,0.00
330-0024,5000,0.00
330-0025,1000,0.00
330-0025,2000,0.00
330-0025,5000,0.00
330-0081,1000,0.00
330-0081,2000,0.00
330-0081,5000,0.00
330-0087,1000,0.00
330-0087,2000,0.00
330-0087,5000,0.00
330-0088,1000,0.00
330-0088,2000,0.00
330-0088,5000,0.00
330-0094,1000,0.00
330-0094,2000,0.00
330-0095,1000,0.00
330-0095,2000,0.00
330-0101,1000,0.00
330-0101,2000,0.00
330-0101,5000,0.00
330-0104,1000,0.00
330-0104,2000,0.00
330-0111,1000,0.00
330-0111,2000,0.00
330-0121,1000,0.00
330-0121,2000,0.00
330-0133,1000,0.00
330-0133,2000,0.00
330-0135,1000,0.00
330-0135,2000,0.00
330-0138,1000,0.00
330-0138,2000,0.00
330-0142,1000,0.00
330-0142,2000,0.00
330-0162,1000,0.00
330-0162,2000,0.00
330-0164,1000,0.00
330-0164,2000,0.00
330-0164,5000,0.00
330-0168,1000,0.00
330-0168,2000,0.00
330-0173,1000,0.00
330-0173,2000,0.00
330-0174,1000,0.00
330-0174,2000,0.00
330-0176,1000,0.00
330-0176,2000,0.00
330-0189,1000,0.00
330-0189,2000,0.00
330-0194,1000,0.00
330-0194,2000,0.00
330-0194,5000,0.00
330-0198,1000,0.00
330-0198,2000,0.00
330-0198,5000,0.00
330-0201,1000,0.00
330-0201,2000,0.00
330-0203,1000,0.00
330-0203,2000,0.00
330-0205,1000,0.00
330-0205,2000,0.00
330-0205,5000,0.00
330-0207,1000,0.00
330-0207,2000,0.00
330-0209,1000,0.00
330-0209,2000,0.00
330-0214,1000,0.00
330-0214,2000,0.00
330-0214,5000,0.00
330-0216,1000,0.00
330-0216,2000,0.00
330-0223,1000,0.00
330-0223,2000,0.00
330-0227,1000,0.00
330-0227,2000,0.00
330-0228,1000,0.00
330-0228,2000,0.00
330-0228,5000,0.00
330-0229,1000,0.00
330-0229,2000,0.00
330-0233,1000,0.00
330-0233,2000,0.00
330-0233,5000,0.00
330-0234,1000,0.00
330-0234,2000,0.00
330-0234,5000,0.00
330-0255,1000,0.00
330-0255,2000,0.00
330-0258,1000,0.00
330-0258,2000,0.00
330-0265,1000,0.00
330-0265,2000,0.00
330-0266,1000,0.00
330-0266,2000,0.00
330-0266,5000,0.00
330-0269,1000,0.00
330-0269,2000,0.00
330-0271,1000,0.00
330-0271,2000,0.00
330-0273,1000,0.00
330-0273,2000,0.00
330-0273,5000,0.00
330-0281-001,1000,0.00
330-0281-001,2000,0.00
330-0284,1000,0.00
330-0284,2000,0.00
330-0285,1000,0.00
330-0285,2000,0.00
330-0285,5000,0.00
330-0292,1000,0.00
330-0292,2000,0.00
330-0292,5000,0.00
330-0307,1000,0.00
330-0307,2000,0.00
330-0314,1000,0.00
330-0314,2000,0.00
330-0320,1000,0.00
330-0327,1000,0.00
330-0327,2000,0.00
330-0327,5000,0.00
330-0328,1000,0.00
330-0328,2000,0.00
330-0328,5000,0.00
330-0333,1000,0.00
330-0352,1000,0.00
330-0352,2000,0.00
330-0367,1000,0.00
330-0367,2000,0.00
330-0383,1000,0.00
330-0383,2000,0.00
330-0403,1000,0.00
330-0403,2000,0.00
330-0403,5000,0.00
330-0413,1000,0.00
330-0413,2000,0.00
340-0056,1000,0.00
340-0056,2000,0.00
340-0062,1000,0.00
340-0062,2000,0.00
340-0063,1000,0.00
340-0063,2000,0.00
340-0063-R,1000,0.00
340-0063-R,2000,0.00
340-0071,1000,0.00
340-0071,2000,0.00
341-0027,1000,0.00
341-0027,2000,0.00
341-0036,1000,0.00
341-0036,2000,0.00
341-0063,1000,0.00
341-0063,2000,0.00
350-0015,1000,0.00
350-0015,2000,0.00
350-0015,5000,0.00
350-0016,1000,0.00
350-0016,2000,0.00
350-0016,5000,0.00
350-0017,1000,0.00
350-0017,2000,0.00
350-0017,5000,0.00
350-0025,1000,0.00
350-0025,2000,0.00
350-0025,5000,0.00
350-0026,1000,0.00
350-0026,2000,0.00
350-0026,5000,0.00
350-0027,1000,0.00
350-0027,2000,0.00
350-0027,5000,0.00
350-0029,1000,0.00
350-0029,2000,0.00
350-0029,5000,0.00
350-0036,1000,0.00
350-0036,2000,0.00
350-0038,1000,0.00
350-0038,2000,0.00
350-0038,5000,0.00
350-0045,1000,0.00
350-0045,2000,0.00
350-0056,1000,0.00
350-0056,2000,0.00
350-0060,1000,0.00
350-0060,2000,0.00
350-0071,1000,0.00
350-0071,2000,0.00
350-0076,1000,0.00
350-0076,2000,0.00
350-0087,1000,0.00
350-0087,2000,0.00
350-0087,5000,0.00
350-0088,1000,0.00
350-0088,2000,0.00
350-0089,1000,0.00
350-0089,2000,0.00
350-0090,1000,0.00
350-0090,2000,0.00
350-0106,1000,0.00
350-0106,2000,0.00
350-0107,1000,0.00
350-0107,2000,0.00
350-0108,1000,0.00
350-0108,2000,0.00
350-0112,1000,0.00
350-0112,2000,0.00
350-0113,1000,0.00
350-0113,2000,0.00
350-0116,1000,0.00
350-0116,2000,0.00
350-0117,1000,0.00
350-0117,2000,0.00
350-0118,1000,0.00
350-0118,2000,0.00
350-0119,1000,0.00
350-0119,2000,0.00
350-0120,1000,0.00
350-0120,2000,0.00
350-0126,1000,0.00
350-0126,2000,0.00
350-0129,1000,0.00
350-0129,2000,0.00
350-0134,1000,0.00
350-0134,2000,0.00
350-0137,1000,0.00
350-0137,2000,0.00
350-0140,1000,0.00
350-0140,2000,0.00
350-0147,1000,0.00
350-0147,2000,0.00
350-0148,1000,0.00
350-0148,2000,0.00
350-0149,1000,0.00
350-0149,2000,0.00
350-0151,1000,0.00
350-0151,2000,0.00
350-0152,1000,0.00
350-0152,2000,0.00
350-0153,1000,0.00
350-0153,2000,0.00
350-0154,1000,0.00
350-0154,2000,0.00
350-0154,5000,0.00
350-0155,1000,0.00
350-0155,2000,0.00
350-0156,1000,0.00
350-0156,2000,0.00
350-0158,1000,0.00
350-0158,2000,0.00
350-0159,1000,0.00
350-0159,2000,0.00
350-0160,1000,0.00
350-0160,2000,0.00
350-0161,1000,0.00
350-0161,2000,0.00
350-0173,1000,0.00
350-0173,2000,0.00
350-0194,1000,0.00
350-0194,2000,0.00
350-0205,1000,0.00
350-0205,2000,0.00
350-0206,1000,0.00
350-0206,2000,0.00
350-0207,1000,0.00
350-0207,2000,0.00
350-0208,1000,0.00
350-0208,2000,0.00
350-0209,1000,0.00
350-0209,2000,0.00
350-0210,1000,0.00
350-0210,2000,0.00
350-0227,1000,0.00
350-0227,2000,0.00
350-0227,5000,0.00
350-0229,1000,0.00
350-0229,2000,0.00
350-0229,5000,0.00
350-0230,1000,0.00
350-0230,2000,0.00
350-0256,1000,0.00
350-0256,2000,0.00
350-0258,1000,0.00
350-0258,2000,0.00
350-0275,1000,0.00
350-0275,2000,0.00
350-0290,1000,0.00
350-0290,2000,0.00
350-0291,1000,0.00
350-0291,2000,0.00
350-0306,1000,0.00
350-0329,1000,0.00
350-0330,1000,0.00
350-0484,1000,0.00
350-0484,2000,0.00
350-0484,5000,0.00
350-0485,1000,0.00
350-0485,2000,0.00
351-0001,1000,0.00
351-0001,2000,0.00
351-0003,1000,0.00
351-0003,2000,0.00
351-0009,1000,0.00
351-0009,2000,0.00
351-0009,5000,0.00
351-0010,1000,0.00
351-0010,2000,0.00
351-0010,5000,0.00
351-0011,1000,0.00
351-0011,2000,0.00
351-0011,5000,0.00
351-0012,1000,0.00
351-0012,2000,0.00
351-0012,5000,0.00
351-0013,1000,0.00
351-0013,2000,0.00
351-0013,5000,0.00
352-0001,1000,0.00
352-0001,2000,0.00
352-0002,1000,0.00
352-0002,2000,0.00
352-0003,1000,0.00
352-0003,2000,0.00
352-0006,1000,0.00
352-0006,2000,0.00
352-0007,1000,0.00
352-0007,2000,0.00
352-0008,1000,0.00
352-0008,2000,0.00
352-0009,1000,0.00
352-0009,2000,0.00
352-0009,5000,0.00
352-0010,1000,0.00
352-0010,2000,0.00
352-0011,1000,0.00
352-0011,2000,0.00
352-0022,1000,0.00
352-0023,1000,0.00
352-0024,1000,0.00
353-0003,1000,0.00
353-0003,2000,0.00
353-0012,1000,0.00
353-0012,2000,0.00
504-1174,1000,0.00
504-1174,2000,0.00
504-1266,1000,0.00
504-1266,2000,0.00
504-1319,1000,0.00
504-1319,2000,0.00
504-1354,1000,0.00
504-1354,2000,0.00
504-1366,1000,0.00
504-1366,2000,0.00
504-1369,1000,0.00
504-1369,2000,0.00
504-1385-00,1000,0.00
504-1385-00,2000,0.00
504-1399,1000,0.00
504-1399,2000,0.00
504-1431,1000,0.00
504-1431,2000,0.00
504-1482,1000,0.00
504-1482,2000,0.00
504-1485,2000,0.00
504-1486,2000,0.00
504-1487,2000,0.00
504-1532,1000,0.00
504-1532,2000,0.00
504-1532-R,1000,0.00
504-1532-R,2000,0.00
504-1548,1000,0.00
504-1548,2000,0.00
504-1550,1000,0.00
504-1550,2000,0.00
504-1616,1000,0.00
504-1616,2000,0.00
504-1693,1000,0.00
504-1693,2000,0.00
504-1694,1000,0.00
504-1694,2000,0.00
504-1711,1000,0.00
504-1712,1000,0.00
504-1712,2000,0.00
504-1718,1000,0.00
504-1718,2000,0.00
504-1728,1000,0.00
504-1728,2000,0.00
504-1746,1000,0.00
504-1746,2000,0.00
504-1747,1000,0.00
504-1753,1000,0.00
504-1753,2000,0.00
504-1815,1000,0.00
504-1815,2000,0.00
504-1817,1000,0.00
504-1817,2000,0.00
504-1818,1000,0.00
504-1818,2000,0.00
504-1877,1000,0.00
504-1877,2000,0.00
504-1878,1000,0.00
504-1878,2000,0.00
504-1880,2000,0.00
504-1881,2000,0.00
504-1882,2000,0.00
504-2020-CD,1000,0.00
504-2020-CD,2000,0.00
504-2042,1000,0.00
504-2053,1000,0.00
504-2063,1000,0.00
504-2120-CD,1000,0.00
504-2120-CD,2000,0.00
504-2129-CD,1000,0.00
504-2129-CD,2000,0.00
504-2217-CD,1000,0.00
504-2217-CD,2000,0.00
541-0001,1000,0.00
541-0001,2000,0.00
542-0007,1000,0.00
910-0067,1000,0.00
910-0067,2000,0.00
910-0067,5000,0.00
910-0411,1000,0.00
910-0411,2000,0.00
910-0411,5000,0.00
910-0499,1000,0.00
910-0499,2000,0.00
910-0499,5000,0.00
910-0866,1000,0.00
910-0866,2000,0.00
910-0866,5000,0.00
910-1258,1000,0.00
910-1258,2000,0.00
915-0040,1000,0.00
915-0040,2000,0.00
915-0040,5000,0.00
