Plant,PN,UnconstrainedQuantity
1000,100-0038,1665000.000
1000,100-0061,3795000.000
1000,100-0062,0
1000,100-0073,0
1000,100-0074,3840000.000
1000,100-0116,0
1000,120-0046,0
1000,120-0051,0
1000,120-0143,0
1000,100-0018,90000.000
1000,100-0018,17509.176
1000,100-0018,51147.717
1000,100-0021,528075.224
1000,100-0021,19195.169
1000,100-0021,710816.548
1000,100-0024,19723885.303
1000,100-0024,235498.146
1000,100-0024,6940.000
1000,100-0024,13837847.857
1000,100-0025,1051.000
1000,100-0025,7587069.811
1000,100-0025,36214.195
1000,100-0025,6205753.815
1000,100-0031,62101.445
1000,100-0031,2816.006
1000,100-0031,17438.660
1000,100-0033,315951.724
1000,100-0033,19126.250
1000,100-0033,552467.083
1000,100-0035,653884.881
1000,100-0035,295610.420
1000,100-0038,1348209.370
1000,100-0038,8097.174
1000,100-0038,1518031.548
1000,100-0054,25113.717
1000,100-0054,1392.500
1000,100-0054,48824.072
1000,100-0061,3353801.098
1000,100-0061,13073.733
1000,100-0061,2433121.868
1000,100-0062,9792795.146
1000,100-0062,430499.745
1000,100-0062,3140.000
1000,100-0062,11419207.308
1000,100-0073,86562.340
1000,100-0073,20208.821
1000,100-0073,195064.933
1000,100-0074,3267018.487
1000,100-0074,131431.478
1000,100-0074,3765641.169
1000,100-0086,70646925.638
1000,100-0086,56917207.611
1000,100-0086-01,16069.432
1000,100-0088,2736487.242
1000,100-0088,16534.886
1000,100-0088,1197.000
1000,100-0088,2497796.592
1000,100-0088,3105000.000
1000,100-0107,39810.000
1000,100-0108,6.000
1000,100-0108,220000.000
1000,100-0108,226.000
1000,100-0115,71138.995
1000,100-0115,5974.097
1000,100-0115,3526.000
1000,100-0115,235461.513
1000,100-0115,564.595
1000,100-0115,130000.000
1000,100-0116,17823313.604
1000,100-0116,45375.755
1000,100-0116,10123771.172
1000,100-0119,139525.965
1000,100-0119,181236.502
1000,100-0119,200000.000
1000,100-0122,37633.000
1000,100-0122,6081.988
1000,100-0122,45065.634
1000,100-0141,16289.556
1000,100-0141,84208.575
1000,100-0141,80000.000
1000,100-0142,331579.892
1000,100-0142,487755.923
1000,100-0142,440000.000
1000,100-0143,3603001.047
1000,100-0143,1477.000
1000,100-0143,3019032.682
1000,100-0143,4000000.000
1000,100-0144,53.234
1000,100-0144,2378.994
1000,100-0144,37526.253
1000,100-0214,13723466.695
1000,100-0214,11551.000
1000,100-0214,10161136.163
1000,100-0222,8741.054
1000,100-0222,608.000
1000,100-0222,14485.057
1000,100-0222,30000.000
1000,100-0224,398141.317
1000,100-0224,29.500
1000,100-0224,314697.841
1000,100-0224,60000.000
1000,100-0225,11691841.404
1000,100-0225,46217.500
1000,100-0225,10933914.450
1000,100-0227,2765579.287
1000,100-0227,7391.000
1000,100-0227,1488939.282
1000,100-0228,36000.000
1000,100-0265,115320.000
1000,100-0268,3157321.184
1000,100-0268,3086680.806
1000,100-0268,2160000.000
1000,100-0285,4332.000
1000,100-0285,3306.000
1000,100-0285,61099.000
1000,100-0286,62057.000
1000,100-0300,1755932.549
1000,100-0300,775108.553
1000,100-0300,1500000.000
1000,100-0365,836733.868
1000,100-0365,495230.867
1000,110-0001,2971799.491
1000,110-0001,31263.663
1000,110-0001,4160267.308
1000,110-0001,9000.000
1000,110-0002,435833.946
1000,110-0002,17128.876
1000,110-0002,507800.228
1000,110-0003,126261.103
1000,110-0003,19322.526
1000,110-0003,34579.024
1000,110-0011,558506.060
1000,110-0011,18354.082
1000,110-0011,877796.589
1000,110-0019,18945.596
1000,110-0040,10000.000
1000,110-0063,28370.768
1000,110-0063,28104.053
1000,110-0063,1180000.000
1000,110-0064,6694380.251
1000,110-0064,34322.164
1000,110-0064,10042823.872
1000,110-0083,20868.522
1000,110-0083,3940.006
1000,110-0083,2294.000
1000,110-0083,130000.000
1000,110-0099,1834203.211
1000,110-0099,17997.331
1000,110-0099,1011969.449
1000,110-0121,219627.705
1000,110-0121,8113.617
1000,110-0121,240127.918
1000,110-0156,45518.430
1000,110-0156,22408.290
1000,110-0158,625636.015
1000,110-0158,16120.574
1000,110-0158,716222.594
1000,110-0161,529.411
1000,110-0161,5163.000
1000,110-0161,95564.394
1000,110-0172,39162.193
1000,110-0172,14.017
1000,110-0172,9608.000
1000,110-0174,416615.262
1000,110-0174,10257.204
1000,110-0174,3223546.356
1000,110-0177,252845.894
1000,110-0177,3870.459
1000,110-0177,474052.251
1000,110-0207,443.000
1000,110-0207,294126.476
1000,110-0213,16583.411
1000,110-0213,9401.141
1000,110-0213,84432.470
1000,110-0214,254801.740
1000,110-0214,88.500
1000,110-0214,300284.811
1000,110-0216,1369948.891
1000,110-0216,7390.737
1000,110-0216,1227699.230
1000,110-0220,65903.297
1000,110-0220,9658.532
1000,110-0220,236738.967
1000,110-0237,692955.824
1000,110-0237,10100.000
1000,110-0237,408537.754
1000,110-0239,696821.670
1000,110-0239,4678.186
1000,110-0239,371149.104
1000,110-0239,240000.000
1000,110-0241,3202383.847
1000,110-0241,14127.112
1000,110-0241,3660876.785
1000,110-0243,40422.411
1000,110-0243,8559.286
1000,110-0243,62294.513
1000,110-0246,20924.009
1000,110-0246,50635.770
1000,110-0248,7564.231
1000,110-0249,25493.145
1000,110-0249,52544.651
1000,110-0252,318.000
1000,110-0252,147111.033
1000,110-0253,36183.924
1000,110-0253,64022.803
1000,110-0260,54225.360
1000,110-0260,5164.720
1000,110-0260,115202.402
1000,110-0261,99274.040
1000,110-0261,16103.443
1000,110-0261,272221.576
1000,110-0267,4048.411
1000,110-0267,9247.526
1000,110-0267,72212.411
1000,110-0267,30000.000
1000,110-0268,36488.722
1000,110-0268,83892.433
1000,110-0270,3568.000
1000,110-0272,63871.470
1000,110-0272,10370.500
1000,110-0272,145648.629
1000,110-0273,68489.223
1000,110-0273,87006.144
1000,110-0295,8974.000
1000,110-0296,27150.301
1000,110-0296,534612.150
1000,110-0296,4984.000
1000,110-0298,109868.879
1000,110-0298,7424.502
1000,110-0298,210694.267
1000,110-0308,564535.485
1000,110-0308,190001.588
1000,110-0308,540000.000
1000,110-0311,5666959.190
1000,110-0311,4858.500
1000,110-0311,5835949.834
1000,110-0368,429791.128
1000,110-0368,9823.000
1000,110-0368,234771.532
1000,110-0369,2131777.469
1000,110-0369,820.000
1000,110-0369,2054584.449
1000,110-0370,27098.000
1000,110-0371,8182563.989
1000,110-0371,7614387.985
1000,110-0372,245080.849
1000,110-0372,206190.518
1000,110-0373,2966.820
1000,110-0373,6209.936
1000,110-0374,14438.520
1000,110-0374,636.000
1000,110-0374,50000.000
1000,110-0374,9904.000
1000,110-0375,14748.820
1000,110-0375,1853.862
1000,110-0375,20000.000
1000,110-0375,132588.000
1000,110-0376,20743.408
1000,110-0376,20630.925
1000,110-0377,2463723.677
1000,110-0377,825.000
1000,110-0377,2186776.987
1000,110-0378,17842.067
1000,110-0378,4747.669
1000,110-0378,19659.766
1000,110-0379,606935.405
1000,110-0379,3988.459
1000,110-0379,633955.570
1000,110-0380,452864.553
1000,110-0380,382052.899
1000,110-0381,295795.894
1000,110-0381,267303.372
1000,110-0460,458263.676
1000,110-0460,10415.389
1000,110-0460,617892.185
1000,110-0561,7308.851
1000,110-0561,7103.406
1000,110-0561,10000.000
1000,110-0566,4912183.415
1000,110-0566,150132.000
1000,110-0566,3222485.928
1000,110-0570,5534257.884
1000,110-0570,3213268.183
1000,110-0571,15584.024
1000,110-0602,638408.269
1000,110-0602,677528.864
1000,110-0603,1373341.904
1000,110-0603,1290190.886
1000,110-0624,2379059.695
1000,110-0624,100249.000
1000,110-0624,2262090.673
1000,110-0627,470339.254
1000,110-0627,60.500
1000,110-0627,203420.453
1000,110-0627,320000.000
1000,110-0713,69092.749
1000,110-0713,161975.773
1000,110-0730,298188.521
1000,110-0730,335708.098
1000,110-0730,9997.000
1000,120-0029,7299.012
1000,120-0029,4739.000
1000,120-0046,92351.292
1000,120-0046,5669.618
1000,120-0046,45421.483
1000,120-0051,66757.048
1000,120-0051,28582.841
1000,120-0051,330745.941
1000,120-0099,90091.683
1000,120-0099,1688.000
1000,120-0099,86353.466
1000,120-0100,3469.515
1000,120-0100,67288.698
1000,120-0100,32000.000
1000,120-0120,358494.830
1000,120-0120,1649.532
1000,120-0120,154523.162
1000,120-0121,1227009.422
1000,120-0121,833198.151
1000,120-0128,30000.000
1000,120-0128,9355.000
1000,120-0129,100671.860
1000,120-0138,66914.086
1000,120-0138,577.000
1000,120-0138,72995.921
1000,120-0143,2427220.725
1000,120-0143,8916.164
1000,120-0143,2046771.210
1000,120-0152,2.820
1000,120-0152,17370.065
1000,120-0152,98880.000
1000,120-0157,40.085
1000,120-0157,84222.595
1000,120-0202,36783.294
1000,120-0202,40090.737
1000,120-0215,25146.341
1000,120-0215,2906.000
1000,120-0215,34859.482
1000,120-0224,101822.205
1000,120-0224,1975736.000
1000,120-0232,60000.000
1000,120-0232,146309.165
1000,120-0247,564.332
1000,120-0248,289351.441
1000,120-0248,8141.108
1000,120-0248,589723.608
1000,120-0249,473029.862
1000,120-0249,1.000
1000,120-0249,213871.194
1000,120-0253,12380.502
1000,120-0253,1024.247
1000,120-0253,30000.000
1000,120-0254,60357.506
1000,120-0254,90509.083
1000,120-0260,218575.000
1000,120-0310,15997.000
1000,120-0310,4000.000
1000,120-0310,60676.000
1000,121-0053,160744.216
1000,121-0053,134734.714
1000,121-0060-CD,78336.648
1000,121-0060-CD,1647.531
1000,130-0077,1184281.711
1000,130-0077,6843.270
1000,130-0077,979203.565
1000,140-0022,28613.223
1000,140-0022,3092.000
1000,140-0022,23693.892
1000,140-0113,12180.740
1000,140-0113,1943.898
1000,140-0113,16599.393
1000,140-0113-R,18475.000
1000,140-0179,17231.706
1000,140-0179,2662.000
1000,140-0179,83563.061
1000,140-0221,194877.791
1000,140-0221,2723.532
1000,140-0221,254139.139
1000,140-0221-R,1281.000
1000,140-0221-R,119943.000
1000,140-0240,16241.245
1000,140-0240,28163.864
1000,140-0246,499213.683
1000,140-0246,388218.757
1000,140-0246,40234.000
1000,140-0246,294000.000
1000,140-0253,79739.372
1000,140-0253,52765.724
1000,140-0310,21164.984
1000,140-0310,1255.532
1000,140-0310,19060.103
1000,140-0313,740974.971
1000,140-0313,92.367
1000,140-0313,2634.572
1000,140-0313,422584.289
1000,140-0338,2541.000
1000,140-0338,60332.000
1000,140-0338,357000.000
1000,140-0341,207.506
1000,140-0341,21262.744
1000,140-0341-RW,62556.000
1000,140-0355,180202.803
1000,140-0355,29.000
1000,140-0355,152981.227
1000,140-0384,305191.102
1000,140-0384,7321.780
1000,140-0384,215230.987
1000,140-0384,5000.000
1000,140-0386,406911.675
1000,140-0386,688374.956
1000,140-0392,7330.122
1000,140-0392,2690.000
1000,140-0392,70866.087
1000,140-0434,33.013
1000,140-0434,18407.185
1000,140-0434,6804.000
1000,140-0434,96.000
1000,140-0477,8528.013
1000,140-0477,15194.410
1000,140-0481,37656.530
1000,140-0481,18197.000
1000,140-0599,10367.740
1000,140-0599,22411.376
1000,140-0628,256607.050
1000,140-0628,8480.569
1000,140-0628,470586.305
1000,140-0638,3994.000
1000,140-0639,98480.225
1000,140-0645,12030.347
1000,140-0645,87267.203
1000,140-0834,288236.128
1000,140-0834,2774.399
1000,140-0834,559745.388
1000,140-0847,7268.740
1000,140-0847,24904.376
1000,140-0852,500.000
1000,140-0853,58755.524
1000,140-0853,37270.750
1000,140-1016,14878.879
1000,140-1028,484250.471
1000,140-1028,485722.132
1000,140-1183-CD,20659.000
1000,140-1183-CD,1421.860
1000,160-1132,27399.000
1000,160-1153,18.000
1000,160-1153,122.000
1000,160-1153,27200.583
1000,160-1153,3250.000
1000,160-1168,761.000
1000,160-1218,610.000
1000,160-1237,85.000
1000,160-1237,7564.956
1000,160-1287,7708.641
1000,160-1287,12077.375
1000,160-1291,43.013
1000,160-1291,7893.176
1000,160-1291,106.000
1000,504-1694,12177.000
1000,504-1711,5535.000
1000,504-1718,7.000
1000,504-1878,194.000
1000,504-2020-CD,336.000
1000,100-0018,0
1000,100-0021,0
1000,100-0021,0
1000,100-0024,0
1000,100-0025,0
1000,100-0025,0
1000,100-0031,0
1000,100-0033,0
1000,100-0033,0
1000,100-0035,0
1000,100-0035,0
1000,100-0038,0
1000,100-0054,0
1000,100-0061,0
1000,100-0061,0
1000,100-0062,0
1000,100-0062,0
1000,100-0073,0
1000,100-0074,0
1000,100-0074,0
1000,100-0086,0
1000,100-0086,0
1000,100-0086,0
1000,100-0088,0
1000,100-0088,0
1000,100-0107,0
1000,100-0108,0
1000,100-0115,0
1000,100-0116,0
1000,100-0116,0
1000,100-0119,0
1000,100-0122,0
1000,100-0141,0
1000,100-0141,0
1000,100-0142,0
1000,100-0143,0
1000,100-0143,0
1000,100-0143,0
1000,100-0143,0
1000,100-0214,0
1000,100-0222,0
1000,100-0224,0
1000,100-0224,0
1000,100-0225,0
1000,100-0225,0
1000,100-0227,0
1000,100-0268,0
1000,100-0300,0
1000,100-0300,0
1000,100-0365,0
1000,110-0001,0
1000,110-0002,0
1000,110-0003,0
1000,110-0011,0
1000,110-0019,0
1000,110-0063,0
1000,110-0064,0
1000,110-0099,0
1000,110-0121,0
1000,110-0156,0
1000,110-0158,0
1000,110-0161,0
1000,110-0172,0
1000,110-0174,0
1000,110-0177,0
1000,110-0207,0
1000,110-0213,0
1000,110-0214,0
1000,110-0216,0
1000,110-0220,0
1000,110-0237,0
1000,110-0239,0
1000,110-0241,0
1000,110-0243,0
1000,110-0246,0
1000,110-0248,0
1000,110-0249,0
1000,110-0252,0
1000,110-0253,0
1000,110-0260,0
1000,110-0261,0
1000,110-0267,0
1000,110-0268,0
1000,110-0270,0
1000,110-0272,0
1000,110-0273,0
1000,110-0295,0
1000,110-0298,0
1000,110-0308,0
1000,110-0311,0
1000,110-0368,0
1000,110-0369,0
1000,110-0371,0
1000,110-0372,0
1000,110-0376,0
1000,110-0377,0
1000,110-0378,0
1000,110-0379,0
1000,110-0380,0
1000,110-0381,0
1000,110-0460,0
1000,110-0561,0
1000,110-0566,0
1000,110-0570,0
1000,110-0571,0
1000,110-0602,0
1000,110-0603,0
1000,110-0624,0
1000,110-0627,0
1000,110-0713,0
1000,110-0730,0
1000,120-0029,0
1000,120-0046,0
1000,120-0047,0
1000,120-0051,0
1000,120-0099,0
1000,120-0100,0
1000,120-0120,0
1000,120-0121,0
1000,120-0121,0
1000,120-0129,0
1000,120-0129,0
1000,120-0138,0
1000,120-0138,0
1000,120-0138,0
1000,120-0143,0
1000,120-0157,0
1000,120-0202,0
1000,120-0202,0
1000,120-0215,0
1000,120-0232,0
1000,120-0247,0
1000,120-0248,0
1000,120-0249,0
1000,120-0253,0
1000,120-0254,0
1000,121-0053,0
1000,121-0060-CD,0
1000,130-0077,0
1000,130-0077,0
1000,130-0077,0
1000,140-0022,0
1000,140-0113,0
1000,140-0113,0
1000,140-0179,0
1000,140-0221,0
1000,140-0221,0
1000,140-0240,0
1000,140-0240,0
1000,140-0246,0
1000,140-0246,0
1000,140-0253,0
1000,140-0253,0
1000,140-0253,0
1000,140-0310,0
1000,140-0310,0
1000,140-0310,0
1000,140-0313,0
1000,140-0313,0
1000,140-0341,0
1000,140-0341,0
1000,140-0355,0
1000,140-0384,0
1000,140-0386,0
1000,140-0386,0
1000,140-0386,0
1000,140-0392,0
1000,140-0392,0
1000,140-0434,0
1000,140-0477,0
1000,140-0477,0
1000,140-0481,0
1000,140-0481,0
1000,140-0599,0
1000,140-0599,0
1000,140-0628,0
1000,140-0628,0
1000,140-0639,0
1000,140-0645,0
1000,140-0645,0
1000,140-0834,0
1000,140-0834,0
1000,140-0847,0
1000,140-0847,0
1000,140-0847,0
1000,140-0853,0
1000,140-0853,0
1000,140-1028,0
1000,140-1183-CD,0
1000,160-1153,0
1000,160-1153,0
1000,160-1172,0
1000,160-1218,0
1000,160-1237,0
1000,160-1237,0
1000,160-1287,0
1000,160-1287,0
1000,160-1287,0
1000,160-1291,0
1000,160-1291,0
1000,504-1532,0
1000,504-1532,0
1000,504-1718,0
1000,504-1718,0
1000,504-1718,0
1000,504-1753,0
1000,504-1818,0
1000,504-1877,0
1000,504-1877,0
1000,504-1878,0
1000,504-2217-CD,0
1000,504-2217-CD,0
1000,542-0007,0
1000,542-0007,0
1000,,622733731.579
2000,100-0024,6978.000
2000,100-0024,60000.000
2000,100-0025,28620.000
2000,100-0038,13615.000
2000,100-0061,2640.000
2000,100-0061,17732.000
2000,100-0062,11429.000
2000,100-0086,15412.000
2000,100-0086,76431.000
2000,100-0088,13071.000
2000,100-0116,4112.000
2000,100-0116,43530.000
2000,100-0143,38330.000
2000,100-0214,308.000
2000,100-0214,360180.000
2000,100-0214,450000.000
2000,100-0224,168.000
2000,100-0224,19902.000
2000,100-0225,584.000
2000,100-0225,1009539.000
2000,100-0227,113.000
2000,100-0227,148512.000
2000,100-0227,60000.000
2000,100-0268,1061.000
2000,100-0268,60420.000
2000,100-0300,15388.000
2000,110-0174,7692.000
2000,110-0369,5.000
2000,110-0369,8630.000
2000,110-0371,2951.000
2000,110-0371,197430.000
2000,110-0371,400000.000
2000,110-0377,3091.000
2000,110-0377,260243.000
2000,110-0377,410000.000
2000,110-0379,559.000
2000,110-0379,33415.000
2000,110-0379,30000.000
2000,110-0380,147.000
2000,110-0380,75741.000
2000,110-0381,27151.000
2000,110-0566,4381.000
2000,110-0566,225903.000
2000,110-0570,489.000
2000,110-0570,443242.000
2000,110-0570,600000.000
2000,110-0602,37693.000
2000,110-0602,40000.000
2000,110-0603,2130.000
2000,110-0603,87302.000
2000,110-0603,190000.000
2000,110-0624,3855.000
2000,110-0624,62562.000
2000,110-0627,9373.000
2000,120-0121,536.000
2000,120-0121,7986.000
2000,120-0121,120000.000
2000,120-0143,596.000
2000,120-0143,8951.000
2000,130-0077,142421.000
2000,140-0313,8708.000
2000,140-0386,144.000
2000,140-0386,30803.000
2000,140-0386,30000.000
2000,140-0477,15000.000
2000,140-0628,150000.000
2000,140-1028,15000.000
2000,504-1532,5869.000
2000,504-1532,6287.000
2000,504-1694,295.000
2000,504-1712,191.000
2000,504-1718,5148.000
2000,504-1718,65.000
2000,504-1718,5013.000
2000,504-1753,1149.000
2000,504-1877,3180.000
2000,504-1877,2677.000
2000,504-2020-CD,1223.000
2000,504-2217-CD,166.000
2000,504-2217-CD,41.000
2000,504-2217-CD,6877.000
2000,504-2217-CD,1018.000
2000,140-1028,0
2000,140-0834,0
2000,,6192495.000
5000,100-0021,20000.000
5000,100-0024,854997.000
5000,100-0025,239994.000
5000,100-0033,15000.000
5000,100-0038,29997.000
5000,100-0061,59994.000
5000,100-0062,74997.000
5000,100-0086,1439991.000
5000,100-0088,59994.000
5000,100-0116,263994.000
5000,100-0143,79994.000
5000,100-0214,339697.000
5000,100-0225,284997.000
5000,100-0227,23997.000
5000,100-0268,29997.000
5000,100-0300,74997.000
5000,100-0365,39997.000
5000,110-0001,60000.000
5000,110-0064,170000.000
5000,110-0099,30000.000
5000,110-0121,20000.000
5000,110-0158,10000.000
5000,110-0216,10000.000
5000,110-0241,60000.000
5000,110-0298,10000.000
5000,110-0311,40000.000
5000,110-0368,19995.000
5000,110-0369,69995.000
5000,110-0371,169990.000
5000,110-0372,19997.000
5000,110-0379,20000.000
5000,110-0380,10000.000
5000,110-0566,40000.000
5000,110-0570,130000.000
5000,110-0602,29995.000
5000,110-0624,80000.000
5000,110-0730,20000.000
5000,120-0121,21997.000
5000,120-0143,49991.000
5000,130-0077,10000.000
5000,140-0221,6000.000
5000,140-0246,12000.000
5000,140-0386,15000.000
5000,140-0628,6000.000
5000,140-0834,6000.000
5000,100-0025,0
5000,100-0086,0
5000,100-0116,0
5000,100-0143,0
5000,100-0214,0
5000,100-0225,0
5000,100-0227,0
5000,100-0300,0
5000,100-0365,0
5000,110-0368,0
5000,110-0371,0
5000,110-0372,0
5000,110-0379,0
5000,110-0602,0
5000,120-0143,0
5000,130-0077,0
5000,140-0246,0
5000,140-0313,0
5000,140-0386,0
5000,140-0834,0
