Plant,PN,UnconstrainedQuantity
1000,312-0093-CD,0.000
1000,314-0051-CD,0.000
1000,314-0051-CD,0.000
1000,320-0109,0.000
1000,320-0109,0.000
1000,320-0328,0.000
1000,220-0134-003,10.000
1000,220-0134-005,20.000
1000,220-0134-007,31.000
1000,220-0134-010,16.000
1000,220-0134-010,0.000
1000,220-0134-002,0.000
2000,140-0848,"11,566.000"
2000,140-0848,"24,446.000"
2000,140-0849,"5,746.000"
2000,140-0849,"30,821.000"
2000,220-0072,450.000
2000,220-0072,634.000
2000,220-0072,6.000
2000,220-0227,"1,116.000"
2000,220-0227,764.000
2000,280-1018,"5,697.000"
2000,283-0019,"9,715.000"
2000,283-0019,"9,271.000"
2000,283-0029,"5,282.000"
2000,284-0089-20,"2,895.000"
2000,284-0089-20,"15,565.000"
2000,300-0316,"18,115.000"
2000,300-0317,"1,900.000"
2000,300-0317,"17,967.000"
2000,310-0166,"3,651.000"
2000,310-0166,"10,000.000"
2000,310-0357,18.000
2000,310-0357,2.000
2000,310-0357,"7,681.000"
2000,310-0376,"7,555.000"
2000,310-0376,"20,000.000"
2000,310-0440,"1,586.000"
2000,310-0440,"20,895.000"
2000,310-0494-001,333.000
2000,310-0494-001,"19,545.000"
2000,311-0207,"2,523.000"
2000,311-0207,"10,920.000"
2000,320-0109,"1,200.000"
2000,320-0109,"10,910.000"
2000,320-0328,"4,711.000"
2000,320-0328,"33,000.000"
2000,341-0036,686.000
2000,341-0036,"2,500.000"
2000,341-0036,"23,449.000"
2000,300-0316,0.000
2000,280-1018,0.000
2000,341-0036,0.000
2000,140-0848,0.000
2000,140-0848,0.000
2000,140-0849,0.000
2000,140-0849,0.000
2000,220-0072,0.000
2000,220-0072,0.000
2000,220-0072,0.000
2000,220-0227,0.000
2000,280-1018,0.000
2000,284-0089-20,0.000
2000,300-0316,0.000
2000,300-0316,0.000
2000,300-0317,0.000
2000,300-0317,0.000
2000,310-0166,0.000
2000,310-0357,0.000
2000,310-0357,0.000
2000,310-0440,0.000
2000,310-0440,0.000
2000,311-0207,0.000
2000,320-0109,0.000
2000,320-0109,0.000
2000,320-0328,0.000
2000,320-0328,0.000
2000,310-0376,0.000
5000,220-0185-02,"13,319.000"
5000,283-0019,"6,273.000"
5000,220-0185-02,0.000
6000,220-0230-001,10.000
6000,220-0230-002,10.000
6000,220-0230-005,10.000
6000,220-0230-007,10.000
6000,220-0230-010,7.000
6000,220-0230-015,8.000
6000,220-0230-020,10.000
6000,220-0230-025,6.000
6000,220-0230-030,10.000
6000,300-0144,527.000
6000,300-0316,"3,550.000"
6000,300-0317,"3,194.000"
6000,300-0355,227.000
6000,300-0515-CD,"14,839.000"
6000,300-0516-CD,"14,890.000"
6000,302-0006,28.000
6000,302-0006,"2,908.000"
6000,302-0006,"14,000.000"
6000,302-0067-CD,"11,540.000"
6000,310-0166,193.000
6000,310-0166,"2,900.000"
6000,310-0357,26.000
6000,310-0357,377.000
6000,310-0362,592.000
6000,310-0376,"6,078.000"
6000,310-0440,268.000
6000,310-0440,29.000
6000,310-0440,"1,252.000"
6000,310-0440,"4,795.000"
6000,310-0494-001,"3,373.000"
6000,310-0494-002,20.000
6000,310-0494-003,37.000
6000,310-0494-005,55.000
6000,310-0494-007,275.000
6000,310-0494-010,40.000
6000,310-0494-015,235.000
6000,310-0494-020,330.000
6000,310-0795-CD,"14,931.000"
6000,311-0207,280.000
6000,311-0207,"3,140.000"
6000,311-0567-CD,"8,044.000"
6000,311-0567-CD,"11,223.000"
6000,312-0093-CD,791.000
6000,312-0093-CD,"14,000.000"
6000,314-0051-CD,652.000
6000,314-0051-CD,"6,000.000"
6000,320-0109,561.000
6000,320-0109,"2,590.000"
6000,310-0376,0.000
1000,140-0547,12714.000
1000,140-0851,22680.000
1000,280-0897,21300.000
1000,280-0981-N0,1532.000
1000,280-0981-N0,4600.000
1000,280-0981-N1,5949.000
1000,280-0981-N2,2371.000
1000,280-0981-N2,32661.000
1000,280-0981-N3,1576.000
1000,280-0981-N3,4079.000
1000,283-0046-27,12403.000
1000,283-0046-27,8431.000
1000,283-0046-29,25000.000
1000,283-0046-31,17695.000
1000,283-0046-31,25004.000
1000,283-0046-33,26107.000
1000,283-0110-27,2244.000
1000,283-0110-31,1571.000
1000,283-0110-33,1599.000
1000,310-0417,995.000
1000,504-2020-CD,336.000
1000,300-0150,0
1000,300-0151,0
1000,140-0403,0
1000,140-0403,0
1000,280-0981-N0,0
1000,280-0981-N1,0
1000,280-0981-N2,0
1000,280-0981-N3,0
1000,283-0046-27,0
