P/N,PLANT,Process,需更改
280-1202-33,1000,TX COC,
280-1180,1000,RX,
280-1179,1000,Preform,
500-3853-01,1000,Module,
260-0152-01,1000,OB,
280-1192-01,1000,TX,
280-1193,1000,RX,
500-3853-02,1000,Module,
260-0152-02,1000,OB,
280-1192-02,1000,TX,
280-1811,1000,CB,
500-3853-03,1000,Module,
260-0152-03,1000,OB,
280-1192-03,1000,TX,
280-1814,1000,CB,
500-3853-04,1000,Module,
260-0152-04,1000,OB,
280-1192-04,1000,TX,
280-1815,1000,CB,
500-3854-01,1000,Module,
260-0153-01,1000,OB,
280-1195-01,1000,TX,
280-1194,1000,RX,
280-1823,1000,CB,
500-3854-02,1000,Module,
260-0153-02,1000,OB,
280-1195-02,1000,TX,
280-1824,1000,CB,
500-3901-01,1000,Module,
260-0156,1000,OB,
280-1201,1000,TX,
500-3901-02,1000,Module,
500-3913,1000,Module,
260-0158-01,1000,OB,
280-1203-01,1000,TX,
280-1204,1000,RX,
280-1205,1000,RX,
500-3913-02,1000,Module,
260-0158-02,1000,OB,
280-1203-02,1000,TX,
500-3913-03,1000,Module,
260-0158-03,1000,OB,
280-1203-03,1000,TX,
500-3916,1000,Module,
500-3917,1000,Module,
500-3918,1000,Module,
260-0262,1000,OB,
280-1482,1000,TX,
280-1813,1000,CB,
500-3922,1000,Module,
500-3925,1000,Module,
500-3925-02,1000,Module,
500-3926,1000,Module,
500-3927,1000,Module,
500-3927-02,1000,Module,
500-3928,1000,Module,
500-3940,1000,Module,
260-0162,1000,OB,
280-1206,1000,TX,
500-3941,1000,Module,
500-3943,1000,Module,
500-3953-02,1000,Module,
500-3953-06,1000,Module,
500-3954-01,1000,Module,
500-3954-02,1000,Module,
500-3954-03,1000,Module,
500-3954-05,1000,Module,
500-3954-06,1000,Module,
500-3956,1000,Module,
500-3971-02,1000,Module,
500-3972-01,1000,Module,
500-3972-02,1000,Module,
500-3984,1000,Module,
500-3986-01,1000,Module,
500-3987-01,1000,Module,
500-3987-02,1000,Module,
500-3987-03,1000,Module,
500-3987-04,1000,Module,
500-4001,1000,Module,
500-4008,1000,Module,
500-4011-01,1000,Module,
260-0164-01,1000,OB,
280-1211-01,1000,TX,
280-1210-01,1000,RX,
500-4012-01,1000,Module,
500-4013-01,1000,Module,
260-0165-01,1000,OB,
280-1213-01,1000,TX,
280-1212-01,1000,RX,
280-1212-02,1000,RX,
500-4014-01,1000,Module,
500-4021,1000,Module,
500-4022-02,1000,Module,
500-4023-01,1000,Module,
500-4023-02,1000,Module,
500-4028-01,1000,Module,
500-4028-02,1000,Module,
500-4037,1000,Module,
500-4039-02,1000,Module,
500-4042,1000,Module,
260-0147-02,1000,OB,
280-1155-02,1000,TX,
280-1153,1000,RX,
500-4046,1000,Module,
260-0193,1000,OB,
280-1297,1000,TX,
280-1298-N0,1000,TX COC,
280-1298-N1,1000,TX COC,
280-1298-N2,1000,TX COC,
280-1298-N3,1000,TX COC,
500-4065-01,1000,Module,
500-4066-01,1000,Module,
500-4066-02,1000,Module,
500-4067-01,1000,Module,
500-4067-02,1000,Module,
500-4074-01,1000,Module,
500-4074-02,1000,Module,
500-4102,1000,Module,
260-0172,1000,OB,
280-1222,1000,TX,
280-1223-N0,1000,TX COC,
280-1223-N1,1000,TX COC,
280-1223-N2,1000,TX COC,
280-1223-N3,1000,TX COC,
500-4103,1000,Module,
260-0175,1000,OB,
280-1235,1000,TX,
500-4106,1000,Module,
500-4106-01,1000,Module,
500-4110,1000,Module,
500-4114,1000,Module,
500-4128,1000,Module,
260-0176,1000,OB,
280-1246,1000,TX,
280-1245-01,1000,RX,
280-1245-02,1000,RX,
500-4164-02,1000,Module,
500-4170,1000,Module,
260-0174-02,1000,OB,
280-1229-02,1000,TX,
280-1227,1000,RX,
280-1805,1000,CB,
500-4189,1000,Module,
500-4190,1000,Module,
500-4210,1000,Module,
500-4211,1000,Module,
500-4212,1000,Module,
500-4216,1000,Module,
500-4218-01,1000,Module,
500-4218-02,1000,Module,
500-4218-03,1000,Module,
500-4218-04,1000,Module,
500-4219-01,1000,Module,
500-4219-02,1000,Module,
500-4219-03,1000,Module,
500-4219-04,1000,Module,
500-4219-05,1000,Module,
500-4232,1000,Module,
500-4233,1000,Module,
500-4290,1000,Module,
260-0198,1000,OB,
280-1313,1000,TX,
280-1312-27,1000,TX COC,
280-1312-29,1000,TX COC,
280-1312-31,1000,TX COC,
280-1312-33,1000,TX COC,
280-1816,1000,CB,
500-4291,1000,Module,
500-4292,1000,Module,
260-0199-R,1000,OB,
280-1806-R,1000,CB,
280-1314-R,1000,TX,
260-0199,1000,OB,
280-1314,1000,TX,
280-1806,1000,CB,
500-4292-R,1000,Module,
500-4293,1000,Module,
500-4294-02,1000,Module,
500-4294-02-TW,1000,Module,
500-4295-02,1000,Module,
500-4295-02-TW,1000,Module,
500-4296-02,1000,Module,
500-4297-02,1000,Module,
500-4305,1000,Module,
500-4306,1000,Module,
500-4323,1000,Module,
500-4324,1000,Module,
500-4325,1000,Module,
500-4326,1000,Module,
500-4327,1000,Module,
500-4329,1000,Module,
500-4330,1000,Module,
500-4331,1000,Module,
500-4332,1000,Module,
500-4333,1000,Module,
500-4336,1000,Module,
500-4337,1000,Module,
500-4338,1000,Module,
500-4339,1000,Module,
500-4341,1000,Module,
500-4342,1000,Module,
500-4376,1000,Module,
500-4377,1000,Module,
500-4378,1000,Module,
500-4393-01,1000,Module,
500-4393-02,1000,Module,
500-4393-03,1000,Module,
500-4393-04,1000,Module,
500-4393-05,1000,Module,
500-4465,1000,Module,
500-4483,1000,Module,
500-4494,1000,Module,
500-4515,1000,Module,
500-4516,1000,Module,
500-4519,1000,Module,
260-0209,1000,OB,
280-1336,1000,TX,
280-1334-27,1000,TX COC,
280-1334-29,1000,TX COC,
280-1334-31,1000,TX COC,
280-1334-33,1000,TX COC,
280-1335,1000,RX,
280-1826,1000,CB,
280-1337,1000,Preform,
500-4537,1000,Module,
500-4561,1000,Module,
500-4562,1000,Module,
500-4587,1000,Module,
500-4607,1000,Module,
500-4608,1000,Module,
500-4609,1000,Module,
500-4610,1000,Module,
500-4611,1000,Module,
260-0233,1000,OB,
280-1404,1000,TX,
280-1405,1000,RX,
280-1817,1000,CB,
500-4623,1000,Module,
500-4624,1000,Module,
500-4639,1000,Module,
500-4640,1000,Module,
500-4672,1000,Module,
500-4692,1000,Module,
500-4693,1000,Module,
500-4703,1000,Module,
500-4709,1000,Module,
500-4742,1000,Module,
500-4752,1000,Module,
500-4753,1000,Module,
500-4773,1000,Module,
260-0237,1000,OB,
280-1423,1000,TX,
280-1808,1000,CB,
260-0261,1000,OB,
280-1481,1000,TX,
280-1807,1000,CB,
500-4779,1000,Module,
500-4791,1000,Module,
500-4792,1000,Module,
500-4793,1000,Module,
500-4794,1000,Module,
500-4835,1000,Module,
500-4847,1000,Module,
500-4888,1000,Module,
500-4889,1000,Module,
500-4890,1000,Module,
500-4921,1000,Module,
500-4956,1000,Module,
260-0250,1000,OB,
280-1391,1000,Preform,
280-2019-CD,1000,Preform,
280-1464,1000,TX,
280-1465,1000,RX,
280-1392,1000,Preform,
260-0306,1000,OB,
280-1593,1000,TX,
280-1594,1000,RX,
280-1595,1000,Preform,
260-0325,1000,OB,
280-1638,1000,CB,
500-4973,1000,Module,
500-4987,1000,Module,
500-5008,1000,Module,
500-5008-TW,1000,Module,
500-5009,1000,Module,
500-5009-TW,1000,Module,
500-5010,1000,Module,
500-5030,1000,Module,
500-5031,1000,Module,
260-0274,1000,OB,
280-1524,1000,TX,
280-1819,1000,CB,
500-5054,1000,Module,
500-5056,1000,Module,
500-5057,1000,Module,
500-5059,1000,Module,
500-5060,1000,Module,
500-5070,1000,Module,
260-0277,1000,OB,
280-1530,1000,TX,
280-1812,1000,CB,
500-5071,1000,Module,
500-5071-TW,1000,Module,
500-5092,1000,Module,
500-5093,1000,Module,
500-5094,1000,Module,
500-5095,1000,Module,
500-5096,1000,Module,
500-5101,1000,Module,
500-5102,1000,Module,
500-5160,1000,Module,
500-5172,1000,Module,
260-0298,1000,OB,
280-1575,1000,TX,
280-1825,1000,CB,
500-5178,1000,Module,
500-5196,1000,Module,
500-5197,1000,Module,
500-5281,1000,Module,
500-5282,1000,Module,
500-5308,1000,Module,
500-5327,1000,Module,
500-5328,1000,Module,
500-5387,1000,Module,
500-5393,1000,Module,
500-5394,1000,Module,
500-5423,1000,Module,
500-5424,1000,Module,
500-5499,1000,Module,
500-5500,1000,Module,
500-5523,1000,Module,
500-5529,1000,Module,
260-0555,1000,OB,
280-2169,1000,CB,
500-5530,1000,Module,
500-5531,1000,Module,
500-5542,1000,Module,
260-0353,1000,OB,
280-1705,1000,TX,
280-1809,1000,CB,
500-5543,1000,Module,
260-0354,1000,OB,
280-1706,1000,TX,
280-1810,1000,CB,
500-5550,1000,Module,
500-5595,1000,Module,
500-5596,1000,Module,
500-5599,1000,Module,
500-5600,1000,Module,
500-5602,1000,Module,
500-5603,1000,Module,
500-5604,1000,Module,
500-5605,1000,Module,
500-5610,1000,Module,
500-5647,1000,Module,
260-0365-CD,1000,OB,
280-1876-CD,1000,CB,
280-1751-27-CD,1000,TX COC,
280-1751-29-CD,1000,TX COC,
280-1751-31-CD,1000,TX COC,
280-1751-33-CD,1000,TX COC,
280-1828-CD,1000,Preform,
500-5648,1000,Module,
260-0366-CD,1000,OB,
280-1877-CD,1000,CB,
280-1752-27-CD,1000,TX COC,
280-1752-29-CD,1000,TX COC,
280-1752-31-CD,1000,TX COC,
280-1752-33-CD,1000,TX COC,
500-5679,1000,Module,
500-5680,1000,Module,
500-5699,1000,Module,
500-5708,1000,Module,
500-5709,1000,Module,
500-5710,1000,Module,
500-5773,1000,Module,
500-5785,1000,Module,
500-5786,1000,Module,
500-5819,1000,Module,
260-0417,1000,OB,
280-1878,1000,CB,
280-1879,1000,Preform,
500-5854,1000,Module,
500-5909,1000,Module,
500-5910,1000,Module,
500-5971,1000,Module,
500-6011,1000,Module,
500-6012,1000,Module,
500-6013,1000,Module,
500-6014,1000,Module,
500-6015,1000,Module,
500-6016,1000,Module,
500-6017,1000,Module,
500-6018,1000,Module,
500-6019,1000,Module,
500-6020,1000,Module,
500-6035,1000,Module,
500-6036,1000,Module,
500-6037,1000,Module,
500-6038,1000,Module,
500-6039,1000,Module,
500-6073,1000,Module,
500-6080,1000,Module,
500-6085,1000,Module,
500-6086,1000,Module,
500-6087,1000,Module,
500-6137,1000,Module,
260-0441,1000,OB,
280-1928,1000,CB,
500-6160,1000,Module,
500-6161,1000,Module,
500-6200,1000,Module,
500-6204,1000,Module,
500-6209,1000,Module,
260-0459-CD,1000,OB,
280-1962-CD,1000,CB,
500-6212,1000,Module,
260-0460-CD,1000,OB,
280-1964-CD,1000,CB,
500-6230,1000,Module,
500-6231,1000,Module,
500-6240,1000,Module,
500-6262,1000,Module,
260-0464-CD,1000,OB,
280-1975-CD,1000,CB,
280-1976-CD,1000,Preform,
500-6266,1000,Module,
500-6267,1000,Module,
500-6277,1000,Module,
260-0470-CD,1000,OB,
280-1965-CD,1000,CB,
500-6278,1000,Module,
260-0471-CD,1000,OB,
280-1963-CD,1000,CB,
500-6285,1000,Module,
500-6306,1000,Module,
260-0385,1000,OB,
280-1786,1000,CB,
280-1787,1000,Preform,
500-6412,1000,Module,
500-6413,1000,Module,
500-6414,1000,Module,
500-6415,1000,Module,
500-6417,1000,Module,
500-6418,1000,Module,
500-6419,1000,Module,
500-6420,1000,Module,
500-6421,1000,Module,
500-6433,1000,Module,
500-6448,1000,Module,
500-6485,1000,Module,
500-6513,1000,Module,
500-6569,1000,Module,
500-6570,1000,Module,
500-6803,1000,Module,
500-6912,1000,Module,
500-6984,1000,Module,
500-7041,1000,Module,
500-7072,1000,Module,
500-7073,1000,Module,
