PN,Plant,Process,Scrap
500-4028-02,2000,Module,6.25
500-4037,1000,Module,10.00
500-4037,2000,Module,0.00
500-4039-02,1000,Module,6.04
500-4039-02,2000,Module,0.00
500-4042,1000,Module,5.66
500-4042,2000,Module,0.00
500-4046,1000,Module,11.19
500-4046,2000,Module,0.00
500-4065-01,1000,Module,7.20
500-4065-01,2000,Module,6.11
500-4066-01,1000,Module,11.79
500-4066-01,2000,Module,6.25
500-4066-02,1000,Module,15.00
500-4066-02,2000,Module,12.00
500-4067-01,1000,Module,11.79
500-4067-01,2000,Module,6.25
500-4067-02,1000,Module,7.00
500-4067-02,2000,Module,12.00
500-4074-01,1000,Module,7.20
500-4074-01,2000,Module,0.00
500-4074-02,1000,Module,10.00
500-4074-02,2000,Module,12.00
500-4094,1000,Module,10.00
500-4094,2000,Module,0.00
500-4102,1000,Module,11.19
500-4102,2000,Module,0.00
500-4103,1000,Module,11.19
500-4103,2000,Module,0.00
500-4106,1000,Module,11.19
500-4106,2000,Module,0.00
500-4106-01,1000,Module,11.19
500-4106-01,2000,Module,0.00
500-4110,1000,Module,7.34
500-4110,2000,Module,0.00
500-4114,1000,Module,11.19
500-4114,2000,Module,0.00
500-4128,1000,Module,7.00
500-4128,2000,Module,0.00
500-4129,1000,Module,7.00
500-4129,2000,Module,7.00
500-4164-02,1000,Module,10.00
500-4164-02,2000,Module,12.00
500-4170,1000,Module,10.00
500-4170,2000,Module,0.00
500-4189,1000,Module,10.00
500-4189,2000,Module,0.00
500-4190,1000,Module,10.00
500-4190,2000,Module,10.00
500-4210,1000,Module,12.00
500-4210,2000,Module,12.00
500-4211,1000,Module,12.00
500-4211,2000,Module,12.00
500-4212,1000,Module,12.00
500-4212,2000,Module,12.00
500-4216,1000,Module,10.00
500-4216,2000,Module,10.00
500-4218-01,1000,Module,8.00
500-4218-01,2000,Module,0.00
500-4218-02,1000,Module,10.00
500-4218-02,2000,Module,0.00
500-4218-03,1000,Module,10.00
500-4218-03,2000,Module,0.00
500-4218-04,1000,Module,10.00
500-4218-04,2000,Module,0.00
500-4219-01,1000,Module,7.20
500-4219-01,2000,Module,0.00
500-4219-02,1000,Module,10.00
500-4219-02,2000,Module,12.00
500-4219-03,1000,Module,10.00
500-4219-03,2000,Module,0.00
500-4219-04,1000,Module,10.00
500-4219-04,2000,Module,0.00
500-4219-05,1000,Module,11.80
500-4219-05,2000,Module,0.00
500-4232,1000,Module,7.20
500-4232,2000,Module,0.00
500-4233,1000,Module,7.20
500-4233,2000,Module,0.00
500-4290,1000,Module,10.00
500-4290,2000,Module,0.00
500-4291,1000,Module,10.00
500-4291,2000,Module,0.00
500-4292,1000,Module,6.80
500-4292,2000,Module,5.00
500-4292-R,1000,Module,7.00
500-4293,1000,Module,6.80
500-4293,2000,Module,8.00
500-4294-02,1000,Module,9.00
500-4294-02,2000,Module,7.54
500-4294-02-TW,1000,Module,0.00
500-4295-02,1000,Module,9.00
500-4295-02,2000,Module,7.54
500-4295-02-TW,1000,Module,0.00
500-4296-02,1000,Module,10.00
500-4296-02,2000,Module,0.00
500-4297-02,1000,Module,10.00
500-4297-02,2000,Module,0.00
500-4305,1000,Module,7.20
500-4305,2000,Module,0.00
500-4306,1000,Module,10.00
500-4306,2000,Module,12.00
500-4323,1000,Module,6.80
500-4323,2000,Module,0.00
500-4324,1000,Module,6.80
500-4324,2000,Module,7.42
500-4325,1000,Module,6.80
500-4325,2000,Module,7.42
500-4326,1000,Module,6.80
500-4326,2000,Module,8.00
500-4327,1000,Module,6.80
500-4327,2000,Module,7.42
500-4329,1000,Module,6.80
500-4329,2000,Module,8.00
500-4330,1000,Module,6.80
500-4330,2000,Module,8.00
500-4331,1000,Module,10.00
500-4331,2000,Module,0.00
500-4332,1000,Module,10.00
500-4332,2000,Module,0.00
500-4333,1000,Module,10.00
500-4333,2000,Module,0.00
500-4336,1000,Module,10.00
500-4336,2000,Module,0.00
500-4337,1000,Module,6.80
500-4337,2000,Module,0.00
500-4338,1000,Module,5.40
500-4338,2000,Module,6.11
500-4339,1000,Module,10.00
500-4339,2000,Module,0.00
500-4341,1000,Module,6.80
500-4341,2000,Module,8.00
500-4342,1000,Module,6.80
500-4342,2000,Module,6.80
500-4376,1000,Module,11.19
500-4376,2000,Module,0.00
500-4377,1000,Module,11.19
500-4377,2000,Module,0.00
500-4378,1000,Module,18.00
500-4378,2000,Module,17.00
500-4393-01,1000,Module,7.20
500-4393-01,2000,Module,0.00
500-4393-02,1000,Module,10.00
500-4393-02,2000,Module,12.00
500-4393-03,1000,Module,10.00
500-4393-03,2000,Module,0.00
500-4393-04,1000,Module,10.00
500-4393-04,2000,Module,0.00
500-4393-05,1000,Module,11.80
500-4393-05,2000,Module,0.00
500-4465,1000,Module,11.19
500-4483,1000,Module,12.00
500-4483,2000,Module,12.00
500-4494,1000,Module,10.00
500-4515,1000,Module,7.20
500-4516,1000,Module,5.50
500-4516,2000,Module,5.50
500-4519,1000,Module,11.79
500-4537,1000,Module,10.00
500-4561,1000,Module,13.25
500-4562,1000,Module,13.25
500-4562,2000,Module,13.25
500-4587,1000,Module,10.00
500-4587,2000,Module,10.00
500-4607,1000,Module,6.80
500-4607,2000,Module,7.42
500-4607-TW,1000,Module,9.80
500-4608,1000,Module,6.80
500-4608,2000,Module,7.42
500-4609,1000,Module,6.80
500-4609,2000,Module,7.42
500-4610,1000,Module,6.80
500-4610,2000,Module,7.42
500-4611,1000,Module,18.00
500-4611,2000,Module,17.00
500-4623,1000,Module,10.00
500-4623,2000,Module,12.00
500-4624,1000,Module,6.80
500-4624,2000,Module,7.42
500-4639,1000,Module,13.25
500-4639,2000,Module,11.79
500-4640,1000,Module,13.27
500-4640,2000,Module,13.27
500-4672,1000,Module,18.00
500-4672,2000,Module,17.00
500-4683,1000,Module,10.00
500-4692,1000,Module,11.79
500-4692,2000,Module,11.79
500-4693,1000,Module,5.78
500-4693,2000,Module,11.79
500-4703,1000,Module,12.00
500-4703,2000,Module,12.00
500-4709,1000,Module,12.00
500-4709,2000,Module,12.00
500-4742,1000,Module,11.79
500-4752,1000,Module,13.27
500-4752,2000,Module,13.27
500-4753,1000,Module,13.25
500-4773,1000,Module,8.00
500-4773,2000,Module,10.00
500-4779,1000,Module,13.25
500-4791,1000,Module,13.25
500-4791,2000,Module,14.00
500-4792,1000,Module,13.25
500-4792,2000,Module,13.25
500-4793,1000,Module,13.25
500-4793,2000,Module,14.00
500-4794,1000,Module,13.25
500-4794,2000,Module,13.25
500-4835,1000,Module,11.79
500-4835,2000,,11.79
500-4847,1000,Module,6.80
500-4888,1000,Module,6.80
500-4888,2000,Module,6.80
500-4889,1000,Module,10.00
500-4889,2000,Module,10.00
500-4890,1000,Module,12.00
500-4890,2000,Module,12.00
500-4912,1000,Module,6.00
500-4912,2000,Module,8.00
500-4921,1000,Module,6.80
500-4956,1000,Module,8.00
500-4956,2000,Module,5.00
500-4957,1000,Module,6.00
500-4957,2000,Module,5.00
500-4973,1000,Module,5.71
500-4973,2000,Module,8.00
500-4987,1000,Module,7.20
500-4987,2000,Module,11.80
500-5008,1000,Module,7.00
500-5008,2000,Module,10.00
500-5008-TW,1000,Module,0.00
500-5009,1000,Module,7.00
500-5009,2000,Module,10.00
500-5009-TW,1000,Module,0.00
500-5010,1000,Module,12.00
500-5010,2000,Module,14.00
500-5030,1000,Module,11.73
500-5031,1000,Module,11.73
500-5054,1000,Module,6.80
500-5054,2000,Module,7.42
500-5056,1000,Module,11.79
500-5056,2000,Module,11.79
500-5057,1000,Module,11.79
500-5057,2000,Module,15.00
500-5059,1000,Module,11.79
500-5059,2000,Module,11.79
500-5060,1000,Module,5.66
500-5060,2000,Module,5.66
500-5070,1000,Module,10.00
500-5070,2000,Module,10.00
500-5071,1000,Module,10.00
500-5071,2000,Module,10.00
500-5071-TW,1000,Module,0.00
500-5092,1000,Module,11.79
500-5093,1000,Module,11.79
500-5093,2000,Module,13.27
500-5094,1000,Module,11.79
500-5094,2000,Module,13.27
500-5095,1000,Module,11.79
500-5095,2000,Module,13.27
500-5096,1000,Module,11.73
500-5096,2000,Module,12.00
500-5101,1000,Module,12.00
500-5101,2000,Module,12.00
500-5102,1000,Module,8.90
500-5102,2000,Module,8.00
500-5149,1000,Module,10.00
500-5149,2000,Module,10.00
500-5160,1000,Module,13.25
500-5172,1000,Module,6.64
500-5178,1000,Module,10.00
500-5196,1000,Module,11.79
500-5197,1000,Module,13.25
500-5281,1000,Module,6.80
500-5281,2000,Module,7.42
500-5282,1000,Module,10.00
500-5282,2000,Module,12.00
500-5308,1000,Module,10.00
500-5308,2000,Module,10.00
500-5327,1000,Module,20.00
500-5328,1000,Module,11.80
500-5387,1000,Module,10.00
500-5387,2000,Module,10.00
500-5393,1000,Module,11.79
500-5394,1000,Module,11.79
500-5423,1000,Module,11.79
500-5423,2000,Module,11.79
500-5424,1000,Module,11.79
500-5499,1000,Module,5.00
500-5499,2000,Module,5.50
500-5500,1000,Module,5.00
500-5500,2000,Module,5.00
500-5523,1000,Module,13.25
500-5523,2000,Module,13.25
500-5529,1000,Module,6.00
500-5529,2000,Module,6.00
500-5530,1000,Module,8.00
500-5531,1000,Module,8.00
500-5531,2000,Module,10.00
500-5542,1000,Module,8.00
500-5542,2000,Module,8.00
500-5543,1000,Module,8.00
500-5543,2000,Module,8.00
500-5550,1000,Module,8.00
500-5550,2000,Module,5.00
500-5595,1000,Module,6.00
500-5595,2000,Module,5.00
500-5596,1000,Module,6.00
500-5596,2000,Module,5.00
500-5599,1000,Module,6.80
500-5600,1000,Module,10.00
500-5602,1000,Module,11.79
500-5603,1000,Module,5.78
500-5603,2000,,5.78
500-5604,1000,Module,13.25
500-5605,1000,Module,11.79
500-5610,1000,Module,8.00
500-5610,2000,Module,10.00
500-5647,1000,Module,3.75
500-5647,2000,Module,3.75
500-5648,1000,Module,5.42
500-5648,2000,Module,5.42
500-5679,1000,Module,7.00
500-5679,2000,Module,0.00
500-5680,1000,Module,9.00
500-5680,2000,Module,0.00
500-5699,1000,Module,11.80
500-5699,2000,Module,0.00
500-5708,1000,Module,8.00
500-5708,2000,Module,0.00
500-5709,1000,Module,8.00
500-5709,2000,Module,8.00
500-5710,1000,Module,8.00
500-5710,2000,Module,8.00
500-5773,1000,Module,8.00
500-5773,2000,Module,5.00
500-5785,1000,Module,5.20
500-5785,2000,Module,6.00
500-5786,1000,Module,8.00
500-5786,2000,Module,9.00
500-5800,1000,Module,5.00
500-5800,2000,Module,4.00
500-5819,1000,Module,8.00
500-5819,2000,Module,10.00
500-5854,1000,Module,6.00
500-5854,2000,Module,5.00
500-5909,1000,Module,3.75
500-5909,2000,Module,3.75
500-5910,1000,Module,5.42
500-5910,2000,Module,5.42
500-5971,1000,Module,8.00
500-5971,2000,Module,8.00
500-6011,1000,Module,3.75
500-6011,2000,Module,3.75
500-6012,1000,Module,5.42
500-6012,2000,Module,5.42
500-6013,1000,Module,3.75
500-6013,2000,Module,3.75
500-6014,1000,Module,5.42
500-6014,2000,Module,5.42
500-6015,1000,Module,3.75
500-6015,2000,Module,3.75
500-6016,1000,Module,5.42
500-6016,2000,Module,5.42
500-6017,1000,Module,3.75
500-6017,2000,Module,3.75
500-6018,1000,Module,5.42
500-6018,2000,Module,5.42
500-6019,1000,Module,3.75
500-6019,2000,Module,3.75
500-6020,1000,Module,5.42
500-6020,2000,Module,5.42
500-6028,1000,Module,5.00
500-6028,2000,Module,4.00
500-6035,1000,Module,8.00
500-6035,2000,Module,5.00
500-6036,1000,Module,11.79
500-6037,1000,Module,11.79
500-6038,1000,Module,11.79
500-6039,1000,Module,13.25
500-6073,1000,Module,11.73
500-6073,2000,Module,12.00
500-6080,1000,Module,7.93
500-6085,1000,Module,3.75
500-6085,2000,Module,3.75
500-6086,1000,Module,5.42
500-6086,2000,Module,5.42
500-6087,1000,Module,13.25
500-6087,2000,Module,5.66
500-6137,1000,Module,11.73
500-6137,2000,Module,12.00
500-6160,1000,Module,13.25
500-6160,2000,Module,13.25
500-6161,1000,Module,13.25
500-6161,2000,Module,13.25
500-6200,1000,Module,6.00
500-6200,2000,Module,0.00
500-6204,1000,Module,6.00
500-6204,2000,Module,5.00
500-6209,1000,Module,3.73
500-6209,2000,Module,3.73
500-6212,1000,Module,15.70
500-6212,2000,Module,15.70
500-6230,1000,Module,3.75
500-6230,2000,Module,3.75
500-6231,1000,Module,5.42
500-6231,2000,Module,5.42
500-6240,1000,Module,6.00
500-6240,2000,Module,5.00
500-6262,1000,Module,8.00
500-6262,2000,Module,8.00
500-6266,1000,Module,11.79
500-6266,2000,Module,11.79
500-6267,1000,Module,11.79
500-6267,2000,Module,11.79
500-6277,1000,Module,4.80
500-6277,2000,Module,4.80
500-6278,1000,Module,18.50
500-6278,2000,Module,18.50
500-6285,1000,Module,8.00
500-6285,2000,Module,5.00
500-6306,1000,Module,5.00
500-6306,2000,Module,5.00
500-6412,1000,Module,18.50
500-6412,2000,Module,18.50
500-6413,1000,Module,18.50
500-6413,2000,Module,18.50
500-6414,1000,Module,18.50
500-6414,2000,Module,18.50
500-6415,1000,Module,18.50
500-6415,2000,Module,18.50
500-6417,1000,Module,3.73
500-6417,2000,Module,3.73
500-6418,1000,Module,3.73
500-6418,2000,Module,3.73
500-6419,1000,Module,3.73
500-6419,2000,Module,3.73
500-6420,1000,Module,3.73
500-6420,2000,Module,3.73
500-6421,1000,Module,3.73
500-6421,2000,Module,3.73
500-6433,1000,Module,15.70
500-6433,2000,Module,15.70
500-6448,1000,Module,5.00
500-6448,2000,Module,4.00
500-6485,1000,Module,5.00
500-6485,2000,Module,5.00
500-6513,1000,Module,4.80
500-6513,2000,Module,4.80
500-6569,1000,Module,11.79
500-6570,1000,Module,15.00
500-6803,1000,Module,5.00
500-6803,2000,Module,4.00
500-6884,1000,Module,0.00
500-6884,2000,Module,5.42
500-6912,1000,Module,6.80
500-6912,2000,Module,6.80
500-6984,1000,Module,6.80
500-6984,2000,Module,6.80
500-7041,1000,Module,8.00
500-7041,2000,Module,8.00
500-7064,1000,Module,0.00
500-7064,2000,Module,3.73
500-7072,1000,Module,13.27
500-7072,2000,Module,5.00
500-7073,1000,Module,13.27
500-7073,2000,Module,12.00
502-1559,1000,,0.00
502-1559,2000,,0.00
502-1633,1000,,0.00
502-1633,2000,,0.00
502-1641,1000,,0.00
502-1641,2000,,0.00
502-1677,1000,,0.00
502-1677,2000,,0.00
502-1678,1000,,0.00
502-1678,2000,,0.00
502-1693,1000,,0.00
502-1693,2000,,0.00
502-1713,1000,,0.00
502-1713,2000,,0.00
502-1728,1000,,0.00
502-1728,2000,,0.00
502-1733,1000,,0.00
502-1733,2000,,0.00
502-1749,1000,,0.00
502-1749,2000,,0.00
502-1757,1000,,0.00
502-1757,2000,,0.00
502-1758,1000,,0.00
502-1758,2000,,0.00
502-1783-01,1000,,0.00
502-1783-01,2000,,0.00
502-1783-02,1000,,0.00
502-1783-02,2000,,0.00
502-1783-02-RW,1000,,0.00
502-1783-03,1000,,0.00
502-1783-03,2000,,0.00
502-1783-04,1000,,0.00
502-1783-04,2000,,0.00
502-1783-05,1000,,0.00
502-1783-05,2000,,0.00
502-1791,1000,,0.00
502-1791,2000,,0.00
502-1793,1000,,0.00
502-1793,2000,,0.00
502-1801-02,1000,,0.00
502-1801-02,2000,,0.00
502-1801-03,1000,,0.00
502-1801-03,2000,,0.00
502-1801-04,1000,,0.00
502-1801-04,2000,,0.00
502-1802-02,1000,,0.00
502-1802-02,2000,,0.00
502-1803,1000,,0.00
502-1803,2000,,0.00
502-1804,1000,,0.00
502-1804,2000,,0.00
502-1818,1000,,0.00
502-1818,2000,,0.00
502-1820,1000,,0.00
502-1820,2000,,0.00
502-1822,1000,,0.00
502-1822,2000,,0.00
502-1824-01,1000,,0.00
502-1824-01,2000,,0.00
502-1824-02,1000,,0.00
502-1824-02,2000,,0.00
502-1824-03,1000,,0.00
502-1824-03,2000,,0.00
502-1824-04,1000,,0.00
502-1824-04,2000,,0.00
502-1825-01,1000,,0.00
502-1825-01,2000,,0.00
502-1825-02,1000,,0.00
502-1825-02,2000,,0.00
502-1827,1000,,0.00
502-1827,2000,,0.00
502-1843,1000,,0.00
502-1843,2000,,0.00
502-1847-01,1000,,0.00
502-1847-01,2000,,0.00
502-1847-02,1000,,0.00
502-1847-02,2000,,0.00
502-1847-03,1000,,0.00
502-1847-03,2000,,0.00
502-1853,1000,,0.00
502-1853,2000,,0.00
502-1855,1000,,0.00
502-1855,2000,,0.00
502-1855-02,1000,,0.00
502-1855-02,2000,,0.00
502-1856,1000,,0.00
502-1856,2000,,0.00
502-1879-01,1000,,0.00
502-1879-01,2000,,0.00
502-1880-01,1000,,0.00
502-1880-01,2000,,0.00
502-1890,1000,,0.00
502-1890,2000,,0.00
502-1891,1000,,0.00
502-1891,2000,,0.00
502-1892,1000,,0.00
502-1892,2000,,0.00
502-1903-02,1000,,0.00
502-1903-02,2000,,0.00
502-1905-01,1000,,0.00
502-1905-01,2000,,0.00
502-1908-01,1000,,0.00
502-1908-01,2000,,0.00
502-1908-02,1000,,0.00
502-1908-02,2000,,0.00
502-1931,1000,,0.00
502-1931,2000,,0.00
502-1945,1000,,0.00
502-1945,2000,,0.00
502-1986,1000,,0.00
502-1986,2000,,0.00
502-2002,1000,,0.00
502-2002,2000,,0.00
502-2003,1000,,0.00
502-2003,2000,,0.00
502-2003-R,1000,,0.00
502-2021,1000,,0.00
502-2021,2000,,0.00
502-2022,1000,,0.00
502-2022,2000,,0.00
502-2023,1000,,0.00
502-2023,2000,,0.00
502-2025,1000,,0.00
502-2025,2000,,0.00
502-2026,1000,,0.00
502-2026,2000,,0.00
502-2049,1000,,0.00
502-2049,2000,,0.00
502-2107,1000,,0.00
502-2109,1000,,0.00
502-2119,1000,,0.00
502-2119,2000,,0.00
502-2166,1000,,0.00
502-2178,1000,,0.00
502-2178,2000,,0.00
502-2182,1000,,0.00
502-2204,1000,,0.00
502-2205,1000,,0.00
502-2209,1000,,0.00
502-2209,2000,,0.00
502-2219,1000,,0.00
502-2219,2000,,0.00
502-2241,1000,,0.00
502-2241,2000,,0.00
502-2298,1000,,0.00
502-2298,2000,,0.00
502-2304,1000,,0.00
502-2304,2000,,0.00
502-2346,1000,,0.00
502-2346,2000,,0.00
502-2375,1000,,0.00
502-2375,2000,,0.00
502-2376,1000,,0.00
502-2376,2000,,0.00
502-2377,1000,,0.00
502-2377,2000,,0.00
502-2388,1000,,0.00
502-2389,1000,,0.00
502-2390,1000,,0.00
502-2390,2000,,0.00
502-2397,1000,,0.00
502-2397,2000,,0.00
502-2398,1000,,0.00
502-2398,2000,,0.00
502-2404,1000,,0.00
502-2404,2000,,0.00
502-2426,1000,,0.00
502-2426,2000,,0.00
502-2437,1000,,0.00
502-2534,1000,,0.00
502-2534,2000,,0.00
502-2545,1000,,0.00
502-2546,1000,,0.00
502-2602,1000,,0.00
502-2602,2000,,0.00
502-2602,5000,,0.00
502-2603,1000,,0.00
502-2603,2000,,0.00
502-2603,5000,,0.00
502-2617,1000,,0.00
502-2619,1000,,0.00
502-2619,2000,,0.00
502-2624,1000,,0.00
502-2624,2000,,0.00
502-2625,1000,,0.00
502-2625,2000,,0.00
502-2652,1000,,0.00
502-2652,2000,,0.00
502-2653,1000,,0.00
502-2653,2000,,0.00
502-2709,1000,,0.00
502-2709,2000,,0.00
502-2710,1000,,0.00
502-2710,2000,,0.00
502-2723,1000,,0.00
502-2723,2000,,0.00
502-2776,1000,,0.00
502-2776,2000,,0.00
502-2806,1000,,0.00
502-2806,2000,,0.00
502-2848,1000,,0.00
502-2848,2000,,0.00
502-2881,1000,,0.00
502-2881,2000,,0.00
502-2921,1000,,0.00
502-2921,2000,,0.00
502-2923,1000,,0.00
502-2923,2000,,0.00
502-2945,1000,,0.00
502-2945,2000,,0.00
502-2956,1000,,0.00
502-2956,2000,,0.00
502-2957,1000,,0.00
502-2957,2000,,0.00
502-2991,1000,,0.00
502-2991,2000,,0.00
502-3023,1000,,0.00
502-3023,2000,,0.00
502-3124,1000,,0.00
502-3188,1000,,0.00
502-3188,2000,,0.00
502-3189,1000,,0.00
502-3207,1000,,0.00
502-3207,2000,,0.00
502-3423,1000,,0.00
502-3423,2000,,0.00
502-3424,1000,,0.00
502-3424,2000,,0.00
503-0084-ID,1000,,0.00
503-0084-ID,5000,Module,5.00
504-1319,1000,,0.00
504-1319,2000,,0.00
504-1366,1000,,0.00
504-1366,2000,,0.00
504-1369,1000,,0.00
504-1369,2000,,0.00
504-1385-00,1000,,0.00
504-1385-00,2000,,0.00
504-1399,1000,,0.00
504-1399,2000,,0.00
504-1482,1000,,0.00
504-1482,2000,,0.00
504-1532,1000,,0.00
504-1532,2000,,0.00
504-1532-R,1000,,0.00
504-1532-R,2000,,0.00
504-1548,1000,,0.00
504-1548,2000,,0.00
504-1693,1000,,0.00
504-1693,2000,,0.00
504-1728,1000,,0.00
504-1728,2000,,0.00
504-1747,1000,,0.00
504-1753,1000,,0.00
504-1753,2000,,0.00
504-1815,1000,,0.00
504-1815,2000,,0.00
504-1817,1000,,0.00
504-1817,2000,,0.00
504-1877,1000,,0.00
504-1877,2000,,0.00
504-2020-CD,1000,,0.00
504-2020-CD,2000,,0.00
504-2120-CD,1000,,0.00
504-2120-CD,2000,,0.00
541-0001,1000,,0.00
541-0001,2000,,0.00
542-0007,1000,,0.00
561-0001,1000,Module,0.00
561-0009,1000,Module,0.00
561-0025,1000,Module,9.80
561-0026,1000,Module,9.80
561-0033,1000,Module,5.71
561-0037,5000,Module,0.00
561-0056,1000,Module,0.00
561-0057,1000,Module,0.00
561-0098,1000,,0.00
562-0099,5000,Module,5.00
562-0100,5000,Module,5.00
220-0129,1000,OE,0.00
220-0129,2000,OE,0.00
262-0004,1000,OE,1.40
262-0006,1000,OE,1.40
262-0017,1000,OE,1.40
262-0019,1000,OE,1.40
262-0026,1000,OE,1.40
262-0029,1000,OE,1.40
262-0078-CD,1000,OE,1.40
262-0078-CD,2000,OE,1.40
262-0172-CD,1000,OE,2.50
262-0224-CD,1000,OE,2.00
262-0224-CD,2000,OE,2.00
262-0226-CD,1000,OE,2.00
262-0226-CD,2000,OE,2.00
262-0227-CD,1000,OE,1.50
262-0227-CD,2000,OE,1.50
262-0229-CD,1000,OE,1.50
262-0229-CD,2000,OE,1.50
280-0654-CN,1000,LENS,0.00
280-0654-CN,2000,LENS,0.00
280-1243-20,1000,LENS,0.20
280-1243-20,2000,LENS,0.20
280-1243-25,1000,LENS,0.20
280-1243-25,2000,LENS,0.00
280-1243-35,1000,LENS,0.20
280-1243-35,2000,LENS,0.20
280-1243-40,1000,LENS,0.20
280-1243-40,2000,LENS,0.20
280-1244-35,1000,LENS,0.20
280-1244-35,2000,LENS,0.20
280-1244-40,1000,LENS,0.20
280-1244-40,2000,LENS,0.20
280-1497-40,1000,LENS,0.20
280-1497-40,2000,LENS,0.20
280-1600-20,1000,LENS,1.40
280-1600-20,2000,Preform,1.40
286-0018-35,1000,LENS,0.00
286-0018-35,2000,LENS,0.00
286-0057-20,1000,LENS,0.00
286-0057-20,2000,LENS,0.00
286-0057-40,1000,LENS,0.00
286-0057-40,2000,LENS,0.00
500-3264-007,1000,Module,2.20
500-3264-007,2000,Module,0.00
500-3264-010,1000,Module,2.20
500-3264-010,2000,Module,0.00
500-3264-020,1000,Module,2.20
500-3264-020,2000,Module,0.00
500-3265-005,1000,Module,2.20
500-3265-007,1000,Module,2.20
500-3265-007,2000,Module,0.00
500-3265-010,1000,Module,2.20
500-3265-010,2000,Module,0.00
500-3265-020,1000,Module,2.20
500-3265-020,2000,Module,0.00
500-3265-030,1000,Module,2.20
500-3417-001,1000,Module,2.00
500-3417-001,2000,Module,0.00
500-3417-002,1000,Module,2.00
500-3417-002,2000,Module,0.00
500-3417-003,1000,Module,2.00
500-3417-003,2000,Module,0.00
500-3417-004,1000,Module,2.00
500-3417-004,2000,Module,0.00
500-3417-005,1000,Module,2.00
500-3417-005,2000,Module,0.00
500-3417-006,1000,Module,2.00
500-3417-006,2000,Module,0.00
500-3417-007,1000,Module,2.00
500-3417-007,2000,Module,0.00
500-3417-008,1000,Module,2.00
500-3417-008,2000,Module,0.00
500-3417-010,1000,Module,2.00
500-3417-010,2000,Module,0.00
500-3417-013,1000,Module,2.00
500-3417-013,2000,Module,0.00
500-3417-015,1000,Module,2.00
500-3417-015,2000,Module,0.00
500-3417-020,1000,Module,2.00
500-3417-020,2000,Module,0.00
500-3417-025,1000,Module,2.00
500-3417-025,2000,Module,0.00
500-3417-030,1000,Module,2.00
500-3417-030,2000,Module,0.00
500-3417-040,1000,Module,2.00
500-3417-040,2000,Module,0.00
500-3417-100,1000,Module,2.00
500-3417-100,2000,Module,0.00
500-3426-001,1000,Module,2.00
500-3426-001,2000,Module,0.00
500-3426-002,1000,Module,2.00
500-3426-002,2000,Module,0.00
500-3426-003,1000,Module,2.00
500-3426-003,2000,Module,0.00
500-3426-005,1000,Module,2.00
500-3426-005,2000,Module,0.00
500-3426-006,1000,Module,2.00
500-3426-007,1000,Module,2.00
500-3426-007,2000,Module,0.00
500-3426-015,1000,Module,2.00
500-3426-015,2000,Module,0.00
500-3426-025,1000,Module,2.00
500-3426-025,2000,Module,0.00
500-3426-030,1000,Module,2.00
500-3426-030,2000,Module,0.00
500-3426-040,1000,Module,2.00
500-3426-040,2000,Module,0.00
500-3426-050,1000,Module,2.00
500-3426-050,2000,Module,0.00
500-3432-001,1000,Module,2.00
500-3432-001,2000,Module,0.00
500-3432-003,1000,Module,2.00
500-3432-003,2000,Module,0.00
500-3432-005,1000,Module,2.00
500-3432-005,2000,Module,0.00
500-3432-007,1000,Module,2.00
500-3432-007,2000,Module,0.00
500-3432-010,1000,Module,2.00
500-3432-010,2000,Module,0.00
500-3432-015,1000,Module,2.00
500-3432-015,2000,Module,0.00
500-3432-020,1000,Module,2.00
500-3432-020,2000,Module,0.00
500-3432-030,1000,Module,2.00
500-3432-030,2000,Module,0.00
500-3462-001,1000,Module,2.00
500-3462-001,2000,Module,0.00
500-3462-002,1000,Module,2.00
500-3462-002,2000,Module,0.00
500-3462-003,1000,Module,2.00
500-3462-003,2000,Module,0.00
500-3462-005,1000,Module,2.00
500-3462-005,2000,Module,0.00
500-3462-007,1000,Module,2.00
500-3462-007,2000,Module,0.00
500-3462-010,1000,Module,2.00
500-3462-010,2000,Module,0.00
500-3462-015,1000,Module,2.00
500-3462-015,2000,Module,0.00
500-3462-020,1000,Module,2.00
500-3462-020,2000,Module,0.00
500-3462-025,1000,Module,2.00
500-3462-025,2000,Module,0.00
500-3462-030,1000,Module,2.00
500-3462-030,2000,Module,0.00
500-3611-001,1000,Module,2.00
500-3611-001,2000,Module,0.00
500-3647-001,1000,Module,2.00
500-3647-001,2000,Module,0.00
500-3647-002,1000,Module,2.00
500-3647-002,2000,Module,0.00
500-3647-003,1000,Module,2.00
500-3647-003,2000,Module,0.00
500-3647-005,1000,Module,2.00
500-3647-005,2000,Module,0.00
500-3647-007,1000,Module,2.00
500-3647-007,2000,Module,0.00
500-3647-008,1000,Module,2.00
500-3647-008,2000,Module,0.00
500-3647-010,1000,Module,2.00
500-3647-010,2000,Module,0.00
500-3647-012,1000,Module,2.00
500-3647-012,2000,Module,0.00
500-3647-015,1000,Module,2.00
500-3647-015,2000,Module,0.00
500-3647-020,1000,Module,2.00
500-3647-020,2000,Module,0.00
500-3647-025,1000,Module,2.00
500-3647-025,2000,Module,0.00
500-3647-030,1000,Module,2.00
500-3647-030,2000,Module,0.00
500-3647-0P5,1000,Module,2.00
500-3647-0P5,2000,Module,0.00
500-3672-003,1000,Module,2.00
500-3672-007,1000,Module,2.00
500-3672-007,2000,Module,0.00
