model,process,start,end,capacity,uom,plant
100G QSFP28 CWDM4 GEN2,CB,3/25/2024,3/31/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,4/1/2024,4/7/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,4/8/2024,4/14/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,4/15/2024,4/21/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,4/22/2024,4/28/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,4/29/2024,5/5/2024,5929,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,5/6/2024,5/12/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,5/13/2024,5/19/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,5/20/2024,5/26/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,5/27/2024,6/2/2024,5929,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,6/3/2024,6/9/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,6/10/2024,6/16/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,6/17/2024,6/23/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,6/24/2024,6/30/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,7/1/2024,7/7/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,7/8/2024,7/14/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,7/15/2024,7/21/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,7/22/2024,7/28/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,7/29/2024,8/4/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,8/5/2024,8/11/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,8/12/2024,8/18/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,8/19/2024,8/25/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,8/26/2024,9/1/2024,5901,WEEK,2000
