model,process,start,end,capacity,uom,plant
100G QSFP28 CWDM4 GEN2,CB,9/2/2024,9/8/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,9/9/2024,9/15/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,9/16/2024,9/22/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,9/23/2024,9/29/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,9/30/2024,10/6/2024,5901,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,10/7/2024,10/13/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,10/14/2024,10/20/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,10/21/2024,10/27/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,10/28/2024,11/3/2024,5957,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,11/4/2024,11/10/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,11/11/2024,11/17/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,11/18/2024,11/24/2024,6069,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,11/25/2024,12/1/2024,6041,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,12/2/2024,12/8/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,12/9/2024,12/15/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,12/16/2024,12/22/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,12/23/2024,12/29/2024,5873,WEEK,2000
100G QSFP28 CWDM4 GEN2,CB,12/30/2024,12/31/2024,1678,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,1/1/2024,1/7/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,1/8/2024,1/14/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,1/15/2024,1/21/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,1/22/2024,1/28/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,1/29/2024,2/4/2024,5859,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,2/5/2024,2/11/2024,6027,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,2/12/2024,2/18/2024,6027,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,2/19/2024,2/25/2024,6027,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,2/26/2024,3/3/2024,5859,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,3/4/2024,3/10/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,3/11/2024,3/17/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,3/18/2024,3/24/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,3/25/2024,3/31/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,4/1/2024,4/7/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,4/8/2024,4/14/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,4/15/2024,4/21/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,4/22/2024,4/28/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,4/29/2024,5/5/2024,5689,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,5/6/2024,5/12/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,5/13/2024,5/19/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,5/20/2024,5/26/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,5/27/2024,6/2/2024,5689,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,6/3/2024,6/9/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,6/10/2024,6/16/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,6/17/2024,6/23/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,6/24/2024,6/30/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,7/1/2024,7/7/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,7/8/2024,7/14/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,7/15/2024,7/21/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,7/22/2024,7/28/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,7/29/2024,8/4/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,8/5/2024,8/11/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,8/12/2024,8/18/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,8/19/2024,8/25/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,8/26/2024,9/1/2024,5662,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,9/2/2024,9/8/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,9/9/2024,9/15/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,9/16/2024,9/22/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,9/23/2024,9/29/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,9/30/2024,10/6/2024,5662,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,10/7/2024,10/13/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,10/14/2024,10/20/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,10/21/2024,10/27/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,10/28/2024,11/3/2024,5716,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,11/4/2024,11/10/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,11/11/2024,11/17/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,11/18/2024,11/24/2024,5824,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,11/25/2024,12/1/2024,5797,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,12/2/2024,12/8/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,12/9/2024,12/15/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,12/16/2024,12/22/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,12/23/2024,12/29/2024,5635,WEEK,2000
100G QSFP28 CWDM4 GEN2,OB,12/30/2024,12/31/2024,1610,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,1/1/2024,1/7/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,1/8/2024,1/14/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,1/15/2024,1/21/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,1/22/2024,1/28/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,1/29/2024,2/4/2024,4881,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,2/5/2024,2/11/2024,5019,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,2/12/2024,2/18/2024,5019,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,2/19/2024,2/25/2024,5019,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,2/26/2024,3/3/2024,4881,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,3/4/2024,3/10/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,3/11/2024,3/17/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,3/18/2024,3/24/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,3/25/2024,3/31/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,4/1/2024,4/7/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,4/8/2024,4/14/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,4/15/2024,4/21/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,4/22/2024,4/28/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,4/29/2024,5/5/2024,4741,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,5/6/2024,5/12/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,5/13/2024,5/19/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,5/20/2024,5/26/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,5/27/2024,6/2/2024,4741,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,6/3/2024,6/9/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,6/10/2024,6/16/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,6/17/2024,6/23/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,6/24/2024,6/30/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,7/1/2024,7/7/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,7/8/2024,7/14/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,7/15/2024,7/21/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,7/22/2024,7/28/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,7/29/2024,8/4/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,8/5/2024,8/11/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,8/12/2024,8/18/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,8/19/2024,8/25/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,8/26/2024,9/1/2024,4719,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,9/2/2024,9/8/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,9/9/2024,9/15/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,9/16/2024,9/22/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,9/23/2024,9/29/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,9/30/2024,10/6/2024,4719,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,10/7/2024,10/13/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,10/14/2024,10/20/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,10/21/2024,10/27/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,10/28/2024,11/3/2024,4763,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,11/4/2024,11/10/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,11/11/2024,11/17/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,11/18/2024,11/24/2024,4851,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,11/25/2024,12/1/2024,4829,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,12/2/2024,12/8/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,12/9/2024,12/15/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,12/16/2024,12/22/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,12/23/2024,12/29/2024,4697,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,12/30/2024,12/31/2024,1342,WEEK,2000
100G QSFP28 CWDM4 GEN2,Module_COP,1/1/2024,1/7/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,1/8/2024,1/14/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,1/15/2024,1/21/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,1/22/2024,1/28/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,1/29/2024,2/4/2024,3049,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,2/5/2024,2/11/2024,3136,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,2/12/2024,2/18/2024,3136,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,2/19/2024,2/25/2024,3136,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,2/26/2024,3/3/2024,3049,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,3/4/2024,3/10/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,3/11/2024,3/17/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,3/18/2024,3/24/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,3/25/2024,3/31/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,4/1/2024,4/7/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,4/8/2024,4/14/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,4/15/2024,4/21/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,4/22/2024,4/28/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,4/29/2024,5/5/2024,2961,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,5/6/2024,5/12/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,5/13/2024,5/19/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,5/20/2024,5/26/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,5/27/2024,6/2/2024,2961,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,6/3/2024,6/9/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,6/10/2024,6/16/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,6/17/2024,6/23/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,6/24/2024,6/30/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,7/1/2024,7/7/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,7/8/2024,7/14/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,7/15/2024,7/21/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,7/22/2024,7/28/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,7/29/2024,8/4/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,8/5/2024,8/11/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,8/12/2024,8/18/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,8/19/2024,8/25/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,8/26/2024,9/1/2024,2947,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,9/2/2024,9/8/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,9/9/2024,9/15/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,9/16/2024,9/22/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,9/23/2024,9/29/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,9/30/2024,10/6/2024,2947,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,10/7/2024,10/13/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,10/14/2024,10/20/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,10/21/2024,10/27/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,10/28/2024,11/3/2024,2975,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,11/4/2024,11/10/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,11/11/2024,11/17/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,11/18/2024,11/24/2024,3031,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,11/25/2024,12/1/2024,3017,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,12/2/2024,12/8/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,12/9/2024,12/15/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,12/16/2024,12/22/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,12/23/2024,12/29/2024,2933,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,12/30/2024,12/31/2024,838,WEEK,6000
100G QSFP28 CWDM4 GEN2,Module_COP,1/1/2024,1/7/2024,588,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,1/8/2024,1/14/2024,588,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,1/15/2024,1/21/2024,588,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,1/22/2024,1/28/2024,588,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,1/29/2024,2/4/2024,612,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,2/5/2024,2/11/2024,630,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,2/12/2024,2/18/2024,630,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,2/19/2024,2/25/2024,630,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,2/26/2024,3/3/2024,612,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,3/4/2024,3/10/2024,588,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,3/11/2024,3/17/2024,588,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,3/18/2024,3/24/2024,588,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,3/25/2024,3/31/2024,588,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,4/1/2024,4/7/2024,609,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,4/8/2024,4/14/2024,609,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,4/15/2024,4/21/2024,609,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,4/22/2024,4/28/2024,609,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,4/29/2024,5/5/2024,594,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,5/6/2024,5/12/2024,588,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,5/13/2024,5/19/2024,588,WEEK,5000
100G QSFP28 CWDM4 GEN2,Module_COP,5/20/2024,5/26/2024,588,WEEK,5000
