model,process,start,end,capacity,uom,plant
100G QSFP28 SR4 Gen2,LENS,1/1/2024,1/7/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,1/8/2024,1/14/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,1/15/2024,1/21/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,1/22/2024,1/28/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,1/29/2024,2/4/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,2/5/2024,2/11/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,2/12/2024,2/18/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,2/19/2024,2/25/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,2/26/2024,3/3/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,3/4/2024,3/10/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,3/11/2024,3/17/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,3/18/2024,3/24/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,3/25/2024,3/31/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,4/1/2024,4/7/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,4/8/2024,4/14/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,4/15/2024,4/21/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,4/22/2024,4/28/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,4/29/2024,5/5/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,5/6/2024,5/12/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,5/13/2024,5/19/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,5/20/2024,5/26/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,5/27/2024,6/2/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,6/3/2024,6/9/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,6/10/2024,6/16/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,6/17/2024,6/23/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,6/24/2024,6/30/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,7/1/2024,7/7/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,7/8/2024,7/14/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,7/15/2024,7/21/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,7/22/2024,7/28/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,7/29/2024,8/4/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,8/5/2024,8/11/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,8/12/2024,8/18/2024,0,WEEK,2000
