Sold to customer,Ship to customer,Name,Country,abbreviate customer code 
0000200530,0000200530,ADVA Optical Networking SE,DE,international_others
0000200535,0000200535,ORIENTAL POWER HOLDINGS LIMITED,CN,international_others
0000200540,0000200540,GLORYBIRD JAPAN G.K.,JP,international_others
0000200542,0000200542,Precision Optical Transceivers,GB,international_others
0000200543,0000200543,"Meta Platforms, Inc.",US,international_others
0000200545,0000200545,"REDAPT, INC.",US,international_others
0000200550,0000200550,Tencent (Thailand) Company Limited,TH,international_others
0000200567,0000200567,Marvell Semiconductor Inc,US,international_others
0000200568,0000200568,Kite Bird Korea Yuhan Hoesa,KR,international_others
0000200580,0000200580,Nvidia Corporation,US,international_others
0000200584,0000200584,"IPROAD CO., LTD",KR,international_others
0000200610,0000200610,"PANOPTICS CO., LTD",KR,international_others
0000200613,0000200613,绿能国际投资有限公司,CN,international_others
0000200618,0000200618,CREATEOPTICS TECHNOLOGY LIMITED,HK,international_others
0000200622,0000200622,Spirent Communications SAS,FR,international_others
