Plant,删除标识,凭证日期,采购凭证,项目,PN,库存地点,Quantity,仍要交货(数量),短文本,订单单位,采购组,项目类别,物料组,Vendor,Vendor_Name
5000,,12/26/23,4500072706,10,310-0414-01,6010,25,25,"Epoxy,EPO-TEK HYB-353ND-LV,3ml/支",PC,A10,0,313P87C2,400481, PAS Bangkok Co.; Ltd
1000,,1/17/24,4500074551,20,310-0238,6010,30,30,"Acrylate,Dymax,9001(Ev3.7),30ml/支",PC,A10,0,313P87C2,100199, 苏州美凯邦机电有限公司
5000,,2/22/24,4500077263,10,310-0284,6010,35,35,"Acrylate,Dymax,OP-60,3cc/支",PC,A10,0,313P87C2,500100, SuzhouRuikaiNewMaterialCo.;Ltd.
5000,,1/23/24,4500075150,10,310-0414-01,6010,35,35,"Epoxy,EPO-TEK HYB-353ND-LV,3ml/支",PC,A10,0,313P87C2,400481, PAS Bangkok Co.; Ltd
5000,,3/7/24,4500078581,10,330-0403,6010,15000,40,"Label,25*13,Cisco BP:473-00014-05(TMG9)",PC,A13,0,330P96R5,200079, Worldmark International Limited
1000,,1/19/24,4900010786,10,220-0230-010,VM01,2600,50,"Fiber,OM2,10m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
1000,,9/1/23,4500064953,10,313-0039,6010,7700,50,"Silicon,Dow Corning,TC-3065,30ml/支",PC,A10,0,313P87C2,100337, 帕克威乐新材料（深圳）有限公司
1000,,3/6/24,4500078544,10,313-0041,6010,65,65,"Epoxy,Aventk，4034W1,3ml/支",PC,A10,0,313P87C2,400175, 苏州良亚达机电设备有限公司
5000,,2/22/24,4500077262,20,310-0395,6010,107,77,"Epoxy,NGAC,P910-04,3ml/支",PC,A10,0,313P87C2,200085, NGAC LLC.
1000,,1/19/24,4900010786,50,220-0230-005,VM01,400,80,"Fiber,OM2,5m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
1000,,3/6/24,4500078541,10,310-0368,6010,85,85,"Epoxy,Henkel,84-1 LMI SR4, 18g/支",PC,A10,0,313P87C2,100033, 上海锐隆材料科技有限公司
2000,,8/7/23,4500063409,10,101-0001,6010,64000,91,"WB Capacitor,220pF,+80%,-20%,16V",PC,A07,0,101P0102,200075, YEE LAI TECHNOLOGY CO.; LIMITED
1000,,4/17/23,4500057977,10,310-0401,6010,73710,91,"Dust cover EPDM,Duplex LC,Black",PC,A16,0,312P93D8,100206, 东莞市创宜丰精密橡塑有限公司
5000,,2/6/24,4500076266,10,310-0284,6010,100,100,"Acrylate,Dymax,OP-60,3cc/支",PC,A10,0,313P87C2,500100, SuzhouRuikaiNewMaterialCo.;Ltd.
1000,,10/31/23,4500068590,10,330-0101,6010,50000,100,"Label,rounded corner,white,blank,for Box",PC,A16,0,330P96E3,100175, 苏州高泰电子技术股份有限公司
5000,,3/5/24,4500078391,10,310-0395,6010,106,106,"Epoxy,NGAC,P910-04,3ml/支",PC,A10,0,313P87C2,200085, NGAC LLC.
5000,,3/20/24,4500079774,20,313-0068,6010,122,122,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
5000,,2/6/24,4500076265,10,310-0147,6010,130,130,"Epoxy,Henkel,EO1016,30ml/支",PC,A10,0,313P87C2,200175, Shanghai Reliant Materials Technolo
1000,,3/6/24,4500078548,10,310-0284,6010,136,136,"Acrylate,Dymax,OP-60,3cc/支",PC,A10,0,313P87C2,100199, 苏州美凯邦机电有限公司
1000,,1/17/24,4500074544,10,313-0059,6010,140,140,"Epoxy,Epo-Tek,HYB-353ND-Tx2,3ml/支",PC,A10,0,313P87C2,100041, 技硕贸易（上海）有限公司
1000,,10/7/23,4500066996,10,504-1818,6010,2014,141,"PCBA BOM,SFP28 AOC with Plus MOS TDK",PC,A22,3,504P5071,100297, 无锡索米科技有限公司
1000,,2/22/24,4500077309,30,313-0059,6010,150,150,"Epoxy,Epo-Tek,HYB-353ND-Tx2,3ml/支",PC,A10,0,313P87C2,100041, 技硕贸易（上海）有限公司
1000,,2/22/24,4500077265,20,313-0068,6010,160,160,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,100337, 帕克威乐新材料（深圳）有限公司
1000,,11/22/23,4500070219,10,310-0485,6010,3000,165,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",PC,A10,0,313P87C2,100078, 苏州鑫澈电子有限公司
1000,,3/6/24,4500078541,20,310-0368,6010,170,170,"Epoxy,Henkel,84-1 LMI SR4, 18g/支",PC,A10,0,313P87C2,100033, 上海锐隆材料科技有限公司
5000,,12/26/23,4500072699,10,313-0068,6010,180,180,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
1000,,9/6/23,4500065215,10,504-1532,6010,200,183,"PCBA BOM,CWDM4-Duplex(with MCC Diode)",PC,A22,3,504P5071,100006, 福群科技（无锡）有限公司
1000,,1/16/24,4900010640,40,280-0701,VM01,3000,190,"RX Z-Block,P0.75,8 deg incident",PC,A04,2,288P81B5,100073, 苏州伽蓝致远电子科技股份有限公司
1000,,3/18/20,4500025181,10,330-0205,6010,90000,205,"Label,25*13,Cisco BP:473-00014-04(TMG9)",PC,107,0,330,200079, Worldmark International Limited
1000,,2/22/24,4500077306,20,310-0395,6010,340,221,"Epoxy,NGAC,P910-04,3ml/支",PC,A10,0,313P87C2,200085, NGAC LLC.
5000,,1/17/24,4500074537,20,313-0068,6010,236,236,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
1000,,2/1/24,4900011045,70,220-0230-030,VM01,250,250,"Fiber,OM2,30m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
1000,,1/23/24,4500075158,10,310-0414-01,6010,250,250,"Epoxy,EPO-TEK HYB-353ND-LV,3ml/支",PC,A10,0,313P87C2,100041, 技硕贸易（上海）有限公司
1000,,1/23/24,4500075143,10,313-0043,6010,5800,260,"Epoxy,Threebond,3114,3ml/支",PC,A10,0,313P87C2,100353, 上海佳鹄实业有限公司
1000,,2/1/24,4900011045,40,220-0230-007,VM01,265,265,"Fiber,OM2,7m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
1000,,2/22/24,4500077269,10,310-0485,6010,300,300,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",PC,A10,0,313P87C2,100078, 苏州鑫澈电子有限公司
5000,,12/29/23,4500072971,10,313-0059,6010,300,300,"Epoxy,Epo-Tek,HYB-353ND-Tx2,3ml/支",PC,A10,0,313P87C2,400481, PAS Bangkok Co.; Ltd
1000,,3/6/24,4500078549,10,313-0001,6010,315,315,"Epoxy,NGAC,P907-30,3ml/支",PC,A10,0,313P87C2,200085, NGAC LLC.
5000,,2/1/24,4500075874,20,313-0059,6010,320,320,"Epoxy,Epo-Tek,HYB-353ND-Tx2,3ml/支",PC,A10,0,313P87C2,400481, PAS Bangkok Co.; Ltd
1000,,2/1/24,4900011045,60,220-0230-015,VM01,335,335,"Fiber,OM2,15m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
5000,,12/29/23,4500072971,20,313-0059,6010,350,350,"Epoxy,Epo-Tek,HYB-353ND-Tx2,3ml/支",PC,A10,0,313P87C2,400481, PAS Bangkok Co.; Ltd
1000,,3/18/24,4500079470,10,504-1877,6010,2099,354,"PCBA,COP Gen3,prevent Vulcanizati",PC,A22,3,504P5071,100297, 无锡索米科技有限公司
1000,,3/14/24,4900011730,10,220-0134-002,VM01,395,395,"Cable,OFNP,2m",PC,A04,2,220P6688,100136, 苏州安捷讯光电科技股份有限公司
1000,,3/6/24,4500078546,20,310-0414-01,6010,405,405,"Epoxy,EPO-TEK HYB-353ND-LV,3ml/支",PC,A10,0,313P87C2,100041, 技硕贸易（上海）有限公司
1000,,3/14/24,4500079188,10,220-0134-005,6010,425,425,"Cable,OFNP,5m",PC,A04,0,220P6688,100136, 苏州安捷讯光电科技股份有限公司
1000,,1/17/24,4500074544,30,310-0414-01,6010,880,430,"Epoxy,EPO-TEK HYB-353ND-LV,3ml/支",PC,A10,0,313P87C2,100041, 技硕贸易（上海）有限公司
