PRODUCT_ID,Revesion level,VENDOR_ID,LOCATION,PREFERENCE/Quota,EFFECTIVE_START,EFFECTIVE_END,LEAD_DAYS_SUPPLY,CYCLE_DAYS_SUPPLY
120-0143,1A,100148,1000,100,2023.01.03,2023.12.31,151,
120-0157,1A,100100,1000,0,2023.01.03,2023.12.31,151,
120-0157,1A,100148,1000,100,2023.01.03,2023.12.31,151,
120-0202,1A,100083,1000,100,2023.01.02,2023.12.31,151,
120-0202,1A,100148,1000,0,2023.01.02,2023.12.31,151,
120-0232,1A,100100,1000,0,2023.01.03,2023.12.31,151,
120-0232,1A,100148,1000,100,2023.01.03,2023.12.31,151,
120-0248,1A,100100,1000,0,2023.01.03,2023.12.31,151,
120-0248,1A,100148,1000,100,2023.01.03,2023.12.31,151,
121-0053,1A,100083,1000,100,2023.01.02,2023.12.31,179,
121-0053,1A,100148,1000,0,2023.01.02,2023.12.31,179,
130-0077,1A,100289,1000,100,2023.02.15,2023.12.01,179,
140-0179,1A,200180,1000,100,2022.06.23,2023.12.31,193,
140-0221,1A,200011,1000,100,2023.10.20,2023.10.21,151,
140-0246,1A,200180,1000,100,2022.06.23,2023.12.31,193,
140-0253,1A,200180,1000,100,2022.06.23,2023.12.31,95,
140-0310,1A,200011,1000,100,2023.10.20,2023.10.21,361,
140-0310,1A,200237,1000,100,2023.10.26,2023.12.20,361,
140-0341,1A,200009,1000,100,2022.07.02,2023.12.07,193,
140-0355,1A,200011,1000,100,2023.10.20,2023.10.21,221,
140-0386,1A,200009,1000,100,2022.05.30,2023.12.01,256,
140-0392,1A,200180,1000,100,2023.07.13,2023.12.31,193,
140-0477,1A,200140,1000,100,2022.05.25,2023.12.01,221,
140-0481,1A,200011,1000,100,2022.05.25,2023.12.01,151,
140-0547,1A,200146,1000,100,2023.05.08,2023.12.31,179,
140-0628,1A,200198,1000,0,2023.10.20,2023.12.31,179,
140-0628,1A,200236,1000,100,2023.10.20,2023.12.31,179,
140-0645,1A,100289,1000,100,2022.05.30,2023.12.01,179,
140-0834,1A,100306,1000,100,2022.05.20,2023.12.01,179,
140-0851,1A,200146,1000,100,2023.05.08,2023.12.31,179,
140-1028,1A,100306,1000,100,2022.05.20,2023.12.01,179,
