PN,Plant,Vendor
110-0241,2000,0000100067
310-0241,2000,0000100102
100-0024,2000,0000100148
310-0014,2000,0000100170
330-0162,2000,0000100063
120-0047,2000,0000100100
330-0081,2000,0000100063
100-0033,2000,0000100148
110-0161,2000,0000100067
140-0313,2000,0000200009
100-0031,2000,0000100148
350-0038,2000,0000100003
320-0284,2000,0000100102
140-0338,2000,0000200009
310-0295,2000,0000100078
110-0040,2000,0000100067
110-0099,2000,0000100067
110-0248,2000,0000100067
280-0467,2000,0000200003
110-0174,2000,0000100067
120-0129,2000,0000100148
110-0298,2000,0000100067
120-0120,2000,0000100148
120-0121,2000,0000100148
280-0511-03,2000,0000100132
280-0511-04,2000,0000100132
280-0511-05,2000,0000100132
110-0213,2000,0000100067
140-0253,2000,0000200009
140-0240,2000,0000200009
310-0313,2000,0000100078
100-0038,2000,0000100148
100-0061,2000,0000100148
100-0086,2000,0000100148
140-0310,2000,0000200011
280-0431,2000,0000100143
280-0445,2000,0000100143
280-0446,2000,0000100143
280-0447,2000,0000100143
280-0546,2000,0000100143
280-0547,2000,0000100143
280-0548,2000,0000100143
280-0549,2000,0000100143
280-0550,2000,0000100143
280-0440,2000,0000100143
280-0441,2000,0000100143
280-0442,2000,0000100143
280-0443,2000,0000100143
280-0444,2000,0000100143
110-0214,2000,0000100163
100-0074,2000,0000100148
140-0246,2000,0000200009
310-0323,2000,0000100170
330-0189,2000,0000100175
280-0439,2000,0000100143
280-0551,2000,0000100143
280-0552,2000,0000100143
280-0553,2000,0000100143
280-0554,2000,0000100143
280-0556,2000,0000100143
280-0558,2000,0000100143
280-0431,2000,0000100132
100-0088,2000,0000100100
100-0086,2000,0000100100
110-0272,2000,0000100067
110-0246,2000,0000100067
110-0267,2000,0000100067
120-0120,2000,0000100083
350-0106,2000,0000100187
350-0107,2000,0000100187
110-0011,2000,0000100163
110-0241,2000,0000100163
350-0113,2000,0000100003
330-0194,2000,0000100009
160-1132,2000,0000100019
280-0587,2000,0000200017
350-0116,2000,0000100003
350-0118,2000,0000100003
350-0119,2000,0000100003
350-0120,2000,0000100003
110-0083,2000,0000100067
330-0088,2000,0000100175
280-0489,2000,0000200017
110-0019,2000,0000100067
280-0555,2000,0000100143
280-0557,2000,0000100143
330-0203,2000,0000100175
140-0355,2000,0000200011
140-0340,2000,0000200070
140-0345,2000,0000200070
350-0129,2000,0000100003
320-0368,2000,0000200071
110-0003,2000,0000100067
110-0063,2000,0000100067
110-0177,2000,0000100067
100-0061,2000,0000100100
100-0088,2000,0000100148
120-0138,2000,0000100100
330-0209,2000,0000100175
330-0214,2000,0000100009
110-0214,2000,0000100067
110-0237,2000,0000100067
330-0216,2000,0000100175
300-0140,2000,0000100189
300-0141,2000,0000100189
310-0357,2000,0000100189
110-0172,2000,0000100067
280-0650,2000,0000100094
310-0369,2000,0000100078
310-0370,2000,0000100078
120-0128,2000,0000100083
330-0205,2000,0000200079
330-0223,2000,0000100175
300-0144,2000,0000100189
300-0145,2000,0000100189
140-0341,2000,0000200009
310-0368,2000,0000100033
100-0018,2000,0000100148
120-0128,2000,0000100148
330-0228,2000,0000100009
310-0310,2000,0000100078
310-0311,2000,0000100078
310-0312,2000,0000100078
350-0137,2000,0000100187
110-0253,2000,0000100163
330-0229,2000,0000100175
330-0168,2000,0000100175
160-1153,2000,0000100019
110-0253,2000,0000100067
310-0376,2000,0000100078
310-0405,2000,0000100078
120-0138,2000,0000100148
330-0227,2000,0000100175
110-0156,2000,0000100067
110-0296,2000,0000100067
110-0273,2000,0000100067
350-0147,2000,0000100003
350-0148,2000,0000100003
350-0149,2000,0000100003
350-0151,2000,0000100003
100-0054,2000,0000100148
110-0156,2000,0000100163
110-0273,2000,0000100163
110-0296,2000,0000100163
110-0295,2000,0000100067
100-0106,2000,0000100190
100-0107,2000,0000100190
100-0108,2000,0000100190
330-0234,2000,0000100009
100-0115,2000,0000100100
100-0115,2000,0000100148
120-0129,2000,0000100100
110-0207,2000,0000100067
110-0220,2000,0000100067
110-0239,2000,0000100067
110-0243,2000,0000100067
110-0252,2000,0000100067
110-0308,2000,0000100067
110-0268,2000,0000100067
110-0207,2000,0000100163
110-0243,2000,0000100163
110-0246,2000,0000100163
110-0252,2000,0000100163
110-0267,2000,0000100163
110-0272,2000,0000100163
110-0298,2000,0000100163
110-0308,2000,0000100163
110-0295,2000,0000100163
140-0392,2000,0000200009
140-0386,2000,0000200009
120-0121,2000,0000100083
310-0418,2000,0000100078
140-0384,2000,0000200009
280-0293-27,2000,0000200082
280-0293-29,2000,0000200082
280-0293-31,2000,0000200082
280-0293-33,2000,0000200082
310-0251,2000,0000100196
280-0704,2000,0000100198
280-0695,2000,0000100143
280-0698,2000,0000100143
280-0699,2000,0000100143
280-0702,2000,0000100143
280-0705,2000,0000100143
320-0412,2000,0000100096
320-0413,2000,0000100096
280-0696,2000,0000100146
280-0512,2000,0000100143
320-0410,2000,0000100096
350-0152,2000,0000100003
160-1168,2000,0000100019
160-1153,2000,0000100204
320-0248,2000,0000100170
310-0417,2000,0000100206
280-0765,2000,0000200075
350-0153,2000,0000100003
160-1169,2000,0000100195
310-0284,2000,0000100199
310-0362,2000,0000100196
100-0116,2000,0000100148
120-0143,2000,0000100148
110-0312,2000,0000100176
310-0401,2000,0000100206
280-0791,2000,0000100143
320-0443,2000,0000100096
320-0436,2000,0000100096
320-0437,2000,0000100096
320-0438,2000,0000100096
320-0439,2000,0000100096
300-0150,2000,0000100189
300-0151,2000,0000100189
300-0152,2000,0000100189
310-0407,2000,0000100189
120-0143,2000,0000100100
160-1171,2000,0000100204
160-1171,2000,0000100019
160-1172,2000,0000100019
280-0810,2000,0000100146
110-0040,2000,0000100163
310-0282,2000,0000100200
350-0158,2000,0000100187
320-0440,2000,0000100096
300-0121,2000,0000100189
300-0122,2000,0000100189
320-0412,2000,0000100094
320-0443,2000,0000100094
320-0412,2000,0000100144
320-0443,2000,0000100144
100-0122,2000,0000100148
320-0438,2000,0000100143
320-0439,2000,0000100143
310-0464,2000,0000100078
110-0268,2000,0000100163
110-0260,2000,0000100067
110-0270,2000,0000100067
160-1169,2000,0000100019
110-0261,2000,0000100067
110-0260,2000,0000100163
110-0270,2000,0000100163
310-0308,2000,0000100189
310-0485,2000,0000100078
320-0328,2000,0000100136
350-0159,2000,0000100003
280-0636,2000,0000100143
300-0121,2000,0000100194
300-0122,2000,0000100194
280-0845-003,2000,0000100136
280-0845-005,2000,0000100136
280-0845-007,2000,0000100136
280-0845-010,2000,0000100136
280-0845-015,2000,0000100136
280-0845-020,2000,0000100136
310-0474,2000,0000100078
110-0261,2000,0000100163
300-0150,2000,0000100102
300-0151,2000,0000100102
300-0152,2000,0000100102
310-0407,2000,0000100102
310-0490,2000,0000100078
310-0440,2000,0000100206
310-0504,2000,0000100102
280-0845-025,2000,0000100136
280-0845-030,2000,0000100136
280-0845-001,2000,0000100136
330-0265,2000,0000100175
280-0574,2000,0000200048
320-0474,2000,0000100096
320-0468,2000,0000100096
320-0470,2000,0000100096
320-0486,2000,0000100096
320-0471,2000,0000100096
320-0491,2000,0000100096
110-0174,2000,0000100163
