PN,Plant,Vendor
313-0041,2000,0000400175
311-0260,2000,0000100078
340-0062,2000,0000100189
320-0611,2000,0000100330
284-0051-40,2000,S1000
340-0063,2000,0000100189
280-0431,2000,0000100073
320-0438,2000,0000100073
282-0041,2000,0000100073
280-0698,2000,0000100073
282-0040,2000,0000100073
280-0898,2000,0000100073
280-0791,2000,0000100073
330-0024,2000,S1000
280-0848,2000,0000200039
280-0467,2000,S1000
280-0701,2000,0000100143
283-0110-27,2000,S1000
283-0110-29,2000,S1000
283-0110-31,2000,S1000
283-0110-33,2000,S1000
340-0063,2000,S1000
330-0138,2000,0000100009
310-0560,2000,S1000
330-0164,2000,S1000
350-0152,2000,S1000
350-0140,2000,0000100323
350-0154,2000,0000100323
311-0276,2000,0000100078
284-0001-40,2000,0000100094
280-1018,2000,S1000
284-0051-20,2000,S1000
140-0364,2000,S1000
140-0403,2000,S1000
280-0837,2000,S1000
283-0146-N0,2000,S1000
283-0146-N1,2000,S1000
283-0146-N2,2000,S1000
283-0146-N3,2000,S1000
330-0352,2000,0000100063
350-0038,2000,0000100323
311-0244,2000,S1000
320-0759,2000,0000100193
140-0253,2000,0000200011
140-0313,2000,0000200011
310-0591,2000,S1000
350-0153,2000,S1000
350-0076,2000,S1000
350-0116,2000,S1000
311-0276,2000,S1000
320-0763,2000,0000100144
320-0763,2000,0000100193
301-0022,2000,0000100102
220-0227,2000,0000100136
341-0036,2000,0000100189
320-0550,2000,0000100291
320-0443,2000,0000100291
320-0412,2000,0000100291
140-0246,2000,0000200011
330-0142,2000,S1000
301-0022,2000,S1000
140-0179,2000,0000200011
140-0392,2000,0000200011
140-0338,2000,0000200011
284-0084-20,2000,0000100094
352-0003,2000,S1000
321-0055,2000,0000100136
320-0470,2000,0000100144
320-0471,2000,0000100144
320-0470,2000,0000100170
320-0471,2000,0000100170
321-0057,2000,0000100144
321-0058,2000,0000100144
321-0059,2000,0000100144
321-0057,2000,0000100170
321-0058,2000,0000100170
321-0059,2000,0000100170
320-0763,2000,0000100170
284-0089-40,2000,0000100228
313-0039,2000,0000100337
320-0763,2000,0000100330
313-0059,2000,0000100041
280-1014-27,2000,S1000
280-1014-29,2000,S1000
280-1014-31,2000,S1000
280-1014-33,2000,S1000
100-0025,2000,S1000
110-0377,2000,S1000
110-0570,2000,S1000
110-0371,2000,S1000
100-0038,2000,S1000
110-0246,2000,S1000
110-0380,2000,S1000
110-0624,2000,S1000
120-0143,2000,S1000
130-0077,2000,S1000
284-0001-40,2000,S1000
283-0019,2000,S1000
280-0810,2000,0000100143
284-0089-40,2000,S1000
284-0089-20,2000,0000100228
280-0739,2000,S1000
330-0352,2000,S1000
330-0367,2000,0000100063
310-0417,2000,S1000
284-0086-20,2000,0000100094
320-0759,2000,0000100170
320-0759,2000,S1000
321-0057,2000,S1000
321-0058,2000,S1000
321-0059,2000,S1000
301-0016,2000,S1000
283-0098,2000,S1000
281-0009,2000,S1000
140-0851,2000,S1000
285-0109,2000,S1000
311-0260,2000,S1000
341-0027,2000,S1000
284-0084-20,2000,S1000
330-0265,2000,S1000
100-0225,2000,0000100100
350-0140,2000,S1000
350-0147,2000,S1000
350-0148,2000,S1000
350-0149,2000,S1000
330-0229,2000,S1000
280-0861,2000,0000100345
280-0702,2000,0000100345
280-0862,2000,0000100345
280-0705,2000,0000100345
320-0763,2000,S1000
140-0848,2000,S1000
140-0849,2000,S1000
284-0089-20,2000,S1000
110-0284,2000,S1000
301-0016,2000,0000100336
280-0789-10B,2000,S1000
300-0316,2000,S1000
300-0317,2000,S1000
310-0166,2000,S1000
311-0207,2000,S1000
321-0055,2000,S1000
330-0327,2000,S1000
280-0992,2000,0000100345
282-0041,2000,0000100345
280-0431,2000,0000100345
280-0698,2000,0000100345
282-0040,2000,0000100345
280-0695,2000,0000100345
280-0791,2000,0000100345
320-0438,2000,0000100345
310-0014,2000,S1000
351-0009,2000,0000100003
351-0010,2000,0000100003
100-0228,2000,0000100148
330-0273,2000,S1000
330-0138,2000,S1000
350-0071,2000,S1000
350-0129,2000,S1000
350-0087,2000,S1000
330-0203,2000,S1000
280-0898,2000,0000100345
282-0330,2000,0000100143
282-0333,2000,0000100143
282-0330,2000,S1000
282-0333,2000,S1000
280-0865,2000,S1000
280-0866,2000,S1000
280-0867,2000,S1000
280-0397,2000,S1000
280-0574,2000,S1000
320-0468,2000,S1000
320-0486,2000,S1000
280-0861,2000,S1000
280-0702,2000,S1000
320-0474,2000,S1000
280-0862,2000,S1000
280-0704,2000,S1000
280-0705,2000,S1000
280-0439,2000,S1000
280-0440,2000,S1000
280-0441,2000,S1000
280-0442,2000,S1000
280-0443,2000,S1000
280-0444,2000,S1000
280-0445,2000,S1000
280-0446,2000,S1000
280-0447,2000,S1000
280-0512,2000,S1000
280-0546,2000,S1000
280-0547,2000,S1000
280-0548,2000,S1000
280-0549,2000,S1000
280-0550,2000,S1000
280-0551,2000,S1000
280-0552,2000,S1000
280-0553,2000,S1000
280-0554,2000,S1000
280-0555,2000,S1000
280-0556,2000,S1000
280-0557,2000,S1000
280-0558,2000,S1000
280-0996,2000,S1000
280-0997,2000,S1000
280-0998,2000,S1000
280-0999,2000,S1000
280-1000,2000,S1000
280-1001,2000,S1000
280-1002,2000,S1000
280-0994,2000,S1000
280-0995,2000,S1000
280-0418,2000,S1000
320-0470,2000,S1000
320-0471,2000,S1000
310-0494-001,2000,S1000
280-0789-10A,2000,S1000
280-0789-10C,2000,S1000
330-0205,2000,S1000
280-0511-03,2000,0000100345
284-0086-20,2000,S1000
283-0055,2000,S1000
350-0158,2000,S1000
300-0195,2000,S1000
330-0266,2000,S1000
320-0550,2000,0000100170
300-0150,2000,0000100338
300-0151,2000,0000100338
300-0152,2000,0000100338
310-0407,2000,0000100338
313-0043,2000,0000100353
280-0897,2000,0000100345
280-0511-05,2000,0000100345
310-0590,2000,0000100102
310-0724,2000,0000100102
350-0027,2000,0000100356
350-0015,2000,0000100356
280-0701,2000,S1000
280-0511-04,2000,0000100345
300-0316,2000,0000100102
300-0317,2000,0000100102
353-0003,2000,0000100323
220-0227,2000,S1000
341-0036,2000,S1000
280-0865,2000,0000100345
280-0866,2000,0000100345
280-0867,2000,0000100345
280-0397,2000,0000100357
350-0038,2000,S1000
280-0511-06,2000,0000100345
280-0654-CN,2000,S1000
330-0383,2000,0000100009
311-0363,2000,0000100078
320-0759,2000,0000100330
330-0383,2000,S1000
281-0070,2000,0000100094
281-0070,2000,S1000
330-0209,2000,S1000
350-0151,2000,S1000
330-0007,2000,S1000
340-0071,2000,0000100102
283-0226,2000,0000200123
320-0836,2000,0000100170
330-0216,2000,S1000
300-0311,2000,S1000
300-0312,2000,S1000
300-0313,2000,S1000
340-0056,2000,S1000
311-0252,2000,S1000
160-1169,2000,S1000
283-0111,2000,S9000
120-0202,2000,0000100083
310-0584,2000,S1000
280-0587,2000,S9000
330-0328,2000,S1000
283-0111,2000,S1000
100-0084,2000,S9000
313-0048,2000,S1000
283-0212-27-CD,2000,S9000
283-0212-29-CD,2000,S9000
283-0212-31-CD,2000,S9000
283-0212-33-CD,2000,S9000
313-0010,2000,S1000
310-0238,2000,S1000
313-0039,2000,S1000
313-0043,2000,S1000
330-0189,2000,0000100009
310-0590,2000,S1000
352-0006,2000,S1000
352-0007,2000,S1000
352-0008,2000,S1000
320-0836,2000,0000100193
280-1013,2000,0000100345
282-0432,2000,S1000
288-0134,2000,S1000
320-0836,2000,S1000
282-0433,2000,S1000
283-0226,2000,S1000
282-0434,2000,S1000
341-0063,2000,S1000
284-0118,2000,S1000
280-0511-06,2000,S1000
310-0417,2000,S9000
340-0062,2000,S1000
280-0511-03,2000,S1000
280-0511-04,2000,S1000
280-0511-05,2000,S1000
311-0363,2000,S1000
340-0071,2000,S1000
280-0952,2000,S1000
311-0436,2000,0000100078
311-0437,2000,0000100078
350-0045,2000,S1000
280-0431,2000,S9000
300-0311,2000,S9000
301-0016,2000,S9000
302-0007,2000,S9000
311-0252,2000,S9000
311-0357-CD,2000,S9000
320-0284,2000,S9000
283-0204-27-CD,2000,S1000
283-0204-29-CD,2000,S1000
283-0204-31-CD,2000,S1000
283-0204-33-CD,2000,S1000
283-0212-27-CD,2000,S1000
283-0212-29-CD,2000,S1000
283-0212-31-CD,2000,S1000
283-0212-33-CD,2000,S1000
350-0207,2000,S1000
220-0072,2000,0000100073
350-0290,2000,S1000
351-0003,2000,S1000
352-0009,2000,S1000
352-0010,2000,S1000
352-0011,2000,S1000
353-0003,2000,S1000
311-0460,2000,0000100078
313-0041,2000,S1000
313-0059,2000,S1000
310-0282,2000,S1000
313-0068,2000,S1000
311-0183,2000,S1000
100-0061,2000,S1000
110-0369,2000,S1000
110-0603,2000,S1000
110-0730,2000,S1000
120-0121,2000,S1000
310-0574,2000,S1000
310-0573,2000,S1000
310-0591-R,2000,S1000
330-0198,2000,S1000
283-0261-CD,2000,S9000
321-0057,2000,0000100094
321-0058,2000,0000100094
321-0059,2000,0000100094
285-0012,2000,0000100304
320-0109,2000,0000100318
311-0437,2000,S1000
310-0407-RW,2000,S1000
350-0015,2000,0000100323
350-0025,2000,0000100323
350-0025,2000,0000100356
350-0116,2000,0000100356
350-0116,2000,0000100323
350-0017,2000,0000100323
350-0017,2000,0000100356
350-0016,2000,0000100356
350-0029,2000,0000100323
350-0029,2000,0000100356
350-0230,2000,0000100323
350-0227,2000,0000100323
350-0275,2000,0000100323
350-0106,2000,0000100323
330-0081,2000,0000100175
330-0162,2000,0000100175
330-0234,2000,0000100175
330-0234,2000,0000100063
330-0214,2000,0000100063
330-0214,2000,0000100175
330-0142,2000,0000100175
330-0142,2000,0000100063
330-0101,2000,0000100175
330-0101,2000,0000100063
330-0352,2000,0000100175
350-0026,2000,0000100356
350-0015,2000,0000100009
350-0027,2000,0000100009
350-0025,2000,0000100009
321-0172,2000,0000100193
321-0173,2000,0000100193
340-0063-R,2000,S1000
310-0724,2000,S1000
283-0081,2000,S1000
350-0291,2000,S1000
313-0062,2000,S1000
330-0189,2000,S1000
280-1019,2000,S9000
280-0511-07,2000,S1000
283-0171,2000,S1000
283-0082,2000,S1000
310-0234,2000,S1000
301-0046-CD,2000,0000100336
101-0001,2000,S1000
310-0401,2000,0000100367
301-0046-CD,2000,S9000
310-0401,2000,S9000
280-0511-08,2000,S1000
341-0063,2000,0000100196
100-0074,2000,S1000
100-0088,2000,S1000
301-0046-CD,2000,S1000
101-0001,2000,0000200075
280-0810,2000,0000100304
284-0118,2000,0000100314
311-0436,2000,S1000
282-0333,2000,S9000
313-0065,2000,S1000
320-0836,2000,0000100355
280-0739-CN,2000,S1000
310-0440,2000,0000100367
320-0328,2000,S9000
220-0072,2000,S9000
320-0550,2000,0000100336
282-0432,2000,0000100143
282-0434,2000,0000100143
281-0009,2000,0000100018
280-0695,2000,0000100073
300-0311,2000,0000100189
300-0312,2000,0000100189
300-0313,2000,0000100189
340-0071,2000,0000100189
120-0046,2000,0000100083
320-0611,2000,0000100355
320-0763,2000,0000100355
350-0016,2000,0000100323
350-0027,2000,0000100323
350-0026,2000,0000100323
282-0433,2000,0000100143
320-0493,2000,0000100094
288-0134,2000,0000100143
120-0138,2000,0000100083
350-0210,2000,S1000
330-0292,2000,S1000
288-0005,2000,0000100094
288-0001,2000,0000100094
140-0848,2000,S9000
321-0055,2000,S9000
283-0261-CD,2000,S1000
320-0550,2000,0000100196
100-0119,2000,0000100100
320-0836,2000,0000100144
310-0417,2000,0000100367
280-0897,2000,0000100073
281-0070,2000,0000100073
280-0798,2000,S1000
310-0376,2000,S9000
310-0440,2000,S9000
100-0116,2000,0000100100
100-0144,2000,0000100100
100-0214,2000,0000100100
100-0222,2000,0000100100
100-0224,2000,0000100100
120-0099,2000,0000100083
120-0099,2000,0000100289
120-0100,2000,0000100083
120-0100,2000,0000100289
120-0152,2000,0000100083
120-0157,2000,0000100100
120-0224,2000,0000100083
120-0232,2000,0000100100
120-0249,2000,0000100100
280-0439,2000,0000100345
280-0789-10C,2000,0000100314
300-0504-CD,2000,S9000
310-0734,2000,S1000
280-0789-10A,2000,0000100314
300-0311,2000,0000100338
300-0312,2000,0000100338
300-0313,2000,0000100338
340-0071,2000,0000100338
140-0022,2000,0000100289
280-0558,2000,0000100345
280-0549,2000,0000100345
350-0117,2000,S1000
300-0312,2000,S9000
300-0313,2000,S9000
280-1018,2000,S9000
300-0316,2000,S9000
300-0317,2000,S9000
310-0357,2000,S9000
320-0109,2000,S9000
302-0004,2000,S9000
320-0759,2000,0000100355
320-0759,2000,0000100144
280-0636,2000,S9000
280-0440,2000,0000100345
280-1011,2000,0000100073
280-1002,2000,0000100345
280-0441,2000,0000100345
280-0442,2000,0000100345
280-0443,2000,0000100345
280-0444,2000,0000100345
280-0445,2000,0000100345
280-0446,2000,0000100345
280-0447,2000,0000100345
280-0546,2000,0000100345
280-0547,2000,0000100345
280-0548,2000,0000100345
280-0554,2000,0000100345
280-0555,2000,0000100345
280-0556,2000,0000100345
280-0557,2000,0000100345
330-0367,2000,S1000
350-0206,2000,S1000
140-0849,2000,S9000
350-0274,2000,S1000
140-0221,2000,S1000
110-0064,2000,S1000
350-0484,2000,0000100323
320-0328,2000,0000100196
300-0151-RW,2000,S1000
284-0089-20,2000,S9000
350-0227,2000,S9000
330-0223,2000,S1000
283-0029,2000,S9000
283-0080,2000,S1000
350-0089,2000,S9000
350-0090,2000,S9000
350-0152,2000,S9000
330-0367,2000,S9000
284-0089-40,2000,S9000
284-0089-50,2000,S9000
310-0166,2000,S9000
310-0362,2000,S9000
311-0207,2000,S9000
283-0055,2000,S9000
330-0273,2000,0000100175
284-0001-35,2000,0000100094
320-0763,2000,0000100404
320-0611,2000,0000100404
320-0493,2000,0000400543
320-0412,2000,0000400543
320-0443,2000,0000400543
282-0601,2000,S1000
280-0848,2000,0000200125
284-0051-40,2000,0000200125
284-0089-20,2000,0000200125
284-0089-40,2000,0000200125
284-0118,2000,S9000
321-0057,2000,S9000
321-0059,2000,S9000
101-0001,2000,S9000
140-0851,2000,S9000
281-0070,2000,S9000
282-0432,2000,S9000
282-0433,2000,S9000
282-0434,2000,S9000
283-0226,2000,S9000
288-0001,2000,S9000
288-0134,2000,S9000
350-0207,2000,S9000
280-0791,2000,S9000
340-0056,2000,S9000
341-0027,2000,S9000
300-0504-CD,2000,S1000
310-0417,2000,S6000
330-0327,2000,S9000
310-0494-001,2000,S9000
100-0024,2000,S1000
100-0086,2000,S1000
100-0116,2000,S1000
110-0566,2000,S1000
110-0627,2000,S1000
140-0834,2000,S1000
330-0121,2000,S1000
100-0062,2000,S1000
110-0001,2000,S1000
110-0099,2000,S1000
110-0121,2000,S1000
110-0241,2000,S1000
110-0298,2000,S1000
110-0311,2000,S1000
140-0386,2000,S1000
110-0158,2000,S1000
110-0379,2000,S1000
100-0143,2000,S1000
110-0216,2000,S1000
110-0237,2000,S1000
284-0001-20,2000,S9000
280-0848,2000,S9000
285-0109,2000,S9000
283-0080,2000,S9000
283-0081,2000,S9000
283-0082,2000,S9000
100-0119,2000,S1000
100-0142,2000,S1000
110-0239,2000,S1000
110-0308,2000,S1000
110-0174,2000,S1000
140-0246,2000,S1000
140-0310,2000,S1000
110-0177,2000,S1000
110-0460,2000,S1000
330-0138,2000,S9000
140-0628,2000,S1000
350-0015,1000,0000100003
350-0016,1000,0000100003
350-0017,1000,0000100003
350-0025,1000,0000100003
350-0026,1000,0000100003
350-0027,1000,0000100003
350-0029,1000,0000100003
350-0036,1000,0000100003
350-0045,1000,0000100003
350-0076,1000,0000100003
330-0005,1000,0000100009
330-0006,1000,0000100009
330-0007,1000,0000100009
330-0024,1000,0000100009
330-0025,1000,0000100009
330-0081,1000,0000100009
330-0087,1000,0000100009
330-0088,1000,0000100009
330-0101,1000,0000100009
330-0104,1000,0000100009
330-0111,1000,0000100009
330-0121,1000,0000100009
350-0071,1000,0000100011
330-0095,1000,0000100017
350-0056,1000,0000100024
310-0075,1000,0000100078
310-0166,1000,0000100078
310-0167,1000,0000100078
310-0178,1000,0000100078
100-0018,1000,0000100100
100-0024,1000,0000100100
100-0025,1000,0000100100
100-0031,1000,0000100100
100-0035,1000,0000100100
100-0038,1000,0000100100
100-0054,1000,0000100100
100-0062,1000,0000100100
120-0029,1000,0000100100
120-0046,1000,0000100100
120-0051,1000,0000100100
320-0109,1000,0000100102
320-0128,1000,0000100102
100-0021,1000,0000100119
100-0033,1000,0000100119
100-0061,1000,0000100119
100-0073,1000,0000100119
100-0074,1000,0000100119
120-0047,1000,0000100119
140-0022,1000,0000200009
140-0179,1000,0000200009
140-0113,1000,0000200011
140-0221,1000,0000200011
140-0240,1000,0000200019
280-0159,1000,0000200025
310-0014,1000,0000200053
280-0213,1000,0000200057
310-0063,1000,0000100041
310-0104,1000,0000100033
310-0109,1000,0000200032
100-0073,1000,0000100148
100-0062,1000,0000100148
110-0001,1000,0000100067
110-0002,1000,0000100067
110-0121,1000,0000100067
120-0047,1000,0000100148
120-0046,1000,0000100148
120-0051,1000,0000100148
110-0003,1000,0000100163
110-0064,1000,0000100163
110-0158,1000,0000100163
110-0161,1000,0000100163
110-0177,1000,0000100163
110-0213,1000,0000100163
110-0220,1000,0000100163
110-0237,1000,0000100163
330-0133,1000,0000100017
330-0138,1000,0000100017
100-0025,1000,0000100148
100-0021,1000,0000100148
100-0033,1000,0000100100
100-0073,1000,0000100100
100-0021,1000,0000100100
100-0084,1000,0000200059
350-0088,1000,0000100003
350-0089,1000,0000100003
350-0090,1000,0000100003
120-0029,1000,0000100148
140-0246,1000,0000200019
120-0099,1000,0000100110
120-0100,1000,0000100110
100-0074,1000,0000100100
350-0087,1000,0000100003
100-0035,1000,0000100148
310-0229,1000,0000100102
320-0248,1000,0000100102
330-0142,1000,0000100009
310-0228,1000,0000100102
110-0011,1000,0000100067
110-0064,1000,0000100067
110-0158,1000,0000100067
110-0241,1000,0000100067
310-0241,1000,0000100102
140-0253,1000,0000200019
100-0024,1000,0000100148
310-0014,1000,0000100170
310-0272,1000,0000100039
330-0164,1000,0000100017
280-0397,1000,0000100164
330-0162,1000,0000100063
120-0047,1000,0000100100
330-0081,1000,0000100063
100-0033,1000,0000100148
110-0161,1000,0000100067
140-0313,1000,0000200009
280-0418,1000,0000100018
110-0001,1000,0000100176
330-0173,1000,0000100063
330-0174,1000,0000100063
330-0176,1000,0000100063
100-0031,1000,0000100148
350-0038,1000,0000100003
110-0214,1000,0000100176
330-0095,1000,0000100175
320-0284,1000,0000100102
140-0338,1000,0000200009
310-0295,1000,0000100078
110-0040,1000,0000100067
110-0099,1000,0000100067
110-0248,1000,0000100067
280-0467,1000,0000200003
110-0174,1000,0000100067
110-0011,1000,0000100176
120-0129,1000,0000100148
110-0298,1000,0000100067
120-0120,1000,0000100148
120-0121,1000,0000100148
280-0511-03,1000,0000100132
280-0511-04,1000,0000100132
280-0511-05,1000,0000100132
280-0511-06,1000,0000100132
110-0213,1000,0000100067
140-0253,1000,0000200009
140-0240,1000,0000200009
110-0241,1000,0000100176
310-0313,1000,0000100078
100-0038,1000,0000100148
100-0061,1000,0000100148
100-0086,1000,0000100148
140-0310,1000,0000200011
280-0431,1000,0000100143
280-0445,1000,0000100143
280-0446,1000,0000100143
280-0447,1000,0000100143
280-0546,1000,0000100143
280-0547,1000,0000100143
280-0548,1000,0000100143
280-0549,1000,0000100143
280-0550,1000,0000100143
280-0440,1000,0000100143
280-0441,1000,0000100143
280-0442,1000,0000100143
280-0443,1000,0000100143
280-0444,1000,0000100143
310-0321,1000,0000100170
100-0074,1000,0000100148
140-0246,1000,0000200009
310-0323,1000,0000100170
330-0189,1000,0000100175
280-0439,1000,0000100143
280-0551,1000,0000100143
280-0552,1000,0000100143
280-0553,1000,0000100143
280-0554,1000,0000100143
280-0556,1000,0000100143
280-0558,1000,0000100143
280-0431,1000,0000100132
100-0088,1000,0000100100
100-0086,1000,0000100100
110-0272,1000,0000100067
110-0246,1000,0000100067
110-0267,1000,0000100067
120-0120,1000,0000100083
350-0106,1000,0000100187
350-0107,1000,0000100187
110-0011,1000,0000100163
110-0241,1000,0000100163
350-0112,1000,0000100003
350-0113,1000,0000100003
330-0194,1000,0000100009
160-1132,1000,0000100019
280-0587,1000,0000200017
350-0116,1000,0000100003
350-0117,1000,0000100003
350-0118,1000,0000100003
350-0119,1000,0000100003
350-0120,1000,0000100003
330-0198,1000,0000100009
110-0083,1000,0000100067
330-0087,1000,0000100175
330-0088,1000,0000100175
280-0489,1000,0000200017
110-0019,1000,0000100067
280-0555,1000,0000100143
280-0557,1000,0000100143
330-0203,1000,0000100175
140-0355,1000,0000200011
350-0126,1000,0000100017
320-0367,1000,0000200071
330-0201,1000,0000100175
140-0340,1000,0000200070
140-0345,1000,0000200070
350-0129,1000,0000100003
320-0368,1000,0000200071
110-0003,1000,0000100067
110-0063,1000,0000100067
110-0177,1000,0000100067
100-0061,1000,0000100100
100-0088,1000,0000100148
330-0207,1000,0000100063
120-0138,1000,0000100100
330-0209,1000,0000100175
320-0328,1000,0000100034
330-0214,1000,0000100009
110-0214,1000,0000100067
110-0237,1000,0000100067
330-0216,1000,0000100175
300-0140,1000,0000100189
300-0141,1000,0000100189
310-0357,1000,0000100189
110-0172,1000,0000100067
280-0650,1000,0000100094
310-0369,1000,0000100078
310-0370,1000,0000100078
330-0205,1000,0000200079
330-0223,1000,0000100175
300-0144,1000,0000100189
300-0145,1000,0000100189
140-0341,1000,0000200009
310-0368,1000,0000100033
100-0018,1000,0000100148
120-0128,1000,0000100148
330-0228,1000,0000100009
310-0310,1000,0000100078
310-0311,1000,0000100078
310-0312,1000,0000100078
350-0137,1000,0000100187
350-0140,1000,0000100003
110-0253,1000,0000100163
160-1153,1000,0000100000
330-0229,1000,0000100175
330-0168,1000,0000100175
160-1153,1000,0000100019
110-0253,1000,0000100067
310-0376,1000,0000100078
310-0405,1000,0000100078
120-0138,1000,0000100148
330-0227,1000,0000100175
110-0156,1000,0000100067
110-0296,1000,0000100067
110-0273,1000,0000100067
350-0147,1000,0000100003
350-0148,1000,0000100003
350-0149,1000,0000100003
350-0151,1000,0000100003
330-0233,1000,0000100175
100-0054,1000,0000100148
110-0156,1000,0000100163
110-0273,1000,0000100163
110-0296,1000,0000100163
110-0295,1000,0000100067
100-0106,1000,0000100190
100-0107,1000,0000100190
100-0108,1000,0000100190
330-0234,1000,0000100009
100-0115,1000,0000100100
100-0115,1000,0000100148
120-0129,1000,0000100100
110-0207,1000,0000100067
110-0220,1000,0000100067
110-0239,1000,0000100067
110-0243,1000,0000100067
110-0252,1000,0000100067
110-0308,1000,0000100067
110-0268,1000,0000100067
110-0207,1000,0000100163
110-0243,1000,0000100163
110-0252,1000,0000100163
110-0267,1000,0000100163
110-0272,1000,0000100163
110-0298,1000,0000100163
110-0308,1000,0000100163
110-0295,1000,0000100163
140-0392,1000,0000200009
140-0386,1000,0000200009
120-0121,1000,0000100083
140-0364,1000,0000200006
310-0418,1000,0000100078
140-0384,1000,0000200009
280-0293-27,1000,0000200082
280-0293-29,1000,0000200082
280-0293-31,1000,0000200082
280-0293-33,1000,0000200082
310-0251,1000,0000100196
280-0750-27,1000,0000200077
280-0750-29,1000,0000200077
280-0750-31,1000,0000200077
280-0750-33,1000,0000200077
280-0704,1000,0000100198
280-0695,1000,0000100143
280-0698,1000,0000100143
280-0699,1000,0000100143
280-0702,1000,0000100143
280-0705,1000,0000100143
320-0412,1000,0000100096
320-0413,1000,0000100096
280-0696,1000,0000100146
280-0512,1000,0000100143
280-0700,1000,0000100018
320-0410,1000,0000100096
350-0152,1000,0000100003
160-1168,1000,0000100019
140-0403,1000,0000200070
350-0134,1000,0000100003
350-0134,1000,0000100175
280-0701,1000,0000100167
160-1153,1000,0000100204
320-0248,1000,0000100170
310-0417,1000,0000100206
280-0765,1000,0000200075
350-0153,1000,0000100003
310-0284,1000,0000100199
310-0362,1000,0000100196
350-0154,1000,0000100000
100-0116,1000,0000100148
120-0143,1000,0000100148
310-0401,1000,0000100206
280-0791,1000,0000100143
320-0443,1000,0000100096
320-0436,1000,0000100096
320-0437,1000,0000100096
320-0438,1000,0000100096
320-0439,1000,0000100096
160-1172,1000,0000100204
300-0150,1000,0000100189
300-0151,1000,0000100189
300-0152,1000,0000100189
310-0407,1000,0000100189
120-0143,1000,0000100100
330-0255,1000,0000100175
160-1171,1000,0000100204
160-1171,1000,0000100019
160-1172,1000,0000100019
280-0810,1000,0000100146
110-0213,1000,0000100176
310-0282,1000,0000100200
350-0158,1000,0000100187
320-0440,1000,0000100096
300-0121,1000,0000100189
300-0122,1000,0000100189
320-0412,1000,0000100094
320-0443,1000,0000100094
320-0412,1000,0000100144
320-0443,1000,0000100144
100-0122,1000,0000100148
320-0438,1000,0000100143
320-0439,1000,0000100143
310-0464,1000,0000100078
110-0260,1000,0000100067
110-0270,1000,0000100067
160-1169,1000,0000100019
110-0261,1000,0000100067
110-0270,1000,0000100163
310-0308,1000,0000100189
310-0485,1000,0000100078
320-0328,1000,0000100136
350-0159,1000,0000100003
350-0160,1000,0000100003
350-0161,1000,0000100003
310-0395,1000,0000200085
280-0636,1000,0000100143
300-0121,1000,0000100194
300-0122,1000,0000100194
280-0845-003,1000,0000100136
280-0845-005,1000,0000100136
280-0845-007,1000,0000100136
280-0845-010,1000,0000100136
280-0845-015,1000,0000100136
280-0845-020,1000,0000100136
310-0474,1000,0000100078
110-0261,1000,0000100163
300-0150,1000,0000100102
300-0151,1000,0000100102
300-0152,1000,0000100102
310-0407,1000,0000100102
310-0490,1000,0000100078
310-0440,1000,0000100206
310-0504,1000,0000100102
280-0845-025,1000,0000100136
280-0845-030,1000,0000100136
280-0845-001,1000,0000100136
310-0234,1000,0000100199
330-0265,1000,0000100175
280-0574,1000,0000200048
320-0474,1000,0000100096
320-0468,1000,0000100096
320-0470,1000,0000100096
320-0486,1000,0000100096
320-0471,1000,0000100096
320-0491,1000,0000100096
310-0238,1000,0000100199
330-0269,1000,0000100175
320-0493,1000,0000100096
320-0284,1000,0000100189
280-0770,1000,0000100210
280-0650,1000,0000100073
280-0700,1000,0000100073
280-0701,1000,0000100073
330-0273,1000,0000100009
330-0271,1000,0000100175
280-0861,1000,0000100143
280-0865,1000,0000100143
280-0866,1000,0000100143
280-0867,1000,0000100143
280-0862,1000,0000100143
280-0786,1000,0000100073
280-0897,1000,0000100143
280-0898,1000,0000100143
220-0072,1000,0000100136
160-1186,1000,0000100019
160-1168,1000,0000100204
310-0505,1000,0000100189
310-0494-001,1000,0000100102
310-0494-002,1000,0000100102
310-0494-003,1000,0000100102
310-0494-005,1000,0000100102
310-0494-007,1000,0000100102
310-0494-010,1000,0000100102
310-0494-015,1000,0000100102
310-0494-020,1000,0000100102
300-0140,1000,0000100194
300-0141,1000,0000100194
280-0845-002,1000,0000100136
310-0308,1000,0000100218
280-0836-27,1000,0000200082
280-0836-29,1000,0000200082
280-0836-31,1000,0000200082
280-0836-33,1000,0000200082
300-0168,1000,0000100102
300-0169,1000,0000100102
300-0180,1000,0000100102
140-0470,1000,0000200070
140-0471,1000,0000200070
310-0147,1000,0000100191
280-0636,1000,0000100228
330-0094,1000,0000100179
300-0179,1000,0000100102
350-0173,1000,0000100187
120-0152,1000,0000100148
100-0084,1000,0000200075
110-0284,1000,0000100215
280-0793-02,1000,0000200091
280-0933,1000,0000100207
280-0932,1000,0000100207
280-0933,1000,0000100197
280-0932,1000,0000100197
320-0501,1000,0000100096
320-0502,1000,0000100096
280-0940,1000,0000100094
280-0787,1000,0000100073
320-0503,1000,0000100096
280-0397,1000,0000100216
280-0981-N0,1000,0000200080
280-0981-N1,1000,0000200080
280-0981-N2,1000,0000200080
280-0981-N3,1000,0000200080
330-0266,1000,0000100175
330-0266,1000,0000100009
