版次,MES质检库存,PN,Description,Plant,Storage,StorageDescription,SN,UnconstrainedQuantity
,,280-0444,,1000,2016,,,877.000
,,280-0444,,1000,7010,,,1000.000
,,280-0444,,2000,2016,,,356.000
,,280-0445,,1000,2016,,,777.000
,,280-0445,,1000,7010,,,861.000
,,280-0445,,2000,2016,,,1102.000
,,280-0446,,1000,2016,,,377.000
,,280-0446,,1000,6010,,,97.000
,,280-0446,,2000,2016,,,1115.000
,,280-0447,,1000,2016,,,977.000
,,280-0447,,2000,2016,,,2120.000
,,280-0489,,1000,6010,,,8993.000
,,280-0489,,1000,7010,,,99160.000
,,280-0489,,2000,3016,,,9355.000
,,280-0511-03,,2000,2016,,,1590.000
,,280-0511-03,,2000,6010,,,5000.000
,,280-0511-04,,2000,2016,,,742.000
,,280-0511-04,,2000,6010,,,1360.000
,,280-0511-05,,2000,2016,,,2292.000
,,280-0511-06,,2000,2016,,,8097.000
,,280-0512,,1000,9023,,,27000.000
,,280-0512,,2000,9023,,,1000.000
,,280-0546,,1000,2016,,,77.000
,,280-0546,,2000,2016,,,1307.000
,,280-0547,,1000,2016,,,928.000
,,280-0547,,1000,7010,,,1000.000
,,280-0547,,2000,2016,,,1033.000
,,280-0547,,2000,7010,,,400.000
,,280-0548,,1000,2016,,,457.000
,,280-0548,,1000,6010,,,733.000
,,280-0548,,2000,2016,,,1123.000
,,280-0549,,1000,2016,,,800.000
,,280-0549,,2000,2016,,,161.000
,,280-0550,,1000,9023,,,31600.000
,,280-0551,,1000,2016,,,932.000
,,280-0551,,2000,2016,,,1019.000
,,280-0552,,1000,2016,,,932.000
,,280-0552,,2000,2016,,,1302.000
,,280-0553,,1000,2016,,,295.000
,,280-0553,,2000,2016,,,830.000
,,280-0554,,1000,2016,,,1000.000
,,280-0554,,2000,2016,,,632.000
,,280-0555,,1000,2016,,,800.000
,,280-0555,,2000,2016,,,1004.000
,,280-0556,,1000,2016,,,361.000
,,280-0556,,2000,2016,,,687.000
,,280-0557,,1000,2016,,,1100.000
,,280-0557,,1000,6010,,,395.000
,,280-0557,,2000,2016,,,1313.000
,,280-0558,,1000,2016,,,900.000
,,280-0558,,1000,6010,,,306.000
,,280-0558,,2000,2016,,,1959.000
,,280-0574,,1000,1016,,,7235.000
,,280-0574,,2000,1016,,,5815.000
,,280-0574,,2000,6010,,,55340.000
,,280-0587,,2000,3016,,,22033.000
,,280-0607,,1000,1016,,,340.000
,,280-0607,,1000,6010,,,12541.000
,,280-0607,,2000,1016,,,9213.000
,,280-0607,,2000,6010,,,129218.000
,,280-0650,,1000,6010,,,200.000
,,280-0650,,2000,2016,,,4945.000
,,280-0650,,2000,3016,,,10849.000
,,280-0654,,1000,3020,,,40559.000
,,280-0654,,2000,3016,,,2212.000
,,280-0654,,2000,6010,,,724.000
,,280-0655,,1000,9023,,,74643.000
,,280-0655,,2000,3016,,,8033.000
,,280-0655,,2000,9023,,,192248.000
,,280-0695,,2000,2016,,,24562.000
,,280-0696,,2000,1016,,,165.000
,,280-0696,,2000,6010,,,23493.000
,,280-0698,,2000,3016,,,2850.000
,,280-0701,,1000,3016,,,616.000
,,280-0701,,1000,6010,,,14.000
,,280-0701,,5000,6010,,,1257.000
,,280-0702,,2000,2016,,,4811.000
,,280-0704,,2000,3016,,,6043.000
,,280-0704,,2000,6010,,,8800.000
,,280-0705,,2000,3016,,,3675.000
,,280-0705,,2000,6010,,,8500.000
,,280-0739,,1000,3016,,,5683.000
,,280-0739,,2000,3016,,,49581.000
,,280-0739,,2000,6010,,,219918.000
,,280-0789-10A,,1000,7010,,,15667.000
,,280-0789-10A,,2000,1016,,,4953.000
,,280-0789-10B,,2000,1016,,,12254.000
,,280-0789-10C,,1000,7010,,,5502.000
,,280-0789-10C,,2000,1016,,,4954.000
,,280-0789-10C,,2000,5010,,,6300.000
,,280-0791,,2000,2016,,,25771.000
,,280-0793,,2000,3016,,,523.000
,,280-0793-02,,2000,3016,,,4208.000
,,280-0810,,2000,1016,,,618.000
,,280-0810,,2000,6010,,,55529.000
,,280-0837,,2000,1016,,,180.000
