版次,MES质检库存,PN,Description,Plant,Storage,StorageDescription,SN,UnconstrainedQuantity
,,321-0055,,2000,9023,,,800.000
,,321-0057,,2000,3016,,,13705.000
,,321-0058,,2000,3016,,,10218.000
,,321-0059,,2000,2016,,,5436.000
,,321-0059,,2000,3016,,,15608.000
,,321-0172,,2000,5016,,,9.000
,,321-0172,,2000,7010,,,550.000
,,321-0173,,1000,7010,,,100.000
,,321-0173,,2000,5016,,,9.000
,,321-0173,,2000,6010,,,79.000
,,321-0173,,2000,7010,,,371.000
,,330-0005,,1000,5016,,,5000.000
,,330-0005,,2000,5016,,,3513.000
,,330-0006,,1000,5016,,,1000.000
,,330-0006,,1000,6010,,,5000.000
,,330-0006,,1000,7010,,,2000.000
,,330-0006,,2000,6010,,,5000.000
,,330-0006,,5000,5016,,,8606.000
,,330-0006,,5000,9023,,,4000.000
,,330-0007,,1000,5016,,,364.000
,,330-0007,,1000,6010,,,4000.000
,,330-0007,,2000,6010,,,6000.000
,,330-0024,,1000,5016,,,51000.000
,,330-0024,,1000,6010,,,135000.000
,,330-0024,,2000,5016,,,3350.000
,,330-0024,,2000,6010,,,5000.000
,,330-0024,,2000,7016,,,5000.000
,,330-0024,,5000,5016,,,429.000
,,330-0024,,5000,6010,,,63000.000
,,330-0025,,1000,5016,,,18351.000
,,330-0025,,1000,6010,,,13000.000
,,330-0025,,2000,5016,,,31522.000
,,330-0025,,2000,6010,,,3000.000
,,330-0025,,5000,5016,,,989.000
,,330-0025,,5000,6010,,,19000.000
,,330-0081,,1000,3013,,,20000.000
,,330-0081,,1000,5016,,,39147.000
,,330-0081,,1000,6010,,,20000.000
,,330-0081,,2000,5016,,,85395.000
,,330-0081,,2000,6010,,,420000.000
,,330-0081,,5000,5016,,,14855.000
,,330-0081,,5000,6010,,,15000.000
,,330-0087,,1000,5016,,,5209.000
,,330-0087,,1000,7016,,,225000.000
,,330-0087,,2000,6010,,,20000.000
,,330-0087,,2000,7016,,,670000.000
,,330-0087,,5000,5016,,,4793.000
,,330-0087,,5000,7016,,,30000.000
,,330-0088,,1000,5016,,,12287.000
,,330-0088,,1000,6010,,,45000.000
,,330-0088,,2000,5016,,,9645.000
,,330-0088,,2000,6010,,,10000.000
,,330-0088,,5000,5016,,,8429.000
,,330-0101,,1000,5016,,,7840.000
,,330-0101,,1000,7016,,,80000.000
,,330-0101,,2000,6010,,,70000.000
,,330-0101,,5000,5016,,,77151.000
,,330-0101,,5000,7016,,,49100.000
,,330-0121,,2000,5016,,,1557.000
,,330-0121,,2000,6010,,,5000.000
,,330-0133,,1000,9023,,,6800.000
,,330-0135,,1000,6010,,,2000.000
,,330-0135,,2000,6010,,,3500.000
,,330-0135,,2000,9023,,,2500.000
,,330-0138,,1000,5016,,,855.000
,,330-0142,,1000,5016,,,772.000
,,330-0142,,2000,9023,,,59500.000
,,330-0162,,1000,5016,,,13092.000
,,330-0162,,1000,6010,,,10000.000
,,330-0162,,2000,5016,,,24632.000
,,330-0164,,1000,5016,,,4000.000
,,330-0164,,5000,5016,,,6288.000
,,330-0168,,1000,5016,,,4547.000
,,330-0173,,1000,5016,,,4340.000
,,330-0173,,1000,6010,,,5000.000
,,330-0189,,1000,5016,,,4049.000
,,330-0189,,1000,6010,,,5000.000
,,330-0189,,2000,5016,,,786.000
,,330-0189,,2000,6010,,,15000.000
,,330-0194,,1000,5016,,,13806.000
,,330-0194,,1000,6010,,,20000.000
,,330-0194,,1000,7010,,,5000.000
,,330-0194,,2000,5016,,,2398.000
,,330-0194,,5000,5016,,,3251.000
,,330-0194,,5000,6010,,,3000.000
,,330-0198,,1000,5016,,,4200.000
,,330-0198,,2000,5016,,,2428.000
,,330-0198,,5000,5016,,,6000.000
,,330-0203,,1000,5016,,,1000.000
,,330-0203,,1000,6010,,,5000.000
,,330-0207,,1000,5016,,,3000.000
,,330-0209,,1000,6010,,,5000.000
,,330-0209,,1000,7010,,,5000.000
,,330-0209,,2000,5016,,,1814.000
,,330-0214,,1000,7016,,,1000.000
,,330-0214,,2000,7016,,,40000.000
,,330-0214,,5000,7016,,,5000.000
,,330-0216,,1000,5016,,,5056.000
,,330-0216,,2000,5016,,,7097.000
,,330-0223,,1000,5016,,,3015.000
,,330-0223,,1000,7010,,,5000.000
,,330-0223,,2000,5016,,,1869.000
,,330-0228,,1000,5016,,,10000.000
,,330-0228,,1000,6010,,,2500.000
,,330-0228,,2000,5016,,,875.000
,,330-0228,,2000,6010,,,3000.000
,,330-0228,,5000,5016,,,2117.000
,,330-0228,,5000,6010,,,2000.000
,,330-0229,,1000,7010,,,5000.000
,,330-0229,,2000,6010,,,1000.000
,,330-0233,,1000,7010,,,5000.000
,,330-0233,,5000,5016,,,393.000
,,330-0233,,5000,6010,,,1000.000
,,330-0234,,1000,6010,,,345000.000
,,330-0234,,1000,7010,,,10000.000
,,330-0234,,2000,3016,,,2700.000
,,330-0234,,2000,6010,,,100000.000
,,330-0255,,1000,5016,,,6470.000
,,330-0255,,1000,6010,,,40000.000
,,330-0255,,2000,5016,,,1148.000
,,330-0255,,2000,6010,,,15000.000
,,330-0265,,1000,5016,,,1288.000
,,330-0265,,2000,5016,,,6146.000
,,330-0265,,2000,6010,,,4900.000
,,330-0266,,1000,5016,,,13828.000
,,330-0266,,5000,6010,,,5000.000
,,330-0266,,5000,9023,,,10000.000
,,330-0271,,1000,6010,,,5000.000
,,330-0273,,1000,5016,,,10000.000
,,330-0273,,1000,6010,,,8000.000
,,330-0273,,2000,5016,,,33314.000
,,330-0273,,2000,6010,,,23000.000
,,330-0273,,5000,5016,,,19840.000
,,330-0273,,5000,6010,,,20000.000
,,330-0284,,2000,7016,,,80000.000
,,330-0285,,1000,5016,,,7205.000
,,330-0285,,1000,6010,,,50000.000
,,330-0285,,2000,5016,,,16773.000
,,330-0292,,1000,5016,,,2336.000
,,330-0292,,2000,5016,,,5000.000
,,330-0292,,5000,5016,,,152.000
,,330-0292,,5000,6010,,,14920.000
,,330-0307,,1000,5016,,,2718.560
,,330-0307,,1000,9023,,,42000.000
,,330-0307,,2000,9023,,,32000.000
,,330-0327,,1000,6010,,,5000.000
,,330-0327,,5000,5016,,,400.000
,,330-0328,,1000,5016,,,8000.000
,,330-0328,,2000,6010,,,15000.000
,,330-0328,,5000,5016,,,1600.000
,,330-0333,,1000,5016,,,10200.000
,,330-0352,,1000,6010,,,5000.000
,,330-0352,,2000,5016,,,5858.000
,,330-0352,,2000,6010,,,1000.000
,,330-0367,,1000,7010,,,5000.000
,,330-0367,,2000,5016,,,4420.000
,,330-0383,,1000,5016,,,31.000
,,330-0383,,1000,6010,,,7000.000
,,330-0383,,2000,5016,,,1063.000
,,330-0383,,2000,6010,,,5000.000
,,330-0383,,2000,7010,,,6000.000
,,330-0403,,1000,5016,,,15256.000
,,330-0403,,1000,6010,,,224195.000
,,330-0403,,5000,5016,,,2332.000
,,330-0403,,5000,6010,,,14960.000
,,340-0056,,2000,3028,,,502.000
,,340-0062,,2000,6010,,,7384.000
,,340-0063,,2000,6010,,,11278.000
,,340-0071,,2000,5010,,,58.000
,,340-0071,,2000,6010,,,7.000
,,341-0027,,2000,2016,,,4666.000
,,341-0036,,1000,7010,,,100.000
,,341-0036,,1000,9023,,,100880.000
,,341-0036,,2000,3016,,,404.000
,,341-0036,,2000,9023,,,26000.000
,,341-0063,,2000,2016,,,573.000
,,341-0063,,2000,6010,,,1000.000
,,350-0015,,1000,5016,,,5316.316
,,350-0015,,1000,6010,,,10180.000
,,350-0015,,2000,5016,,,6601.565
,,350-0015,,2000,6010,,,2400.000
,,350-0015,,5000,6010,,,7790.000
,,350-0016,,1000,5016,,,4126.449
,,350-0016,,1000,6010,,,19200.000
,,350-0016,,2000,5016,,,16150.398
,,350-0016,,2000,6010,,,11600.000
,,350-0016,,5000,6010,,,18450.000
,,350-0017,,1000,5016,,,1668.740
,,350-0017,,1000,6010,,,27300.000
,,350-0017,,2000,5016,,,25120.180
,,350-0017,,5000,5016,,,2163.060
,,350-0017,,5000,6010,,,23100.000
,,350-0025,,1000,6010,,,2160.000
,,350-0025,,2000,6010,,,1140.000
,,350-0025,,5000,5016,,,1109.045
,,350-0025,,5000,6010,,,5880.000
,,350-0026,,1000,6010,,,2640.000
,,350-0026,,2000,6010,,,100.000
,,350-0026,,5000,5016,,,221.451
,,350-0026,,5000,6010,,,1000.000
,,350-0027,,1000,5016,,,1230.965
,,350-0027,,1000,6010,,,1920.000
,,350-0027,,2000,5016,,,1348.689
,,350-0027,,5000,5016,,,207.800
,,350-0027,,5000,6010,,,2640.000
,,350-0029,,1000,5016,,,2500.000
,,350-0029,,1000,6010,,,200.000
,,350-0029,,2000,5016,,,1399.375
,,350-0029,,2000,6010,,,3000.000
,,350-0029,,5000,5016,,,620.000
,,350-0029,,5000,6010,,,200.000
,,350-0038,,1000,5016,,,2428.160
,,350-0038,,2000,6010,,,2000.000
,,350-0038,,5000,5016,,,550.000
,,350-0038,,5000,6010,,,9000.000
,,350-0045,,1000,6010,,,200.000
,,350-0071,,2000,6010,,,1700.000
,,350-0087,,1000,6010,,,500.000
,,350-0087,,5000,5016,,,300.000
,,350-0088,,1000,6010,,,158.000
,,350-0088,,2000,5010,,,399.000
,,350-0089,,1000,5016,,,863.920
,,350-0089,,1000,6010,,,80.000
,,350-0089,,2000,6010,,,1275.000
,,350-0090,,1000,5016,,,1104.280
,,350-0090,,2000,6010,,,1020.000
,,350-0106,,1000,5016,,,2178.000
,,350-0107,,1000,5016,,,153.000
,,350-0113,,1000,5016,,,7.000
,,350-0113,,1000,6010,,,200.000
,,350-0116,,1000,5016,,,470.000
,,350-0118,,1000,5016,,,248.000
,,350-0118,,1000,6010,,,600.000
,,350-0119,,1000,5016,,,848.000
,,350-0120,,1000,5016,,,888.000
,,350-0120,,1000,6010,,,60.000
,,350-0129,,1000,5016,,,220.000
,,350-0129,,1000,6010,,,1300.000
,,350-0140,,1000,5016,,,588.000
,,350-0140,,1000,6010,,,500.000
,,350-0147,,1000,5016,,,656.000
,,350-0147,,1000,6010,,,500.000
,,350-0147,,2000,5016,,,255.000
,,350-0147,,2000,6010,,,500.000
,,350-0148,,1000,5016,,,710.000
,,350-0148,,1000,6010,,,500.000
,,350-0148,,2000,5016,,,212.000
,,350-0148,,2000,6010,,,200.000
,,350-0149,,1000,5016,,,275.000
,,350-0149,,1000,6010,,,98.000
,,350-0149,,2000,5010,,,605.000
,,350-0152,,1000,5016,,,1187.000
,,350-0152,,1000,6010,,,800.000
,,350-0152,,2000,6010,,,1080.000
,,350-0153,,1000,5016,,,68.000
,,350-0154,,1000,5016,,,5728.000
,,350-0154,,1000,6010,,,1000.000
,,350-0154,,2000,5016,,,10553.000
,,350-0154,,2000,6010,,,9900.000
,,350-0154,,5000,5016,,,662.000
,,350-0154,,5000,6010,,,14000.000
,,350-0154,,5000,7016,,,580.000
,,350-0158,,1000,5016,,,479.000
,,350-0158,,1000,6010,,,1000.000
,,350-0158,,2000,5016,,,300.000
,,350-0160,,1000,6010,,,100.000
,,350-0161,,1000,6010,,,100.000
,,350-0205,,1000,6010,,,500.000
,,350-0206,,2000,7016,,,37000.000
,,350-0207,,2000,7016,,,82000.000
,,350-0208,,1000,5016,,,17.000
,,350-0208,,1000,6010,,,110.000
,,350-0210,,1000,6010,,,600.000
,,350-0227,,1000,6010,,,1000.000
,,350-0227,,2000,5016,,,4421.000
,,350-0227,,2000,6010,,,150.000
,,350-0227,,5000,6010,,,10350.000
,,350-0229,,1000,5016,,,771.000
,,350-0229,,1000,6010,,,1650.000
,,350-0229,,2000,5016,,,250.000
,,350-0229,,2000,6010,,,3400.000
,,350-0229,,5000,5016,,,1680.000
,,350-0229,,5000,6010,,,1500.000
,,350-0230,,1000,5016,,,300.000
,,350-0230,,2000,5016,,,449.000
,,350-0230,,2000,6010,,,7500.000
,,350-0258,,1000,6010,,,1039.000
,,350-0274,,1000,6010,,,1000.000
,,350-0275,,2000,6010,,,3400.000
,,350-0290,,1000,6010,,,2750.000
,,350-0291,,1000,6010,,,540.000
,,350-0291,,2000,6010,,,1000.000
,,350-0484,,1000,5016,,,1550.000
,,350-0484,,1000,6010,,,1000.000
,,350-0484,,5000,6010,,,150.000
,,350-0485,,1000,5016,,,1300.000
,,350-0485,,1000,6010,,,1000.000
,,351-0001,,1000,6010,,,400.000
,,351-0001,,2000,6010,,,1060.000
,,351-0003,,1000,6010,,,150.000
,,351-0009,,1000,5016,,,2109.000
,,351-0009,,5000,6010,,,720.000
,,351-0010,,1000,5016,,,28235.000
,,351-0010,,5000,6010,,,7440.000
,,351-0011,,1000,5016,,,74.000
,,351-0011,,1000,6010,,,3700.000
,,351-0011,,5000,6010,,,150.000
,,351-0012,,1000,6010,,,1950.000
,,351-0012,,5000,6010,,,200.000
,,351-0013,,1000,6010,,,1070.000
,,351-0013,,5000,5016,,,10.000
,,351-0013,,5000,6010,,,150.000
,,352-0001,,1000,5016,,,147.000
,,352-0001,,1000,6010,,,300.000
,,352-0002,,1000,5016,,,304.000
,,352-0002,,1000,6010,,,200.000
,,352-0003,,1000,7010,,,300.000
,,352-0006,,1000,6010,,,600.000
,,352-0006,,2000,6010,,,300.000
,,352-0007,,1000,6010,,,600.000
,,352-0007,,2000,6010,,,300.000
,,352-0008,,1000,6010,,,400.000
,,352-0008,,2000,6010,,,100.000
,,352-0009,,1000,6010,,,200.000
,,352-0009,,2000,6010,,,190.000
,,352-0009,,5000,5016,,,50.000
,,352-0010,,1000,6010,,,599.000
,,352-0010,,2000,6010,,,500.000
,,352-0011,,1000,6010,,,800.000
,,352-0011,,2000,6010,,,1000.000
,,352-0022,,1000,6010,,,199.000
,,352-0023,,1000,6010,,,100.000
,,352-0024,,1000,6010,,,300.000
,,353-0003,,1000,6010,,,1600.000
,,500-3231,,2000,5016,,,2.000
,,500-3264-010,,1000,3019,,,1.000
,,500-3344,,1000,5016,,,20.000
,,500-3385,,1000,2019,,,29.000
,,500-3432-003,,1000,2019,,,12.000
,,500-3665,,1000,2019,,,5.000
,,500-3776-02,,2000,2019,,,82.000
,,500-3776-02,,2000,5016,,,43.000
,,500-3776-05,,2000,3026,,,3.000
,,500-3806,,1000,3025,,,1.000
,,500-3806,,2000,2019,,,101.000
,,500-3816,,1000,3025,,,16.000
,,500-3884,,1000,2019,,,1.000
,,500-3886,,1000,3013,,,35.000
,,500-3972-02,,2000,5016,,,12.000
,,500-3979-02,,2000,2013,,,12.000
,,500-3987-04,,1000,3026,,,3.000
,,500-4042,,1000,3013,,,30.000
,,500-4042,,2000,2019,,,1.000
,,500-4066-02,,2000,2019,,,8.000
,,500-4067-02,,2000,2019,,,123.000
,,500-4191,,2000,3026,,,13.000
,,500-4212,,1000,3025,,,1.000
,,500-4235-003,,1000,3019,,,16.000
,,500-4235-005,,1000,3019,,,14.000
,,500-4235-007,,1000,3019,,,699.000
,,500-4235-007,,1000,3025,,,6.000
,,500-4235-010,,1000,2019,,,79.000
,,500-4235-020,,1000,3019,,,3.000
,,500-4236-003,,1000,3019,,,11.000
,,500-4236-005,,1000,3019,,,6.000
,,500-4236-007,,1000,3019,,,934.000
,,500-4236-020,,1000,3025,,,1.000
,,500-4292,,2000,2019,,,1.000
,,500-4292,,2000,5016,,,69.000
,,500-4378,,2000,3019,,,5.000
,,500-4393-02,,1000,3025,,,1.000
,,500-4442,,1000,2019,,,1175.000
,,500-4516,,1000,2019,,,7.000
,,500-4516,,2000,2019,,,2.000
,,500-4611,,1000,3026,,,1.000
,,500-4611,,2000,3019,,,31.000
,,500-4611,,2000,5016,,,226.000
,,500-4618-003,,1000,2019,,,10.000
,,500-4640,,1000,3019,,,278.000
,,500-4640,,2000,5016,,,596.000
,,500-4672,,2000,3019,,,2.000
,,500-4692,,2000,2013,,,9.000
,,500-4692,,2000,5016,,,1.000
,,500-4693,,2000,2013,,,34.000
,,500-4752,,1000,5016,,,84.000
,,500-4752,,2000,5016,,,656.000
,,500-4890,,2000,2019,,,65.000
,,500-4912,,1000,3025,,,1.000
,,500-4925,,1000,2013,,,1.000
,,500-4954,,2000,3019,,,22.000
,,500-4955,,1000,3013,,,32.000
,,500-4955,,2000,3019,,,283.000
,,500-4956,,2000,3019,,,66.000
,,500-4957,,2000,5016,,,1240.000
,,500-4961-001,,1000,2013,,,2.000
,,500-4961-002,,1000,2013,,,2.000
,,500-4961-003,,1000,2013,,,13.000
,,500-4961-005,,1000,2013,,,1.000
,,500-4961-007,,1000,2013,,,14.000
,,500-4961-010,,1000,2013,,,16.000
,,500-4961-015,,1000,2013,,,5.000
,,500-4961-020,,1000,2013,,,1.000
,,500-4962-010,,1000,3019,,,32.000
,,500-4962-020,,1000,3019,,,6.000
,,500-4962-0P5,,1000,3019,,,234.000
,,500-5010,,2000,2019,,,4.000
,,500-5056,,2000,5016,,,384.000
,,500-5216-003,,1000,2013,,,1.000
,,500-5216-005,,1000,2013,,,1.000
,,500-5216-007,,1000,2013,,,1.000
,,500-5216-010,,1000,2013,,,1.000
,,500-5274,,1000,2013,,,6.000
,,500-5275,,1000,2013,,,739.000
,,500-5275,,2000,2013,,,658.000
,,500-5281,,2000,5016,,,56.000
,,500-5359,,1000,2013,,,488.000
,,500-5359,,1000,3013,,,20.000
,,500-5359,,1000,5016,,,173.000
,,500-5359,,2000,2013,,,15.000
,,500-5359,,2000,5016,,,1452.000
,,500-5384,,2000,3019,,,274.000
,,500-5391-001,,1000,2019,,,137.000
,,500-5391-001,,1000,5016,,,554.000
,,500-5391-002,,1000,2019,,,34.000
,,500-5391-002,,1000,5016,,,395.000
,,500-5391-003,,1000,2019,,,29.000
,,500-5391-005,,1000,2019,,,23.000
,,500-5391-007,,1000,2019,,,452.000
,,500-5391-007,,1000,3013,,,310.000
,,500-5391-010,,1000,2019,,,23.000
,,500-5391-010,,1000,5016,,,33.000
,,500-5391-015,,1000,2019,,,6.000
,,500-5391-025,,1000,2019,,,3.000
,,500-5391-030,,1000,2019,,,256.000
,,500-5391-030,,1000,3013,,,120.000
,,500-5481,,1000,2019,,,6735.000
,,500-5481,,1000,3013,,,30.000
,,500-5481,,1000,5016,,,2382.000
,,500-5481,,2000,5016,,,807.000
,,500-5495-010,,1000,5016,,,6.000
,,500-5499,,1000,2019,,,9.000
,,500-5500,,1000,2019,,,779.000
,,500-5500,,1000,5016,,,201.000
,,500-5500,,2000,5016,,,4269.000
,,500-5508-005,,1000,2019,,,1.000
,,500-5522,,1000,3013,,,1.000
,,500-5522,,1000,3026,,,1.000
,,500-5529,,2000,3013,,,112.000
,,500-5529,,2000,3019,,,80.000
,,500-5529,,2000,5016,,,70.000
,,500-5594,,1000,3019,,,3.000
,,500-5594,,2000,3019,,,738.000
,,500-5595,,2000,3019,,,3.000
,,500-5595,,2000,5016,,,1.000
,,500-5601,,1000,2019,,,213.000
,,500-5610,,1000,3026,,,2.000
,,500-5614-001,,1000,2019,,,246.000
,,500-5614-002,,1000,2019,,,4.000
,,500-5614-010,,1000,2019,,,1.000
,,500-5680,,2000,5016,,,15.000
,,500-5703,,1000,2019,,,417.000
,,500-5703,,1000,3013,,,160.000
,,500-5703,,1000,5016,,,91.000
,,500-5703,,2000,5016,,,1.000
,,500-5773,,2000,3019,,,12.000
,,500-5773,,2000,5016,,,429.000
,,500-5785,,2000,2019,,,738.000
,,500-5785,,2000,5016,,,16.000
,,500-5819,,1000,3019,,,146.000
,,500-5851,,2000,3026,,,2.000
,,500-5958,,1000,2019,,,2.000
,,500-5988,,2000,3019,,,3.000
,,500-5989,,2000,3019,,,2.000
,,500-5990,,2000,3019,,,1.000
,,500-6028,,2000,3019,,,7428.000
,,500-6028,,2000,3025,,,1.000
,,500-6035,,2000,3019,,,66.000
,,500-6035,,2000,5016,,,545.000
,,500-6095,,1000,2019,,,4.000
,,500-6099,,1000,2019,,,86.000
,,500-6137,,2000,2019,,,43.000
,,500-6159-001,,1000,2013,,,3.000
,,500-6159-005,,1000,2013,,,1.000
,,500-6159-007,,1000,2013,,,1.000
,,500-6159-015,,1000,2013,,,2.000
,,500-6159-020,,1000,2013,,,3.000
,,500-6201,,2000,3019,,,2.000
,,500-6204,,2000,3019,,,7.000
,,500-6207,,2000,2013,,,3.000
,,500-6249-010,,1000,2013,,,1.000
,,500-6253,,1000,2013,,,171.000
,,500-6267,,2000,5016,,,1.000
,,500-6282-005,,1000,2019,,,2.000
,,500-6282-010,,1000,2019,,,42.000
,,500-6283-003,,1000,2019,,,1.000
,,500-6283-010,,1000,2019,,,3.000
,,500-6285,,2000,3019,,,67.000
,,500-6336,,2000,3019,,,1.000
,,500-6383-010,,1000,2019,,,1.000
,,500-6393,,1000,2013,,,2.000
,,500-6417,,2000,5016,,,182.000
,,500-6448,,1000,3013,,,690.000
,,500-6448,,2000,5016,,,2432.000
,,500-6496,,1000,2019,,,6.000
,,500-6512,,1000,2013,,,495.000
,,500-6512,,2000,2013,,,194.000
,,500-6650,,1000,2019,,,43.000
,,500-6672,,1000,2019,,,2.000
,,500-6681,,1000,3019,,,2.000
,,500-6803,,2000,3019,,,26.000
,,500-7041,,2000,5016,,,1738.000
,,500-7073,,1000,3019,,,1.000
,,500-7073,,2000,3019,,,5.000
,,500-7115,,1000,2019,,,980.000
,,500-7179-003,,1000,2013,,,8.000
,,500-7179-010,,1000,2013,,,1.000
,,500-7179-010,,1000,2019,,,14.000
,,500-7207-003,,1000,2013,,,10.000
,,500-7207-005,,1000,5016,,,2.000
,,500-7207-010,,1000,5016,,,3.000
,,500-7207-020,,1000,2019,,,2.000
,,500-7232,,2000,2013,,,41.000
,,500-7283-010,,1000,2019,,,1.000
,,504-1532,,2000,1016,,,2710.000
,,504-1532,,2000,6010,,,2000.000
,,504-1584,,1000,5016,,,2.000
,,504-1694,,1000,7010,,,12177.000
,,504-1694,,2000,6010,,,295.000
,,504-1718,,2000,3016,,,1756.000
,,504-1718,,2000,6010,,,117.000
,,504-1753,,1000,6010,,,1092.000
,,504-1753,,1000,7010,,,1356.000
,,504-1753,,2000,1016,,,27.000
,,504-1877,,2000,1016,,,4586.000
,,504-1877,,2000,6010,,,7573.000
,,504-1878,,1000,6010,,,29.000
,,504-1878,,1000,7010,,,43.000
,,504-1936,,2000,5016,,,1116.000
,,504-1975,,1000,5016,,,4.000
,,504-1989,,2000,3016,,,272.000
,,562-0100,,5000,5016,,,205.000
,,910-0499,,1000,5016,,,80.000
,,910-0499,,2000,6010,,,2000.000
,,910-0499,,5000,6010,,,20.000
,,910-0866,,1000,5016,,,10260.000
