dest_loc_id,Method
discrete_rounding,BoMElem
disjunction,BoMElem
downstream_propagation,Inventory
downtime_mode,Resource
dst_rule,Cal
due_time,WorkOrders
duration,CapPatternElem
duration,ResTransferTime
duration,SetupMatrixModif
efective_end,MethodAltElem
efective_start,MethodAltElem
effective_end,BoMElem
effective_start,BoMElem
elem_ix,BoCElem
elem_ix,BoMElem
elem_ix,BoMElemProperty
elem_ix,BoRAltElem
elem_ix,ConstraintActElem
elem_ix,ConstraintElem
elem_ix,ConstraintOverrideEl
elem_ix,ConstraintTargetElem
elem_ix,DemandElem
elem_ix,EMSThresCriterRankElem
elem_ix,FilterRuleCriteria
elem_ix,MethodAltElem
elem_ix,PenaltyFunctionElem
elem_ix,PriorityMatrixElem
elem_ix,ResAltElem
elem_ix,RouteSegStepSeq
elem_ix,SetupMatrixGrpModif
elem_ix,SetupMatrixModif
elem_ix,SortRuleCriteria
ems_threshold,Inventory
emst_id,EMSThresCriterRankElem
enabled,Constraint
end_date,HolidayElem
end_date,WorkOrders
end_time,ActLots
end_time,SFSActPortion
end_time,SFSResPortion
end_time,SFSSchedule
expiry_time,Demand
explicit_constraint_schedule,Cal
factor_class,CfiCycle
factor_class,CfiFactor
factor_class,CfiWait
figure_type,Location
filter_rule_id,BoMElemProperty
filter_rule_id,DemandProperty
filter_rule_id,FilterRuleCriteria
finish_date,Demand
finish_qty,WorkOrders
first_time_for_first_batch,Op
first_time_for_first_batch,OpOverridesCom
first_time_for_first_batch,OpOverridesRes
first_time_for_first_batch,OpOverridesString
first_time_for_first_batch,OpOverridesTime
fixed_status,WorkOrders
flags,Supply
from_pattern,SetupMatRelation
from_pattern,SetupMatrixGrpModif
from_pattern,SetupMatrixModif
from_step,KeepBatchElem
fulfillment,Constraint
grade,BoCElem
grade,BoGElem
grade,BoMElem
grade,DemandElem
grade,Method
grade,SafetyStock
grade,Supply
grade_id,CommodityGrades
grade_index,StartingInv
grade_name,StartingInv
grade_set,BoMElem
grade_set,DemandElem
group_ix,SFSResAct
group_ix,SFSResPortion
group_ix,SFSResSched
group_nr,FilterRuleCriteria
group_number,ConstraintTargetElem
hold_ix,FutureHoldLots
holiday,Holiday
holiday_id,HolidayElem
holiday_id,Location
horizon_end,Cal
horizon_start,Cal
id,BatchId
id,BoC
id,BoG
id,BoM
id,BoR
id,BoRAlt
id,BusinessRule
id,CapPattern
id,CfiOverride
id,ComGrp
id,Commodity
id,Constraint
id,ConstraintTarget
id,CustGrp
id,Customer
id,Demand
id,DemandMaster
id,DemandProperty
id,EMSCriterion
id,EMSThresholds
id,FilterRule
id,Holiday
id,Inventory
id,KeepBatch
id,Location
id,Method
id,MethodAlt
id,ObjectCharacteristic
id,Op
id,Penalty
id,PenaltyFunction
id,PeriodMgr
id,PrevMain
id,PriorityMatrix
id,ResAlt
id,Resource
id,ResPrevPrgrm
id,Route
id,RouteSegment
id,Setup
id,SetupMatrix
id,SortRule
id,StartingInv
id,Step
id,StepSeq
id,Storage
id,StorageAlt
id,Supply
id,Vendor
id,WipBuffer
id,WorkOrders
ideal,CfiCycle
ideal,CfiFactor
ideal,CfiWait
ideal_stdf,CfiCycle
ideal_stdf,CfiFactor
ideal_stdf,CfiWait
ideal_volume,Resource
ideal_weight,Resource
idx,BoRElem
idx,CapPatternElem
incr_lot_size,Inventory
incr_lot_size,Method
inventory,BoMElem
inventory,Inventory
inventory_id,CfiOverrideElem
inventory_id,Connections
inventory_id,DemandElem
inventory_id,DemandMaster
inventory_id,SafetyStock
inventory_id,Supply
inventory_id,WorkOrders
inventory_qty,BoMElem
inventory_quantity,Inventory
ip_address,Vendor
is_base,VAttr
is_deleted,VAttr
is_elem,VAttr
ix,CfiOverrideElem
ix,HolidayElem
ix,LotBoMSubst
ix,SetupMatRelation
ix,VAttrValueBag
jit_schedule,WorkOrders
keep_batch_id,KeepBatchElem
lane,SFSLotAct
lane,StorageAlt
lane_id,Op
lane_id,OpOverridesCom
lane_id,OpOverridesRes
lane_id,OpOverridesString
lane_id,OpOverridesTime
lane_restriction,ResAlt
last_slack,WorkOrders
late_push_max,EMSThresholds
lateness,DemandProperty
latitude,Location
lead_days_supply,Method
lead_time,Resource
length,VAttr
level_look_ahead,Inventory
location,Holiday
location,Inventory
location_id,Method
location_id,Resource
location_id,Storage
longitude,Location
lot_act_ix,SFSResSched
lot_attr_planning,Inventory
lot_filter_rule,DemandElem
lot_filter_rule,DemandProperty
lot_id,ActLots
lot_id,BatchIdElem
lot_id,CfiOverrideElem
lot_id,FutureHoldLots
lot_id,LotBoMSubst
lot_id,SFSActPortion
lot_id,SFSLotAct
lot_id,SFSResSched
lot_id,TimeOverrideLots
lot_id,WipResLots
lot_id,WipStepLots
lot_priority,CfiOverrideElem
lot_status,CfiOverrideElem
lot_type,OpOverridesString
manage_base,Inventory
match_margin,CfiOverrideElem
match_to_ideal_cycle,Cal
max_batch_volume,Resource
max_buffer,WipBuffer
max_dep_per_of_cover,Inventory
max_lot_size,Inventory
max_lot_size,Method
max_over_level,SafetyStock
max_periods_of_cover,Inventory
max_split_size,Op
max_split_size,OpOverridesCom
max_split_size,OpOverridesRes
max_split_size,OpOverridesString
max_split_size,OpOverridesTime
max_supply,Method
max_volume,Location
max_volume,Resource
max_wait_time,Op
max_wait_time,OpOverridesCom
max_wait_time,OpOverridesRes
max_wait_time,OpOverridesString
max_wait_time,OpOverridesTime
max_weight,Resource
measure,PenaltyFunctionElem
merge_rule_id,BoMElemProperty
method_alt_id,Inventory
method_alt_id,MethodAltElem
method_cost,Method
method_id,MethodAltElem
method_id,Supply
method_id,WorkOrders
method_type,Method
method_type,WorkOrders
method_vehicle,Method
min_batch_volume,Resource
min_buffer,WipBuffer
min_dep_per_of_cover,Inventory
min_lot_size,Inventory
min_lot_size,Method
min_lot_size_ratio,Inventory
min_lot_size_ratio,Method
min_periods_of_cover,Inventory
min_split_size,Op
min_split_size,OpOverridesCom
min_split_size,OpOverridesRes
min_split_size,OpOverridesString
min_split_size,OpOverridesTime
min_supply,Method
min_volume,Resource
min_wait_time,Op
min_wait_time,OpOverridesCom
min_wait_time,OpOverridesRes
min_wait_time,OpOverridesString
min_wait_time,OpOverridesTime
min_weight,Resource
minimal,CfiCycle
minimal,CfiFactor
minimal,CfiWait
mix,BoMElem
mix,Inventory
mix,Resource
mode_,Resource
mode_,RouteSegment
monotony_type,Penalty
mult_mode,WorkOrders
multi_res_factor,Resource
multiple,ConstraintTargetElem
name,BoGElem
name,VAttr
number_of_bases,Demand
number_of_bases,SafetyStock
number_of_bases,Supply
obj_charact_id,PriorityMatrixElem
obj_id,VAttrValueDouble
obj_id,VAttrValueInt
obj_id,VAttrValueString
obj_id,VAttrValueTime
object_class,ObjectCharacteristic
obsolete,BoMElem
obsolete,Inventory
occ_id,SetupMatrixGrpModif
occ_id,SetupMatrixModif
offset,ResCapInter
offset,ResPrevPrgrm
offset,StorageCapInter
once_evaluated,WipBuffer
op_id,OpOverridesCom
op_id,OpOverridesRes
op_id,OpOverridesString
op_id,OpOverridesTime
op_id,OpPriorityMatrix
op_id,SFSLotAct
op_id,Step
order_group,ConstraintTargetElem
orig_quantity,DemandElem
overbuild_lateness_threshold,Inventory
override_time,TimeOverrideLots
parent_ix,Location
parent_obj_id,VAttrValueDouble
parent_obj_id,VAttrValueInt
parent_obj_id,VAttrValueString
parent_obj_id,VAttrValueTime
password,Vendor
pattern_id,ResCapInter
pattern_id,StorageCapInter
penalty_function_id,PenaltyFunctionElem
penalty_id,PenaltyElem
