MODEL_ID,ERROR_ID,SOURCE_TABLE_NAME,SOURCE_COLUMN_NAME,LOOKUP_TABLE_NAME,ERROR_VALUE,ERROR_TIMESTAMP,RELATED_IDENTIFIER
DSM,22000,NULL,NULL,NULL,005551-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005558-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005563-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005577-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005578-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005606-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005610-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005614-03@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005616-06@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005616-09@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005616-10@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005621-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005623-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005648-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005662-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005664-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005667-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005670-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005671-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005677-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005678-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005687-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005687-04@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005703-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005726-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005733-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005734-03@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005734-10@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005735-03@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005736-06@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005787-03@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005787-04@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005787-05@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005787-08@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005790-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005826-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005830-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005831-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005832-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005835-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005836-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005845-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005853-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005854-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005897-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005944-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005947-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005980-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005991-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005995-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005995-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005995-03@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005995-04@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005995-05@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005995-06@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005995-07@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005995-08@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,005995-09@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006021-03@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006021-04@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006024-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006024-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006025-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006033-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006034-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006035-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006036-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006039-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006073-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006086-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006087-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006087-04@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006087-05@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006102-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006102-04@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006146-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006146-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006146-03@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006149-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006159-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006159-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006295-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006313-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006321-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006324-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006324-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006324-03@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006324-04@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006324-05@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006324-06@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006324-07@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006330-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006354-01@7040,2024-05-03 06:10:07.040,NULL
DSM,22000,NULL,NULL,NULL,006354-02@7040,2024-05-03 06:10:07.040,NULL
DSM,22012,NULL,NULL,NULL,000000000005050213@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000000005050214@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000000005050215@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000000005050221@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000000005050222@7040,2024-05-03 06:10:25.867,NULL
