BOR_OP-SR4-Module-ATS,1,RESALT_Machine_OP-SR4-Module-ATS,1
BOR_OP-SR4-Module-ATS,2,RESALT_Labor_OP-SR4-Module-ATS,1
BOR_OP-SR4-Module-TCT,1,RESALT_Machine_OP-SR4-Module-TCT,1
BOR_OP-SR4-Module-TCT,2,RESALT_Labor_OP-SR4-Module-TCT,1
BOR_OP-SR4-Module-BI,1,RESALT_Machine_OP-SR4-Module-BI,1
BOR_OP-SR4-Module-BI,2,RESALT_Labor_OP-SR4-Module-BI,1
BOR_OP-SR4-OE-TXAA,1,RESALT_Machine_OP-SR4-OE-TXAA,1
BOR_OP-SR4-OE-TXAA,2,RESALT_Labor_OP-SR4-OE-TXAA,1
BOR_OP-SR4-OE-RXAA,1,RESALT_Machine_OP-SR4-OE-RXAA,1
BOR_OP-SR4-OE-RXAA,2,RESALT_Labor_OP-SR4-OE-RXAA,1
BOR_OP-SR4-OE-TCT,1,RESALT_Machine_OP-SR4-OE-TCT,1
BOR_OP-SR4-OE-TCT,2,RESALT_Labor_OP-SR4-OE-TCT,1
BOR_OP-SR4-OE-TEST,1,RESALT_Machine_OP-SR4-OE-TEST,1
BOR_OP-SR4-OE-TEST,2,RESALT_Labor_OP-SR4-OE-TEST,1
BOR_OP-SR4-Preform-ASSY,1,RESALT_Machine_OP-SR4-Preform-ASSY,1
BOR_OP-SR4-Preform-ASSY,2,RESALT_Labor_OP-SR4-Preform-ASSY,1
BOR_OP-SR4-Preform-LASER,1,RESALT_Machine_OP-SR4-Preform-LASER,1
BOR_OP-SR4-Preform-LASER,2,RESALT_Labor_OP-SR4-Preform-LASER,1
BOR_OP-AOC-Module-ASSY,1,RESALT_Machine_OP-AOC-Module-ASSY,1
BOR_OP-AOC-Module-ASSY,2,RESALT_Labor_OP-AOC-Module-ASSY,1
BOR_OP-AOC-Module-ATS,1,RESALT_Machine_OP-AOC-Module-ATS,1
BOR_OP-AOC-Module-ATS,2,RESALT_Labor_OP-AOC-Module-ATS,1
BOR_OP-AOC-Module-TCT,1,RESALT_Machine_OP-AOC-Module-TCT,1
BOR_OP-AOC-Module-TCT,2,RESALT_Labor_OP-AOC-Module-TCT,1
BOR_OP-AOC-Module-BI,1,RESALT_Machine_OP-AOC-Module-BI,1
BOR_OP-AOC-Module-BI,2,RESALT_Labor_OP-AOC-Module-BI,1
BOR_OP-AOC-OE-TXAA,1,RESALT_Machine_OP-AOC-OE-TXAA,1
BOR_OP-AOC-OE-TXAA,2,RESALT_Labor_OP-AOC-OE-TXAA,1
BOR_OP-AOC-OE-RXAA,1,RESALT_Machine_OP-AOC-OE-RXAA,1
BOR_OP-AOC-OE-RXAA,2,RESALT_Labor_OP-AOC-OE-RXAA,1
BOR_OP-AOC-OE-TCT,1,RESALT_Machine_OP-AOC-OE-TCT,1
BOR_OP-AOC-OE-TCT,2,RESALT_Labor_OP-AOC-OE-TCT,1
BOR_OP-AOC-OE-TEST,1,RESALT_Machine_OP-AOC-OE-TEST,1
BOR_OP-AOC-OE-TEST,2,RESALT_Labor_OP-AOC-OE-TEST,1
BOR_OP-AOC-Preform-ASSY,1,RESALT_Machine_OP-AOC-Preform-ASSY,1
BOR_OP-AOC-Preform-ASSY,2,RESALT_Labor_OP-AOC-Preform-ASSY,1
BOR_OP-AOC-Preform-LASER,1,RESALT_Machine_OP-AOC-Preform-LASER,1
BOR_OP-AOC-Preform-LASER,2,RESALT_Labor_OP-AOC-Preform-LASER,1
