PRODUCT_ID,LOCATION,ROUTE_ID,PREFERENCE,COST,BOM_ID,BOG_ID,EFFECTIVE_START,EFFECTIVE_END,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost,UDA_string_-_-_DMDSPEC,UDA_string_to_workorder_no_ASSY_LOC,UDA_string_to_workorder_no_FAB_LOC
280-1071-29,1000,ROUTE_COP_TX-COC,1,0,BOM_280-1071-29,-,-,-,-,-,-,1,-,-,-
280-1071-31,1000,ROUTE_COP_TX-COC,1,0,BOM_280-1071-31,-,-,-,-,-,-,1,-,-,-
280-1071-33,1000,ROUTE_COP_PCBA-Home,1,0,BOM_280-1071-33,-,-,-,-,-,-,1,-,-,-
280-0750-33,SUB_PCBA,ROUTE_COP_PCBA-Subcon,1,0,BOM_280-0750-33,-,-,-,-,-,-,1,-,-,-
280-1070,1000,ROUTE_COP_PCBA-Home,1,0,BOM_280-1070,-,-,-,-,-,-,1,-,-,-
504-1366,SUB_PCBA,ROUTE_COP_PCBA-Subcon,1,0,BOM_504-1366,-,-,-,-,-,-,1,-,-,-
280-1067,1000,ROUTE_COP_Preform,1,0,BOM_280-1067,-,-,-,-,-,-,1,-,-,-
280-0440,1000,ROUTE_COP_Preform,1,0,BOM_280-0440,-,-,-,-,-,-,1,-,-,-
280-0558,1000,ROUTE_COP_Receptacle,1,0,BOM_280-0558,-,-,-,-,-,-,1,-,-,-
280-0996,1000,ROUTE_COP_Receptacle,1,0,BOM_280-0996,-,-,-,-,-,-,1,-,-,-
500-3490,1000,ROUTE_COP_Module,1,0,BOM_500-3490,-,-,-,-,-,-,1,-,-,-
502-1678,1000,ROUTE_dummy,1,0,BOM_502-1678,-,-,-,-,-,-,1,-,-,-
260-0120,1000,ROUTE_COP_OB,1,0,BOM_260-0120,-,-,-,-,-,-,1,-,-,-
280-0927,1000,ROUTE_COP_CB,1,0,BOM_280-0927,-,-,-,-,-,-,1,-,-,-
280-0804-27,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0804-27,-,-,-,-,-,-,1,-,-,-
280-0804-29,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0804-29,-,-,-,-,-,-,1,-,-,-
280-0804-31,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0804-31,-,-,-,-,-,-,1,-,-,-
280-0804-33,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0804-33,-,-,-,-,-,-,1,-,-,-
VirtualProduct_280-0927_A2,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-0927_A2,-,-,-,-,-,-,1,-,-,-
280-0926,1000,ROUTE_dummy,1,0,BOM_280-0926,-,-,-,-,-,-,1,-,-,-
504-1319,SUB_PCBA,ROUTE_COP_PCBA-Subcon,1,0,BOM_504-1319,-,-,-,-,-,-,1,-,-,-
VirtualProduct_280-0927_A2,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-0927_A2,-,-,-,-,-,-,1,-,-,-
280-0926-02,1000,ROUTE_dummy,1,0,BOM_280-0926-02,-,-,-,-,-,-,1,-,-,-
504-1548,SUB_PCBA,ROUTE_COP_PCBA-Subcon,1,0,BOM_504-1548,-,-,-,-,-,-,1,-,-,-
280-0802,1000,ROUTE_COP_Preform,1,0,BOM_280-0802,-,-,-,-,-,-,1,-,-,-
280-0695,1000,ROUTE_COP_Preform,1,0,BOM_280-0695,-,-,-,-,-,-,1,-,-,-
500-3532,1000,ROUTE_COP_Module,1,0,BOM_500-3532,-,-,-,-,-,-,1,-,-,-
502-1641,1000,ROUTE_dummy,1,0,BOM_502-1641,-,-,-,-,-,-,1,-,-,-
260-0115,1000,ROUTE_COP_OB,1,0,BOM_260-0115,-,-,-,-,-,-,1,-,-,-
280-0934,1000,ROUTE_COP_CB,1,0,BOM_280-0934,-,-,-,-,-,-,1,-,-,-
280-0916-29,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0916-29,-,-,-,-,-,-,1,-,-,-
280-0916-31,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0916-31,-,-,-,-,-,-,1,-,-,-
280-0916-33,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0916-33,-,-,-,-,-,-,1,-,-,-
280-0930,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0930,-,-,-,-,-,-,1,-,-,-
910-0067,1000,ROUTE_COP_PCBA-Home,1,0,BOM_910-0067,-,-,-,-,-,-,1,-,-,-
280-0802,1000,ROUTE_COP_Preform,1,0,BOM_280-0802,-,-,-,-,-,-,1,-,-,-
280-0913,1000,ROUTE_COP_Preform,1,0,BOM_280-0913,-,-,-,-,-,-,1,-,-,-
280-0551,1000,ROUTE_COP_Receptacle,1,0,BOM_280-0551,-,-,-,-,-,-,1,-,-,-
280-0552,1000,ROUTE_COP_Receptacle,1,0,BOM_280-0552,-,-,-,-,-,-,1,-,-,-
500-3621,1000,ROUTE_COP_Module,1,0,BOM_500-3621,-,-,-,-,-,-,1,-,-,-
502-1677,1000,ROUTE_dummy,1,0,BOM_502-1677,-,-,-,-,-,-,1,-,-,-
260-0121,1000,ROUTE_COP_OB,1,0,BOM_260-0121,-,-,-,-,-,-,1,-,-,-
280-0929,1000,ROUTE_COP_CB,1,0,BOM_280-0929,-,-,-,-,-,-,1,-,-,-
280-0916-27,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0916-27,-,-,-,-,-,-,1,-,-,-
280-0916-29,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0916-29,-,-,-,-,-,-,1,-,-,-
280-0916-31,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0916-31,-,-,-,-,-,-,1,-,-,-
280-0916-33,1000,ROUTE_COP_TX-COC,1,0,BOM_280-0916-33,-,-,-,-,-,-,1,-,-,-
VirtualProduct_280-0929_A2,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-0929_A2,-,-,-,-,-,-,1,-,-,-
280-0928,1000,ROUTE_dummy,1,0,BOM_280-0928,-,-,-,-,-,-,1,-,-,-
VirtualProduct_280-0928_A1,SUB_PCBA,ROUTE_dummy,1,0,BOM_VirtualProduct_280-0928_A1,-,-,-,-,-,-,1,-,-,-
504-1319,SUB_PCBA,ROUTE_dummy,1,0,BOM_504-1319,-,-,-,-,-,-,1,-,-,-
VirtualProduct_280-0929_A2,1000,ROUTE_dummy,1,0,BOM_VirtualProduct_280-0929_A2,-,-,-,-,-,-,1,-,-,-
280-1095,1000,ROUTE_dummy,1,0,BOM_280-1095,-,-,-,-,-,-,1,-,-,-
VirtualProduct_280-1095_A1,SUB_PCBA,ROUTE_dummy,1,0,BOM_VirtualProduct_280-1095_A1,-,-,-,-,-,-,1,-,-,-
504-1319,SUB_PCBA,ROUTE_dummy,1,0,BOM_504-1319,-,-,-,-,-,-,1,-,-,-
VirtualProduct_504-1319_B5,SUB_PCBA,ROUTE_dummy,1,0,BOM_VirtualProduct_504-1319_B5,-,-,-,-,-,-,1,-,-,-
110-0379,SUB_PCBA,ROUTE_dummy,1,0,BOM_110-0379,-,-,-,-,-,-,1,-,-,-
VirtualProduct_504-1319_B6,SUB_PCBA,ROUTE_dummy,1,0,BOM_VirtualProduct_504-1319_B6,-,-,-,-,-,-,1,-,-,-
110-0237,SUB_PCBA,ROUTE_dummy,1,0,BOM_110-0237,-,-,-,-,-,-,1,-,-,-
VirtualProduct_504-1319_B6,SUB_PCBA,ROUTE_dummy,1,0,BOM_VirtualProduct_504-1319_B6,-,-,-,-,-,-,1,-,-,-
110-0380,SUB_PCBA,ROUTE_dummy,1,0,BOM_110-0380,-,-,-,-,-,-,1,-,-,-
VirtualProduct_504-1319_B7,SUB_PCBA,ROUTE_dummy,1,0,BOM_VirtualProduct_504-1319_B7,-,-,-,-,-,-,1,-,-,-
110-0308,SUB_PCBA,ROUTE_dummy,1,0,BOM_110-0308,-,-,-,-,-,-,1,-,-,-
VirtualProduct_504-1319_B7,SUB_PCBA,ROUTE_dummy,1,0,BOM_VirtualProduct_504-1319_B7,-,-,-,-,-,-,1,-,-,-
110-0381,SUB_PCBA,ROUTE_dummy,1,0,BOM_110-0381,-,-,-,-,-,-,1,-,-,-
280-0802,1000,ROUTE_COP_Preform,1,0,BOM_280-0802,-,-,-,-,-,-,1,-,-,-
